Demand,SolarGen
75.38024,0
49.63446,0
26.87657,0
16.86659,0
6.23322,0
5.52703,0
5.74881,0
5.3713,0
6.11413,0
13.54442,0
18.24856,0
21.64105,0.131
18.74778,0.345
22.80683,0.517
24.4403,0.624
28.93786,0.691
29.37241,0.709
32.97155,0.676
27.99287,0.596
27.59706,0.463
30.20039,0.283
33.37451,0.085
55.74126,0
73.14426,0
71.19209,0
60.3283,0
31.21212,0
17.05691,0
7.17809,0
6.39386,0
5.55334,0
5.6757,0
5.76154,0
10.84548,0
15.69932,0
21.20197,0.1
19.98214,0.277
21.27332,0.44
23.99427,0.578
30.09368,0.651
27.42096,0.668
24.74882,0.629
29.01409,0.537
33.86689,0.397
29.88834,0.228
34.99342,0.067
54.52785,0
70.66375,0
75.12746,0
57.08071,0
33.05672,0
16.17854,0
7.166,0
3.06883,0
4.02678,0
4.16078,0
4.55347,0
9.64651,0
12.96538,0
19.03797,0.137
12.14515,0.355
15.59597,0.53
18.54268,0.648
23.92393,0.712
23.61202,0.728
21.81173,0.699
20.52792,0.622
22.89687,0.494
18.46921,0.315
28.18992,0.103
41.46674,0
50.57726,0
69.70188,0
34.56152,0
20.99043,0
12.88343,0
5.42249,0
5.97611,0
5.54455,0
5.43051,0
6.26333,0
12.0699,0
15.40028,0
23.21107,0.145
18.0847,0.362
18.61875,0.531
27.30837,0.646
28.62478,0.708
27.02862,0.717
26.4128,0.674
27.57351,0.605
28.58316,0.492
29.28425,0.318
40.92909,0.104
51.85682,0
62.6438,0
73.92183,0
52.74439,0
29.12267,0
15.12717,0
7.11389,0
4.65202,0
3.99487,0
4.29901,0
5.64846,0
12.42496,0
12.60396,0
20.07876,0.147
17.03814,0.366
18.13486,0.535
19.8784,0.653
19.76895,0.72
21.58002,0.736
24.29634,0.707
20.83278,0.629
27.94138,0.501
20.21084,0.32
25.49728,0.105
48.81399,0
66.8979,0
70.05319,0
52.82597,0
27.12173,0
11.72392,0
6.9548,0
5.42967,0
5.12269,0
5.45386,0
5.69074,0
11.69871,0
14.90536,0
23.49752,0.118
17.45982,0.312
17.42011,0.468
26.14366,0.57
28.127,0.645
24.7077,0.683
30.24003,0.66
23.82918,0.584
28.15801,0.451
24.48801,0.279
32.9824,0.086
53.84588,0
74.14465,0
74.54256,0
55.80057,0
32.35664,0
14.67696,0
6.71978,0
4.57117,0
4.74413,0
5.12863,0
5.79013,0
10.92811,0
14.796,0
21.8698,0.071
18.57927,0.209
19.80714,0.367
26.44879,0.527
27.54039,0.643
28.87201,0.679
29.5893,0.654
25.71733,0.576
25.20462,0.438
23.77344,0.265
33.52254,0.079
51.31869,0
74.5057,0
81.5589,0
62.15971,0
32.42635,0
16.37148,0
7.07516,0
4.10559,0
4.54625,0
5.08968,0
5.00149,0
10.56117,0
13.91924,0
19.3479,0.091
16.93252,0.278
21.20731,0.459
24.25149,0.587
24.69981,0.656
23.58455,0.668
23.93179,0.629
22.09412,0.535
23.19437,0.395
27.62766,0.231
28.64579,0.067
40.26374,0
59.88071,0
70.95802,0
46.16549,0
28.12407,0
15.60376,0
6.23282,0
4.81557,0
4.78858,0
6.09577,0
6.00467,0
11.21538,0
16.29198,0
22.74779,0.109
20.48569,0.282
19.80066,0.437
23.48432,0.572
28.50465,0.659
29.27761,0.68
24.03921,0.645
23.76077,0.563
28.0905,0.435
26.95595,0.263
36.63153,0.079
48.76536,0
62.86446,0
61.65066,0
57.00964,0
27.97315,0
13.66937,0
5.82252,0
4.97401,0
4.64914,0
5.66615,0
5.13243,0
11.7456,0
17.19412,0
19.67043,0.068
17.49621,0.256
19.99454,0.472
23.67923,0.626
30.35702,0.699
29.04614,0.716
24.5172,0.687
21.19254,0.607
29.29963,0.473
30.76757,0.291
32.19493,0.09
47.11145,0
65.88096,0
74.6941,0
54.80101,0
25.42399,0
13.82438,0
5.9817,0
4.41147,0
4.33208,0
3.5319,0
4.49988,0
8.82441,0
11.94427,0
17.50052,0.102
13.49696,0.293
16.81667,0.454
19.09476,0.579
24.26289,0.662
17.62678,0.685
24.05858,0.652
20.90855,0.544
24.01913,0.356
16.66146,0.201
28.87985,0.058
39.51957,0
55.89495,0
66.10152,0
46.93071,0
23.21146,0
13.3664,0
5.08442,0
3.63747,0
4.71405,0
4.90189,0
5.42527,0
8.60872,0
11.84128,0
21.35464,0.094
11.90722,0.269
18.76051,0.428
19.50879,0.547
24.60951,0.606
24.72763,0.63
22.77002,0.591
27.1308,0.517
20.83169,0.411
20.93145,0.244
28.37071,0.071
44.74666,0
42.20142,0
72.12677,0
55.25781,0
22.49839,0
16.08666,0
5.97077,0
4.82973,0
4.75428,0
4.93016,0
5.19168,0
11.84132,0
16.68356,0
19.46498,0.073
18.52697,0.224
16.79648,0.398
20.77581,0.542
23.78806,0.622
24.89729,0.621
24.22659,0.557
27.92576,0.453
23.00397,0.342
26.36874,0.202
34.05191,0.064
47.98429,0
67.27352,0
82.87606,0
52.86699,0
32.58827,0
17.37207,0
6.15275,0
4.89473,0
4.13445,0
4.55076,0
3.49791,0
7.33857,0
11.20745,0
20.37969,0.108
15.18927,0.304
16.29279,0.469
20.53999,0.56
23.61687,0.616
26.70228,0.611
22.44263,0.549
23.11872,0.436
22.04556,0.258
23.91815,0.115
33.03593,0.028
49.16157,0
62.71341,0
66.72736,0
45.57348,0
27.46824,0
12.89558,0
6.20229,0
3.9103,0
3.84793,0
2.9878,0
3.34327,0
8.52997,0
10.116,0
14.4465,0.071
14.9816,0.213
12.81663,0.352
10.60293,0.472
15.66741,0.567
21.03115,0.612
17.88237,0.605
19.30925,0.511
22.0943,0.285
22.46617,0.108
20.85183,0.026
32.22508,0
46.46455,0
51.47283,0
36.24519,0
20.34697,0
13.62285,0
4.29345,0
4.00713,0
4.85722,0
5.07437,0
4.33784,0
8.8596,0
15.95265,0
19.86207,0.104
15.41135,0.296
16.4563,0.475
19.67751,0.595
20.92466,0.657
21.34684,0.67
25.57576,0.616
16.22164,0.515
23.35853,0.37
23.70479,0.19
23.54548,0.049
