"Delivery Period (CET/CEST)","Area","Reserve Type","Time Horizon","Source","Type of product","Procurement Date & Time (CET/CEST)","Instance Code","ISP (CET/CEST)","Volume (MW)","Price (EUR)","Price Type","Direction"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 00:00 - 15/11/2025 00:15","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 00:15 - 15/11/2025 00:30","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 00:30 - 15/11/2025 00:45","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 00:45 - 15/11/2025 01:00","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 01:00 - 15/11/2025 01:15","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 01:15 - 15/11/2025 01:30","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 01:30 - 15/11/2025 01:45","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 01:45 - 15/11/2025 02:00","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 02:00 - 15/11/2025 02:15","537.00","2.54","Average","Down"
"15/11/2025 00:00 - 16/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-14T08:00:00Z","6c4db43235812509a4b1843c8dbd96da","15/11/2025 02:15 - 15/11/2025 02:30","537.00","2.54","Average","Down"
