"Delivery Period (CET/CEST)","Area","Reserve Type","Time Horizon","Source","Type of product","Procurement Date & Time (CET/CEST)","Instance Code","ISP (CET/CEST)","Volume (MW)","Price (EUR)","Price Type","Direction"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 00:00 - 01/11/2025 00:15","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 00:15 - 01/11/2025 00:30","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 00:30 - 01/11/2025 00:45","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 00:45 - 01/11/2025 01:00","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 01:00 - 01/11/2025 01:15","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 01:15 - 01/11/2025 01:30","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 01:30 - 01/11/2025 01:45","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 01:45 - 01/11/2025 02:00","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 02:00 - 01/11/2025 02:15","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 02:15 - 01/11/2025 02:30","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 02:30 - 01/11/2025 02:45","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 02:45 - 01/11/2025 03:00","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 03:00 - 01/11/2025 03:15","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 03:15 - 01/11/2025 03:30","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 03:30 - 01/11/2025 03:45","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 03:45 - 01/11/2025 04:00","268.00","1.27","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 04:00 - 01/11/2025 04:15","234.00","2.06","Average","Up"
"01/11/2025 00:00 - 02/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-10-31T08:00:00Z","f40f8d4932b84c044a072a9513b76948","01/11/2025 04:15 - 01/11/2025 04:30","234.00","2.06","Average","Up"
