Datum;Zeitzone;von;bis;Einheit;50Hertz (Positiv);Amprion (Positiv);TenneT TSO (Positiv);TransnetBW (Positiv);Deutschland (Positiv);50Hertz (Negativ);Amprion (Negativ);TenneT TSO (Negativ);TransnetBW (Negativ);Deutschland (Negativ);MOL-Abweichung
01.11.2025;CET;00:00;00:15;MW;8,544;34,202;28,775;15,682;87,203;9,417;2,107;9,933;1,835;23,292;0
01.11.2025;CET;00:15;00:30;MW;66,347;91,772;69,467;166,375;393,961;0,049;0;1,32;0,145;1,514;0
01.11.2025;CET;00:30;00:45;MW;61,714;98,571;84,291;140,733;385,309;0,157;0;0,946;0;1,103;0
01.11.2025;CET;00:45;01:00;MW;137,396;103,004;60,468;211,093;511,961;0;0;1,062;0;1,062;0
01.11.2025;CET;01:00;01:15;MW;129,301;54,31;74,045;36,762;294,418;0,243;0;0,652;0;0,895;0
01.11.2025;CET;01:15;01:30;MW;151,819;105,596;72,971;120,272;450,658;0;0;0,781;0;0,781;0
01.11.2025;CET;01:30;01:45;MW;26,967;28,281;19,082;7,161;81,491;1,487;0,183;0,676;0,356;2,702;0
01.11.2025;CET;01:45;02:00;MW;85,059;80,726;55,612;37,653;259,05;0,158;0,009;1,033;0,327;1,527;0
01.11.2025;CET;02:00;02:15;MW;28,379;6,095;32,728;6,852;74,054;1,267;0,239;1,368;2,444;5,318;0
01.11.2025;CET;02:15;02:30;MW;1,276;0,005;0,633;0,062;1,976;4,239;1,122;2,358;1,336;9,055;0
01.11.2025;CET;02:30;02:45;MW;4,131;1,459;24,572;12,85;43,012;0,187;0,099;0,818;1,426;2,53;0
01.11.2025;CET;02:45;03:00;MW;47,395;40,93;65,394;86,084;239,803;0,048;0,047;0,577;0,491;1,163;0
01.11.2025;CET;03:00;03:15;MW;57,025;33,453;45,799;98,436;234,713;0;0,047;0,933;0,429;1,409;0
01.11.2025;CET;03:15;03:30;MW;48,04;15,15;33,247;13,817;110,254;0,599;0,21;0,858;1,097;2,764;0
01.11.2025;CET;03:30;03:45;MW;46,176;15,142;49,101;64,339;174,758;0,346;0,014;0,61;0,057;1,027;0
01.11.2025;CET;03:45;04:00;MW;9,395;0,534;3,653;6,944;20,526;1,656;0,462;0,698;0,377;3,193;0
01.11.2025;CET;04:00;04:15;MW;3,867;33,395;16,459;69,826;123,547;0,059;0,16;0,813;0,55;1,582;0
01.11.2025;CET;04:15;04:30;MW;1,063;10,046;13,669;5,367;30,145;0,059;0,107;0,656;1,68;2,502;0
01.11.2025;CET;04:30;04:45;MW;0,674;1,42;6,948;2,547;11,589;0,049;0,417;0,643;1,335;2,444;0
01.11.2025;CET;04:45;05:00;MW;0,05;0,033;0,606;1,338;2,027;3,29;1,054;7,077;1,641;13,062;0
01.11.2025;CET;05:00;05:15;MW;1,444;0,958;11,854;2,225;16,481;4,27;0,937;6,032;5,209;16,448;0
01.11.2025;CET;05:15;05:30;MW;0,359;0;0,455;0,652;1,466;2,234;1,667;3,88;1,567;9,348;0
01.11.2025;CET;05:30;05:45;MW;4,376;12,641;16,312;15,564;48,893;0,004;0,269;1,468;0,078;1,819;0
01.11.2025;CET;05:45;06:00;MW;3,417;19,348;32,437;15,793;70,995;0,092;0,088;1,63;0,751;2,561;0
01.11.2025;CET;06:00;06:15;MW;3,545;39,449;31,962;42,544;117,5;1,488;0,039;3,206;0,686;5,419;0
01.11.2025;CET;06:15;06:30;MW;1,072;0,767;14,04;3,9;19,779;6,306;0,521;5,191;1,921;13,939;0
01.11.2025;CET;06:30;06:45;MW;1,037;0,355;2,809;1,571;5,772;10,231;1,528;11,131;2,601;25,491;0
01.11.2025;CET;06:45;07:00;MW;0,161;0;0,273;0,382;0,816;41,009;10,64;31,526;48,134;131,309;0
01.11.2025;CET;07:00;07:15;MW;0,613;0;0,923;1,213;2,749;9,624;4,599;9,922;10,31;34,455;0
01.11.2025;CET;07:15;07:30;MW;0;0;0,276;0,232;0,508;53,876;13,912;44,298;36,781;148,867;0
01.11.2025;CET;07:30;07:45;MW;0,443;0;0,253;0,881;1,577;10,211;4,197;9,507;7,755;31,67;0
01.11.2025;CET;07:45;08:00;MW;0,215;0;0,546;0,467;1,228;29,05;8,909;28,171;22,509;88,639;0
01.11.2025;CET;08:00;08:15;MW;0;0;0,253;0,919;1,172;48,508;11,492;41,865;8,201;110,066;0
01.11.2025;CET;08:15;08:30;MW;0,004;0;0,315;1,21;1,529;51,761;10,827;44,673;30,224;137,485;0
01.11.2025;CET;08:30;08:45;MW;0,106;0,002;0,346;0,505;0,959;32,441;7,972;24,576;16,501;81,49;0
01.11.2025;CET;08:45;09:00;MW;0,325;0,043;2,468;0,795;3,631;35,875;11,973;23,589;41,117;112,554;0
01.11.2025;CET;09:00;09:15;MW;11,88;2,113;15,467;10,847;40,307;6,258;3,439;4,024;8;21,721;0
01.11.2025;CET;09:15;09:30;MW;2,763;0,003;2,483;0,331;5,58;9,404;8,153;7,92;1,041;26,518;0
01.11.2025;CET;09:30;09:45;MW;49,685;7,419;40,531;69,501;167,136;0;0,28;1,315;3,004;4,599;0
01.11.2025;CET;09:45;10:00;MW;89,399;62,14;59,329;194,671;405,539;0;0;1,435;0;1,435;0
01.11.2025;CET;10:00;10:15;MW;92,792;42,437;57,811;309,26;502,3;0;0;0,89;0;0,89;0
01.11.2025;CET;10:15;10:30;MW;54,687;7,763;18,935;75,136;156,521;0;0,372;0,665;0,04;1,077;0
01.11.2025;CET;10:30;10:45;MW;36,332;11,643;27,754;20,216;95,945;0,017;2,742;3,385;0,885;7,029;0
01.11.2025;CET;10:45;11:00;MW;0,334;0;0,995;0,036;1,365;64,949;20,721;57,36;155,876;298,906;0
01.11.2025;CET;11:00;11:15;MW;2,979;0,119;2,781;0,562;6,441;9,608;2,903;5,34;16,144;33,995;0
01.11.2025;CET;11:15;11:30;MW;1,768;0,08;1,767;1,29;4,905;0,075;0,997;1,336;0,182;2,59;0
01.11.2025;CET;11:30;11:45;MW;1,109;0;0,589;0,839;2,537;0,259;1,145;0,848;0,968;3,22;0
01.11.2025;CET;11:45;12:00;MW;0,761;0,09;0,641;0,481;1,973;2,383;0,327;4,894;5,346;12,95;0
01.11.2025;CET;12:00;12:15;MW;0;0,016;0,502;0,057;0,575;56,357;8,048;38,825;211,847;315,077;0
01.11.2025;CET;12:15;12:30;MW;0,817;0;0,409;1,243;2,469;0,751;2,047;6,001;4,693;13,492;0
01.11.2025;CET;12:30;12:45;MW;6,519;11,285;24,84;16,948;59,592;0,177;0,854;1,792;0,886;3,709;0
01.11.2025;CET;12:45;13:00;MW;28,102;49,034;67,431;76,699;221,266;0;0;0,872;0;0,872;0
01.11.2025;CET;13:00;13:15;MW;83,233;134,897;74,548;248,583;541,261;0;0;1,602;0;1,602;0
01.11.2025;CET;13:15;13:30;MW;99,73;150,621;75,982;268,346;594,679;0;0;1,073;0;1,073;0
01.11.2025;CET;13:30;13:45;MW;69,777;115,429;57,151;186,188;428,545;0;0;1,317;1,782;3,099;0
01.11.2025;CET;13:45;14:00;MW;49,23;57,623;62,469;141,456;310,778;0;0,01;0,986;0;0,996;0
01.11.2025;CET;14:00;14:15;MW;33,387;68,481;58,428;121,944;282,24;0,009;0,655;0,639;0;1,303;0
01.11.2025;CET;14:15;14:30;MW;33,814;50,059;61,972;104,39;250,235;0,014;0;0,939;0,766;1,719;0
01.11.2025;CET;14:30;14:45;MW;1,263;26,354;21,505;9,444;58,566;3,308;0,598;6,921;3,83;14,657;0
01.11.2025;CET;14:45;15:00;MW;0,616;45,135;29,998;47,432;123,181;0,195;0,479;0,958;0,073;1,705;0
01.11.2025;CET;15:00;15:15;MW;9,886;78,302;31,126;105,123;224,437;0,111;1,606;3,036;3,878;8,631;0
01.11.2025;CET;15:15;15:30;MW;49,37;157,299;57,635;85,837;350,141;0;0;1,121;0;1,121;0
01.11.2025;CET;15:30;15:45;MW;4,823;13,323;30,122;6,313;54,581;0,447;0,797;0,984;0,277;2,505;0
01.11.2025;CET;15:45;16:00;MW;0,305;2,936;12,626;2,267;18,134;0,873;0,486;2,257;3,858;7,474;0
01.11.2025;CET;16:00;16:15;MW;54,727;73,804;75,378;165,879;369,788;0,253;0,375;3,594;0,02;4,242;0
01.11.2025;CET;16:15;16:30;MW;68,142;86,969;86,159;171,865;413,135;0;0;1,755;0;1,755;0
01.11.2025;CET;16:30;16:45;MW;70,922;92,887;97,802;192,583;454,194;0;0;2,06;2,537;4,597;0
01.11.2025;CET;16:45;17:00;MW;32,97;55,946;57,581;103,617;250,114;0;0;1,722;0,225;1,947;0
01.11.2025;CET;17:00;17:15;MW;2,602;4,033;5,397;9,838;21,87;9,586;3,906;20,35;4,351;38,193;0
01.11.2025;CET;17:15;17:30;MW;2,147;3,511;11,093;7,034;23,785;2,298;2,099;3,26;0,348;8,005;0
01.11.2025;CET;17:30;17:45;MW;0,186;0,214;1,261;1,436;3,097;22,117;1,685;47,065;2,601;73,468;0
01.11.2025;CET;17:45;18:00;MW;0,391;0;0,46;0,441;1,292;14,034;3,425;30,412;7,064;54,935;0
01.11.2025;CET;18:00;18:15;MW;0,175;0,578;0,263;2,636;3,652;4,355;1,837;10,896;1,846;18,934;0
01.11.2025;CET;18:15;18:30;MW;0,207;0;0,185;0,172;0,564;34,081;5,833;60,636;34,197;134,747;0
01.11.2025;CET;18:30;18:45;MW;0;0;0,138;0,085;0,223;67,798;7,65;63,831;63,999;203,278;0
01.11.2025;CET;18:45;19:00;MW;0;0;0,246;0;0,246;87,52;11,669;59,494;266,383;425,066;0
01.11.2025;CET;19:00;19:15;MW;0,197;0,012;0,36;1,69;2,259;23,687;7,446;20,076;42,325;93,534;0
01.11.2025;CET;19:15;19:30;MW;0,001;0;0,375;0,16;0,536;40,754;6,467;27,698;29,591;104,51;0
01.11.2025;CET;19:30;19:45;MW;0,263;0,115;0,349;3,526;4,253;17,732;3,864;10,076;7,114;38,786;0
01.11.2025;CET;19:45;20:00;MW;3,087;1,292;3,525;2,161;10,065;0,31;0,491;2,707;0,76;4,268;0
01.11.2025;CET;20:00;20:15;MW;0,573;1,276;1,426;1,337;4,612;0,313;1,107;2,114;0,994;4,528;0
01.11.2025;CET;20:15;20:30;MW;0,064;0;0,528;1,27;1,862;1,249;1,508;6,156;3,169;12,082;0
01.11.2025;CET;20:30;20:45;MW;0,459;1,101;0,591;2,401;4,552;0,293;1,169;2,592;3,553;7,607;0
01.11.2025;CET;20:45;21:00;MW;0,659;2,591;2,402;2,697;8,349;1,186;0,639;2,661;1,348;5,834;0
01.11.2025;CET;21:00;21:15;MW;1,27;3,223;5,763;0,923;11,179;4,484;0,076;2,504;1,199;8,263;0
01.11.2025;CET;21:15;21:30;MW;0,095;2,364;1,943;2,268;6,67;4,42;0,389;2,454;1,597;8,86;0
01.11.2025;CET;21:30;21:45;MW;0,996;0,917;0,86;1,086;3,859;0,281;0,908;1,665;0,471;3,325;0
01.11.2025;CET;21:45;22:00;MW;63,111;9,07;51,791;22,325;146,297;1,323;0,079;1,888;0,459;3,749;0
01.11.2025;CET;22:00;22:15;MW;132,52;43,426;68,63;85,346;329,922;1,449;0,09;1,198;5,871;8,608;0
01.11.2025;CET;22:15;22:30;MW;94,72;12,085;61,994;38,685;207,484;0,35;0,081;1,443;1,563;3,437;0
01.11.2025;CET;22:30;22:45;MW;10,767;10,237;9,084;7,387;37,475;5,079;0;1,348;1,664;8,091;0
01.11.2025;CET;22:45;23:00;MW;26,659;5,819;11,888;5,749;50,115;3,975;4,324;15,168;57,733;81,2;0
01.11.2025;CET;23:00;23:15;MW;0,117;0;0,581;0,731;1,429;1,161;7,11;32,226;216,025;256,522;0
01.11.2025;CET;23:15;23:30;MW;0,112;0;0,272;0;0,384;1,362;6,164;32,08;230,307;269,913;0
01.11.2025;CET;23:30;23:45;MW;0,065;0;0,36;0,771;1,196;1,29;8,209;29,323;128,511;167,333;0
01.11.2025;CET;23:45;00:00;MW;0,15;0;0,45;0;0,6;2,378;3,201;37,885;310,709;354,173;0
02.11.2025;CET;00:00;00:15;MW;0,664;1,331;12,046;3,771;17,812;0,52;1,399;2,961;17,358;22,238;0
02.11.2025;CET;00:15;00:30;MW;0,213;0;0,546;0,74;1,499;22,937;3,819;14,521;43,646;84,923;0
02.11.2025;CET;00:30;00:45;MW;0;0;0,282;1,119;1,401;72,309;9,25;27,694;131,677;240,93;0
02.11.2025;CET;00:45;01:00;MW;0;0;0,296;0;0,296;124,306;12,112;41,608;211,163;389,189;0
02.11.2025;CET;01:00;01:15;MW;0,021;0;0,115;0,646;0,782;7,261;1,701;3,399;11,605;23,966;0
02.11.2025;CET;01:15;01:30;MW;2,281;0,266;6,433;0,493;9,473;0,335;1,001;1,45;1,341;4,127;0
02.11.2025;CET;01:30;01:45;MW;0,142;0,23;0,996;0,266;1,634;5,581;0,956;5,153;3,889;15,579;0
02.11.2025;CET;01:45;02:00;MW;0;0,008;0,383;0,001;0,392;146,457;10,494;35,7;109,382;302,033;0
02.11.2025;CET;02:00;02:15;MW;0;0;0,706;6,679;7,385;19,781;1,644;3,585;15,26;40,27;0
02.11.2025;CET;02:15;02:30;MW;0;0;0,466;0,285;0,751;35,795;6,292;23,741;42,843;108,671;0
02.11.2025;CET;02:30;02:45;MW;0;0,011;0,377;0;0,388;222,084;26,075;51,109;324,178;623,446;0
02.11.2025;CET;02:45;03:00;MW;0;0;0,532;0;0,532;175,631;13,816;41,439;306,621;537,507;0
02.11.2025;CET;03:00;03:15;MW;0;0;0,677;0,011;0,688;95,085;9,166;28,207;148,811;281,269;0
02.11.2025;CET;03:15;03:30;MW;0;0;0,351;0,596;0,947;27,27;6,158;13,677;28,572;75,677;0
02.11.2025;CET;03:30;03:45;MW;0;0,039;0,383;0;0,422;42,344;0,981;17,599;60,919;121,843;0
02.11.2025;CET;03:45;04:00;MW;0;0,349;0,374;0,109;0,832;21,473;0,221;10,502;16,054;48,25;0
02.11.2025;CET;04:00;04:15;MW;1,846;1,339;6,726;7,254;17,165;1,161;1,816;8,514;9,032;20,523;0
02.11.2025;CET;04:15;04:30;MW;8,629;2,936;12,407;0,585;24,557;1,167;0,714;1,754;1,11;4,745;0
02.11.2025;CET;04:30;04:45;MW;54,089;9,091;74,893;4,897;142,97;0,056;0;2,07;0,982;3,108;0
02.11.2025;CET;04:45;05:00;MW;43,824;55,515;79,131;2,134;180,604;0;0,043;1,283;2,28;3,606;0
02.11.2025;CET;05:00;05:15;MW;37,582;70,548;79,749;5,056;192,935;0;0;1,782;1,352;3,134;0
02.11.2025;CET;05:15;05:30;MW;10,934;12,666;20,418;0,895;44,913;0,395;0;1,64;1,155;3,19;0
02.11.2025;CET;05:30;05:45;MW;7,19;6,84;7,556;1,844;23,43;1,485;0,201;1,669;0,437;3,792;0
02.11.2025;CET;05:45;06:00;MW;12,034;10,317;7,09;1,031;30,472;1,034;0,237;1,355;0,841;3,467;0
02.11.2025;CET;06:00;06:15;MW;26,906;3,634;21,405;4,525;56,47;1,146;0,783;2,395;1,22;5,544;0
02.11.2025;CET;06:15;06:30;MW;46,607;6,636;46,751;0,018;100,012;0;0;1,918;4,521;6,439;0
02.11.2025;CET;06:30;06:45;MW;26,35;5,596;58,876;4,14;94,962;0,578;0,081;1,507;3,675;5,841;0
02.11.2025;CET;06:45;07:00;MW;9,735;4,353;44,137;1,446;59,671;1,395;0,218;0,934;1,284;3,831;0
02.11.2025;CET;07:00;07:15;MW;0,23;0,271;0,612;0,821;1,934;1,891;1,861;2,389;1,518;7,659;0
02.11.2025;CET;07:15;07:30;MW;0,089;0,03;0,61;1,321;2,05;0,158;1,502;1,959;0,645;4,264;0
02.11.2025;CET;07:30;07:45;MW;0,007;0,051;0,649;0,334;1,041;16,764;2,554;37,403;60,938;117,659;0
02.11.2025;CET;07:45;08:00;MW;0;0;0,886;0,621;1,507;13,39;5,619;29,263;16,596;64,868;0
02.11.2025;CET;08:00;08:15;MW;0;0;0,103;0,048;0,151;56,128;4,699;61,585;80,111;202,523;0
02.11.2025;CET;08:15;08:30;MW;0;0;0,364;0;0,364;79,668;4,855;56,552;153,917;294,992;0
02.11.2025;CET;08:30;08:45;MW;0;0;0,502;0;0,502;65,264;5,172;46,031;158,907;275,374;0
02.11.2025;CET;08:45;09:00;MW;0,092;0,075;0,287;0,54;0,994;8,011;0,695;22,64;31,512;62,858;0
02.11.2025;CET;09:00;09:15;MW;0,087;0,254;0,448;1,111;1,9;21,072;1,684;9,588;3,338;35,682;0
02.11.2025;CET;09:15;09:30;MW;0;0;0,261;1,98;2,241;44,112;4,929;26,211;38,542;113,794;0
02.11.2025;CET;09:30;09:45;MW;0,457;0,417;3,86;4,203;8,937;7,507;0,688;3,304;3,879;15,378;0
02.11.2025;CET;09:45;10:00;MW;115,345;5,632;92,719;65,114;278,81;0,618;0,043;2,721;0,45;3,832;0
02.11.2025;CET;10:00;10:15;MW;14,375;2,372;47,092;2,839;66,678;4,406;0,294;2,273;0,449;7,422;0
02.11.2025;CET;10:15;10:30;MW;0,46;2,556;7,889;6;16,905;6,599;0,19;2,458;7,508;16,755;0
02.11.2025;CET;10:30;10:45;MW;1,586;3,344;7,283;3,15;15,363;4,79;0,1;2,572;0,812;8,274;0
02.11.2025;CET;10:45;11:00;MW;89,949;8,276;90,847;36,405;225,477;0,021;0,046;2,283;0,476;2,826;0
02.11.2025;CET;11:00;11:15;MW;118,783;9,089;103,337;46,729;277,938;0,044;0;0,847;0,04;0,931;0
02.11.2025;CET;11:15;11:30;MW;191,353;9,837;116,294;101,438;418,922;0;0,108;0,73;0;0,838;0
02.11.2025;CET;11:30;11:45;MW;112,854;7,693;112,189;40,842;273,578;0,064;0,032;0,819;0,011;0,926;0
02.11.2025;CET;11:45;12:00;MW;19,117;2,747;41,802;3,329;66,995;5,021;1,103;3,504;1,454;11,082;0
02.11.2025;CET;12:00;12:15;MW;0,168;0,009;0,55;1,458;2,185;5,241;2,254;3,703;2,078;13,276;0
02.11.2025;CET;12:15;12:30;MW;0,548;0,021;0,439;1,332;2,34;11,146;2,184;9,873;8,223;31,426;0
02.11.2025;CET;12:30;12:45;MW;1,499;0,442;0,607;1,492;4,04;15,575;0,777;18,669;13,412;48,433;0
02.11.2025;CET;12:45;13:00;MW;78,669;4,807;55,735;21,204;160,415;0,764;0,175;0,742;0,472;2,153;0
02.11.2025;CET;13:00;13:15;MW;152,227;82,382;93,797;42,627;371,033;0;0,161;1,29;0,397;1,848;0
02.11.2025;CET;13:15;13:30;MW;24,353;41,315;45,498;5,958;117,124;1,77;0,604;0,684;0,584;3,642;0
02.11.2025;CET;13:30;13:45;MW;14,012;21,913;16,934;3,218;56,077;1,491;0,315;1,127;0,248;3,181;0
02.11.2025;CET;13:45;14:00;MW;55,035;64,21;69,916;10,025;199,186;0;0,025;0,664;0,49;1,179;0
02.11.2025;CET;14:00;14:15;MW;208,267;12,066;86,14;44,162;350,635;0;0,221;1,581;0,298;2,1;0
02.11.2025;CET;14:15;14:30;MW;102,016;3,771;39,205;13,788;158,78;3,631;0,205;5,634;11,424;20,894;0
02.11.2025;CET;14:30;14:45;MW;109,912;3,599;35,32;6,419;155,25;0;0,212;1,054;2,562;3,828;0
02.11.2025;CET;14:45;15:00;MW;2,007;0,01;2,606;1,639;6,262;0,514;1,161;1,173;1,355;4,203;0
02.11.2025;CET;15:00;15:15;MW;14,655;1,146;7,767;3,009;26,577;21,248;0,775;19,842;10,249;52,114;0
02.11.2025;CET;15:15;15:30;MW;59,676;3,741;16,45;2,161;82,028;0;1,047;1,06;0,774;2,881;0
02.11.2025;CET;15:30;15:45;MW;16,638;0,656;8,588;2,001;27,883;0,017;0,716;1,096;10,944;12,773;0
02.11.2025;CET;15:45;16:00;MW;3,444;0,022;0,528;1,619;5,613;0,059;0,798;0,896;0,666;2,419;0
02.11.2025;CET;16:00;16:15;MW;25,749;3,183;23,792;9,101;61,825;0,215;0,572;3,88;2,003;6,67;0
02.11.2025;CET;16:15;16:30;MW;5,77;0,669;9,899;3,918;20,256;0,484;1,498;4,727;0,399;7,108;0
02.11.2025;CET;16:30;16:45;MW;7,27;0,705;2,495;1,773;12,243;31,385;3,173;20,495;24,336;79,389;0
02.11.2025;CET;16:45;17:00;MW;34,19;5,5;42,633;25,671;107,994;0,005;1,13;3,318;0,012;4,465;0
02.11.2025;CET;17:00;17:15;MW;44,223;31,728;71,303;47,37;194,624;0,004;0,046;2,557;0,252;2,859;0
02.11.2025;CET;17:15;17:30;MW;84,901;38,52;91,067;232,631;447,119;0;0,532;2,326;2,153;5,011;0
02.11.2025;CET;17:30;17:45;MW;15,976;24,533;38,422;61,083;140,014;0,012;0,302;2,56;0,334;3,208;0
02.11.2025;CET;17:45;18:00;MW;0,929;1,954;10,587;16,522;29,992;0,178;1,027;2,769;0,02;3,994;0
02.11.2025;CET;18:00;18:15;MW;121,583;20,238;122,769;113,351;377,941;0;0,72;2,795;0;3,515;0
02.11.2025;CET;18:15;18:30;MW;118,552;23,674;112,079;82,471;336,776;0,001;0,001;2,757;0,484;3,243;0
02.11.2025;CET;18:30;18:45;MW;22,828;3,327;19,027;1,205;46,387;0,04;0,981;2,947;3,169;7,137;0
02.11.2025;CET;18:45;19:00;MW;0,289;0;0,447;0,061;0,797;0,151;1,449;3,728;4,686;10,014;0
02.11.2025;CET;19:00;19:15;MW;28,316;2,83;18,578;11,068;60,792;0,022;2,199;1,743;3,874;7,838;0
02.11.2025;CET;19:15;19:30;MW;28,675;0,848;20,858;9,415;59,796;0,17;3,566;4,271;3,296;11,303;0
02.11.2025;CET;19:30;19:45;MW;0,867;0;2,097;2,441;5,405;2,394;2,562;5,337;1,203;11,496;0
02.11.2025;CET;19:45;20:00;MW;24,041;1,01;27,993;3,452;56,496;4,735;1,505;5,303;3,287;14,83;0
02.11.2025;CET;20:00;20:15;MW;20,292;0,074;10,527;3,347;34,24;0,048;2,041;2,038;0,601;4,728;0
02.11.2025;CET;20:15;20:30;MW;90,529;13,478;39,476;29,992;173,475;0,054;1,107;1,539;0,791;3,491;0
02.11.2025;CET;20:30;20:45;MW;24,92;2,479;30,703;48,04;106,142;1,485;0,861;1,704;0,187;4,237;0
02.11.2025;CET;20:45;21:00;MW;0,225;0,131;0,981;2,822;4,159;2,4;0,265;2,255;0,165;5,085;0
02.11.2025;CET;21:00;21:15;MW;0,146;0,921;2,534;2,843;6,444;1,586;0,343;3,543;1,614;7,086;0
02.11.2025;CET;21:15;21:30;MW;31,591;0,475;23,785;24,39;80,241;1,256;1,072;1,779;0,165;4,272;0
02.11.2025;CET;21:30;21:45;MW;63,491;6,793;48,625;67,817;186,726;0,626;0,461;1,143;0,398;2,628;0
02.11.2025;CET;21:45;22:00;MW;176,71;21,677;73,529;200,39;472,306;0;0,18;1,455;0;1,635;0
02.11.2025;CET;22:00;22:15;MW;31,748;2,773;22,638;23,324;80,483;0,247;0,635;1,379;0,974;3,235;0
02.11.2025;CET;22:15;22:30;MW;34,614;4,537;31,569;20,941;91,661;1,594;0,441;1,746;0,173;3,954;0
02.11.2025;CET;22:30;22:45;MW;8,348;0,565;5,081;4,219;18,213;1,757;1,896;3,326;1,452;8,431;0
02.11.2025;CET;22:45;23:00;MW;0,263;0;1,205;0,709;2,177;4,453;1,891;4,612;0,942;11,898;0
02.11.2025;CET;23:00;23:15;MW;0,004;0,042;0,247;0,438;0,731;6,941;2,339;14,02;16,148;39,448;0
02.11.2025;CET;23:15;23:30;MW;0,08;0;0,288;0;0,368;15,944;7,805;34,476;244,678;302,903;0
02.11.2025;CET;23:30;23:45;MW;0,07;0;0,144;0,364;0,578;22,193;9,278;35,595;207,69;274,756;0
02.11.2025;CET;23:45;00:00;MW;0;0;1,002;0;1,002;12,808;5,985;34,946;146,817;200,556;0
03.11.2025;CET;00:00;00:15;MW;0,08;0;0,944;0;1,024;38,2;9,076;42,407;304,321;394,004;0
03.11.2025;CET;00:15;00:30;MW;0,009;0;0,314;0,814;1,137;6,898;5,01;16,696;43,798;72,402;0
03.11.2025;CET;00:30;00:45;MW;0;0;0,257;1,193;1,45;13,122;5,332;26,976;69,145;114,575;0
03.11.2025;CET;00:45;01:00;MW;0,048;0;0,379;0,031;0,458;7,596;3,243;34,732;229,751;275,322;0
03.11.2025;CET;01:00;01:15;MW;0,027;0;0,386;1,763;2,176;3,026;1,961;4,367;26,322;35,676;0
03.11.2025;CET;01:15;01:30;MW;0,217;0;0,224;1,359;1,8;0,453;1,471;1,868;0,532;4,324;0
03.11.2025;CET;01:30;01:45;MW;0,078;0,002;0,306;1,407;1,793;0,28;1,103;1,631;1,173;4,187;0
03.11.2025;CET;01:45;02:00;MW;0,194;0,004;0,449;0,905;1,552;0,432;0,963;1,231;0,736;3,362;0
03.11.2025;CET;02:00;02:15;MW;3,853;2,369;1,892;2,768;10,882;0,219;0,292;0,741;2,474;3,726;0
03.11.2025;CET;02:15;02:30;MW;0,725;0;0,287;0,781;1,793;0,239;1,512;0,697;3,835;6,283;0
03.11.2025;CET;02:30;02:45;MW;6,034;1,732;5,28;1,174;14,22;0,182;0,71;0,687;2,45;4,029;0
03.11.2025;CET;02:45;03:00;MW;6,179;1,467;5,244;0,944;13,834;0,001;0,796;1,319;1,199;3,315;0
03.11.2025;CET;03:00;03:15;MW;1,619;0,066;0,474;0,491;2,65;0,459;1,515;1,319;4,006;7,299;0
03.11.2025;CET;03:15;03:30;MW;0;0,047;0,492;0;0,539;4,323;1,194;30,435;159,701;195,653;0
03.11.2025;CET;03:30;03:45;MW;0,133;0,061;0,215;5,759;6,168;3,008;1,08;14,839;77,798;96,725;0
03.11.2025;CET;03:45;04:00;MW;0,385;0,154;0,357;1,776;2,672;0,574;1,013;3,839;8,673;14,099;0
03.11.2025;CET;04:00;04:15;MW;6,644;7,508;47,879;2,429;64,46;0,265;0;1,093;0,643;2,001;0
03.11.2025;CET;04:15;04:30;MW;7,181;5,566;53,952;2,094;68,793;0,044;0,162;1,476;0,44;2,122;0
03.11.2025;CET;04:30;04:45;MW;0,564;0,815;4,332;0,608;6,319;0,191;1,016;2,634;1,191;5,032;0
03.11.2025;CET;04:45;05:00;MW;0,06;0,18;0,241;0,895;1,376;2,916;0,407;2,643;7,652;13,618;0
03.11.2025;CET;05:00;05:15;MW;0,714;5,044;28,048;1,387;35,193;2,501;0,11;2,535;38,176;43,322;0
03.11.2025;CET;05:15;05:30;MW;0,104;1,49;10,198;2,434;14,226;0,639;0,252;2,002;1,31;4,203;0
03.11.2025;CET;05:30;05:45;MW;3,195;4,885;36,785;3,773;48,638;0,233;0,476;2,359;0,647;3,715;0
03.11.2025;CET;05:45;06:00;MW;0,274;2,075;18,103;4,527;24,979;0,466;0;2,27;0,347;3,083;0
03.11.2025;CET;06:00;06:15;MW;27,09;60,565;72,673;103,086;263,414;0,256;0,541;4,988;1,334;7,119;0
03.11.2025;CET;06:15;06:30;MW;2,735;9,001;17,627;8,021;37,384;0,197;0,339;3,053;0,87;4,459;0
03.11.2025;CET;06:30;06:45;MW;0,075;0,73;0,619;0;1,424;6,009;0,014;18,658;115,209;139,89;0
03.11.2025;CET;06:45;07:00;MW;0,926;4,687;10,281;7,473;23,367;2,924;0,373;9,523;34,439;47,259;0
03.11.2025;CET;07:00;07:15;MW;0,128;15,537;36,657;20,404;72,726;1,682;1,661;6,631;3,567;13,541;0
03.11.2025;CET;07:15;07:30;MW;0,122;6,345;21,675;5,426;33,568;0,197;0,631;2,764;2,69;6,282;0
03.11.2025;CET;07:30;07:45;MW;0,526;0,121;1,671;1,31;3,628;0,145;1,799;3,051;0,845;5,84;0
03.11.2025;CET;07:45;08:00;MW;0,205;4,529;7,94;4,018;16,692;0,196;0,707;2,756;3,9;7,559;0
