"Delivery Period (CET/CEST)","Area","Reserve Type","Time Horizon","Source","Type of product","Procurement Date & Time (CET/CEST)","Instance Code","ISP (CET/CEST)","Volume (MW)","Price (EUR)","Price Type","Direction"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 00:00 - 29/11/2025 00:15","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 00:15 - 29/11/2025 00:30","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 00:30 - 29/11/2025 00:45","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 00:45 - 29/11/2025 01:00","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 01:00 - 29/11/2025 01:15","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 01:15 - 29/11/2025 01:30","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 01:30 - 29/11/2025 01:45","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 01:45 - 29/11/2025 02:00","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 02:00 - 29/11/2025 02:15","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 02:15 - 29/11/2025 02:30","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 02:30 - 29/11/2025 02:45","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 02:45 - 29/11/2025 03:00","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 03:00 - 29/11/2025 03:15","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 03:15 - 29/11/2025 03:30","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 03:30 - 29/11/2025 03:45","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 03:45 - 29/11/2025 04:00","463.00","1.85","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 04:00 - 29/11/2025 04:15","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 04:15 - 29/11/2025 04:30","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 04:30 - 29/11/2025 04:45","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 04:45 - 29/11/2025 05:00","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 05:00 - 29/11/2025 05:15","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 05:15 - 29/11/2025 05:30","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 05:30 - 29/11/2025 05:45","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 05:45 - 29/11/2025 06:00","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 06:00 - 29/11/2025 06:15","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 06:15 - 29/11/2025 06:30","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 06:30 - 29/11/2025 06:45","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 06:45 - 29/11/2025 07:00","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 07:00 - 29/11/2025 07:15","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 07:15 - 29/11/2025 07:30","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 07:30 - 29/11/2025 07:45","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 07:45 - 29/11/2025 08:00","413.00","1.15","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 08:00 - 29/11/2025 08:15","460.00","1.01","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 08:15 - 29/11/2025 08:30","460.00","1.01","Average","Down"
"29/11/2025 00:00 - 30/11/2025 00:00","SCA|DE(TenneT GER)","aFRR","Daily","Generation","Standard","2025-11-28T08:00:00Z","c52ec62108314c37941cf428f0916e99","29/11/2025 08:30 - 29/11/2025 08:45","460.00","1.01","Average","Down"
