timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
46,0.6478268489,-29.46,0.6024346367,175,0.5049254559,94.8573205796,0.0007559118,25.4541590277,0.1382947022
47,0.6551624856,-29.16,0.6024302423,182.3223304703,0.5049209765,94.8564790639,0.0007644714,25.4545271115,0.1382978746
48,0.6275474438,-24.59,0.6024467853,200,0.5049378392,94.8596469541,0.000732249,25.4531414581,0.138285932
49,0.5916453858,-24.1,0.6024682927,217.6776695297,0.5049597622,94.8637654987,0.0006903569,25.451339983,0.1382704057
50,0.5662210205,-21.68,0.6024835233,225,0.5049752872,94.8666820831,0.0006606907,25.4500642523,0.1382594106
51,0.5465049322,-21.22,0.6024953344,217.6776695297,0.5049873265,94.8689438361,0.0006376851,25.4490749485,0.1382508841
52,0.5273271243,-20.64,0.602506823,200,0.5049990371,94.8711438397,0.0006153076,25.4481126543,0.1382425904
53,0.5210805668,-20.9,0.6025105651,182.3223304703,0.5050028515,94.8718604205,0.0006080189,25.4477992177,0.138239889
54,0.5098643032,-22.5,0.6025172842,175,0.5050097005,94.8731471066,0.0005949313,25.4472364138,0.1382350383
55,0.4923263732,-27.46,0.6025277905,182.3223304703,0.5050204098,94.8751589898,0.0005744673,25.4463564046,0.1382274538
56,0.5024410395,-35.45,0.6025217312,200,0.5050142334,94.8739986746,0.0005862695,25.4468639331,0.138231828
57,0.5204171048,-40.08,0.6025109625,217.6776695297,0.5050032566,94.8719365302,0.0006072447,25.4477659269,0.138239602
58,0.5498222423,-39.93,0.6024933471,225,0.5049853008,94.8685632872,0.0006415559,25.4492414028,0.1382523187
59,0.5796154424,-36.44,0.6024754993,217.6776695297,0.5049671081,94.865145527,0.0006763199,25.4507363507,0.1382652032
60,0.6120249362,-35.64,0.6024560841,200,0.5049473178,94.8614276359,0.0007141366,25.4523625776,0.1382792191
61,0.6220519754,-30.92,0.6024500774,182.3223304703,0.5049411949,94.8602773729,0.0007258366,25.4528657093,0.1382835555
62,0.6061539232,-27.77,0.6024596012,175,0.5049509028,94.8621011357,0.0007072861,25.452067985,0.1382766801
63,0.5948750688,-25.28,0.6024663579,182.3223304703,0.5049577901,94.863395002,0.0006941255,25.4515020404,0.1382718024
64,0.5931350458,-25.26,0.6024674003,200,0.5049588526,94.8635946107,0.0006920951,25.4514147304,0.1382710499
65,0.6245681238,-25.49,0.60244857,217.6776695297,0.5049396585,94.8599887302,0.0007287726,25.4529919633,0.1382846436
66,0.6775950128,-28,0.6024168039,225,0.5049072785,94.8539056916,0.0007906466,25.4556527193,0.1383075758
67,0.6912898703,-31.82,0.6024085999,217.6776695297,0.5048989159,94.8523346707,0.0008066263,25.4563398928,0.1383134983
68,0.6768439237,-33.61,0.6024172538,200,0.5049077371,94.8539918536,0.0007897702,25.4556150315,0.138307251
69,0.6505182515,-31.98,0.6024330244,182.3223304703,0.5049238125,94.8570118324,0.0007590523,25.4542940755,0.1382958661
70,0.6395773872,-30.66,0.6024395786,175,0.5049304933,94.8582669258,0.000746286,25.4537450904,0.1382911346
71,0.6529092184,-32.16,0.6024315921,182.3223304703,0.5049223525,94.8567375499,0.0007618422,25.4544140482,0.1382969001
72,0.623341345,-28.94,0.602449305,200,0.5049404076,94.8601294615,0.0007273411,25.4529304066,0.1382841131
73,0.5909068149,-23.72,0.6024687351,217.6776695297,0.5049602132,94.8638502247,0.0006894951,25.4513029234,0.1382700863
74,0.5625782384,-23.21,0.6024857056,225,0.5049775116,94.8670999689,0.0006564401,25.4498814666,0.1382578352
75,0.5477066747,-21.63,0.6024946145,217.6776695297,0.5049865927,94.8688059769,0.0006390874,25.4491352489,0.1382514038
76,0.5408467278,-21.29,0.602498724,200,0.5049907816,94.8695929233,0.0006310829,25.448791034,0.1382484371
77,0.5454283711,-21.26,0.6024959793,182.3223304703,0.5049879839,94.869067335,0.000636429,25.4490209294,0.1382504185
78,0.5579340043,-21.3,0.6024884877,175,0.5049803475,94.8676327374,0.0006510211,25.4496484306,0.1382558267
79,0.6032872665,-21.53,0.6024613185,182.3223304703,0.5049526533,94.8624299874,0.0007039412,25.4519241433,0.1382754404
80,0.6704221121,-23.5,0.6024211009,200,0.5049116585,94.8547285388,0.0007822769,25.4552928012,0.1383044738
81,0.7117445296,-27.49,0.6023963464,217.6776695297,0.5048864256,94.8499881917,0.0008304937,25.4573662562,0.1383223442
82,0.7375569576,-28.98,0.6023808832,225,0.5048706637,94.8470270903,0.0008606127,25.458661459,0.1383335072
83,0.7551449602,-26.56,0.602370347,217.6776695297,0.5048599239,94.845009463,0.0008811352,25.4595439808,0.1383411134
84,0.7698037154,-26.91,0.6023615656,200,0.5048509727,94.8433278676,0.0008982396,25.4602795203,0.1383474527
85,0.7752741475,-25.73,0.6023582885,182.3223304703,0.5048476323,94.8427003209,0.0009046227,25.4605540128,0.1383498185
86,0.7669871313,-22.78,0.6023632529,175,0.5048526926,94.8436509752,0.0008949531,25.4601381912,0.1383462347
87,0.7594136498,-21.58,0.6023677898,182.3223304703,0.5048573173,94.8445197755,0.000886116,25.4597581729,0.1383429594
88,0.7543563167,-21.41,0.6023708194,200,0.5048604054,94.8450999331,0.0008802149,25.4595044086,0.1383407723
89,0.7679760653,-21.53,0.6023626604,217.6776695297,0.5048520888,94.8435375285,0.000896107,25.4601878134,0.1383466623
90,0.8159831756,-25.29,0.6023339014,225,0.504822774,94.8380303394,0.0009521238,25.4625966896,0.1383674237
91,0.8130539282,-28.19,0.6023356562,217.6776695297,0.5048245627,94.8383663713,0.0009487058,25.4624497073,0.1383661569
92,0.7999974964,-30.07,0.6023434778,200,0.5048325354,94.8398641544,0.000933471,25.4617945683,0.1383605105
93,0.7629562866,-29.87,0.6023656676,182.3223304703,0.504855154,94.844113378,0.0008902497,25.4599359335,0.1383444915
94,0.7411371489,-29.88,0.6023787385,175,0.5048684775,94.8466163847,0.0008647903,25.458841104,0.1383350555
95,0.730396575,-30.99,0.6023851727,182.3223304703,0.5048750361,94.8478485016,0.0008522577,25.458302169,0.1383304106
96,0.6953958239,-28.88,0.6024061402,200,0.5048964087,94.8518636517,0.0008114173,25.4565459193,0.138315274
97,0.6671799109,-24.43,0.6024230431,217.6776695297,0.5049136383,94.8551004716,0.0007784938,25.4551301157,0.1383030717
98,0.640466176,-22,0.6024390462,225,0.5049299506,94.8581649674,0.0007473231,25.4537896876,0.1382915189
99,0.6224150018,-20.08,0.6024498599,217.6776695297,0.5049409733,94.8602357279,0.0007262602,25.452883925,0.1382837125
100,0.6124129988,-19.08,0.6024558517,200,0.5049470808,94.8613831189,0.0007145895,25.4523820497,0.1382793869
101,0.6159305994,-18.03,0.6024537444,182.3223304703,0.5049449328,94.8609795934,0.0007186939,25.452558554,0.1382809082
102,0.6339191828,-16.61,0.6024429682,175,0.5049339484,94.858916013,0.0007396838,25.4534611759,0.1382886876
103,0.68580692,-16.09,0.6024118845,182.3223304703,0.504902264,94.8529636535,0.0008002286,25.4560647722,0.1383111272
104,0.7635070853,-17.78,0.6023653376,200,0.5048548177,94.8440501925,0.0008908924,25.4599635712,0.1383447297
105,0.8007861399,-17.89,0.6023430053,217.6776695297,0.5048320538,94.8397736843,0.0009343912,25.4618341405,0.1383608515
106,0.8109633969,-17.08,0.6023369085,225,0.5048258392,94.8386061889,0.0009462665,25.4623448097,0.1383652528
107,0.818824796,-17.84,0.6023321991,217.6776695297,0.5048210388,94.8377043597,0.0009554395,25.4627392749,0.1383686526
108,0.8295904061,-18.48,0.6023257499,200,0.504814465,94.8364693708,0.0009680013,25.4632794662,0.1383733083
109,0.8323068449,-17.94,0.6023241226,182.3223304703,0.5048128062,94.8361577515,0.0009711709,25.4634157703,0.1383744831
110,0.8278503831,-15.15,0.6023267923,175,0.5048155275,94.8366689795,0.0009659709,25.4631921562,0.1383725558
111,0.8167843373,-14.47,0.6023334215,182.3223304703,0.5048222848,94.8379384332,0.0009530586,25.4626368898,0.1383677702
112,0.8098492815,-14.03,0.602337576,200,0.5048265196,94.8387339959,0.0009449665,25.4622889062,0.138364771
113,0.8182239247,-14.54,0.6023325591,217.6776695297,0.5048214057,94.8377732894,0.0009547384,25.4627091247,0.1383683927
114,0.8547769265,-18.62,0.6023106617,225,0.5047990852,94.8335800711,0.00099739,25.4645432625,0.1383842006
115,0.8634520054,-23.91,0.6023054648,217.6776695297,0.5047937879,94.8325848997,0.0010075124,25.4649785561,0.1383879522
116,0.8495443393,-26.92,0.6023137963,200,0.5048022804,94.8341803331,0.0009912844,25.4642807044,0.1383819377
