class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Source,DEdr06_run_of_river,DEdr06_run_of_river,DEdr06_bus_el,,57.759,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr06_solar,DEdr06_solar,DEdr06_bus_el,,5875.922,,,,seq,,,TRUE,,,,,,,,
Source,DEdr06_wind_onshore,DEdr06_wind_onshore,DEdr06_bus_el,,3007.44,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr06_storage_a_caes,DEdr06_storage_a_caes,DEdr06_bus_el,,111.48,,0.85,,,,0,,,,,,,,,
Storage,DEdr06_storage_a_caes,DEdr06_bus_el,DEdr06_storage_a_caes,,111.48,,0.85,,,,0,,194.47,0,0.837,0.837,0.5,0,1,
Storage,DEdr06_storage_hydrogen,DEdr06_storage_hydrogen,DEdr06_bus_el,,362.03,,0.85,,,,0,,,,,,,,,
Storage,DEdr06_storage_hydrogen,DEdr06_bus_el,DEdr06_storage_hydrogen,,362.03,,0.85,,,,0,,3620.27,0,0.632,0.632,0.5,0,1,
Storage,DEdr06_storage_lithium_ion,DEdr06_storage_lithium_ion,DEdr06_bus_el,,560.96,,0.85,,,,0,,,,,,,,,
Storage,DEdr06_storage_lithium_ion,DEdr06_bus_el,DEdr06_storage_lithium_ion,,560.96,,0.85,,,,0,,2804.82,0,0.975,0.975,0.5,0,1,
Storage,DEdr06_storage_pumped_hydro,DEdr06_storage_pumped_hydro,DEdr06_bus_el,,153,,0.85,,,,0,,,,,,,,,
Storage,DEdr06_storage_pumped_hydro,DEdr06_bus_el,DEdr06_storage_pumped_hydro,,153,,0.85,,,,0,,1071,0,0.894,0.894,0.5,0,1,
Storage,DEdr06_storage_redox_flow,DEdr06_storage_redox_flow,DEdr06_bus_el,,33.34,,0.85,,,,0,,,,,,,,,
Storage,DEdr06_storage_redox_flow,DEdr06_bus_el,DEdr06_storage_redox_flow,,33.34,,0.85,,,,0,,111.12,0,0.866,0.866,0.5,0,1,
Sink,DEdr06_load,DEdr06_bus_el,DEdr06_load,,8658.6401246343,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr07,,,,,,,,,,,,,,,,,,,,
Sink,DEdr07_excess,DEdr07_bus_el,DEdr07_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr07_shortage,DEdr07_shortage,DEdr07_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr07_pp_biomass,DEdr07_pp_biomass,DEdr07_bus_el,0.38,340.163,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr07_pp_biomass,GL_bus_biomass,DEdr07_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr07_run_of_river,DEdr07_run_of_river,DEdr07_bus_el,,112.375,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr07_solar,DEdr07_solar,DEdr07_bus_el,,3676.882,,,,seq,,,TRUE,,,,,,,,
Source,DEdr07_wind_onshore,DEdr07_wind_onshore,DEdr07_bus_el,,1604.237,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr07_storage_a_caes,DEdr07_storage_a_caes,DEdr07_bus_el,,84.29,,0.85,,,,0,,,,,,,,,
Storage,DEdr07_storage_a_caes,DEdr07_bus_el,DEdr07_storage_a_caes,,84.29,,0.85,,,,0,,147.06,0,0.837,0.837,0.5,0,1,
Storage,DEdr07_storage_hydrogen,DEdr07_storage_hydrogen,DEdr07_bus_el,,273.75,,0.85,,,,0,,,,,,,,,
Storage,DEdr07_storage_hydrogen,DEdr07_bus_el,DEdr07_storage_hydrogen,,273.75,,0.85,,,,0,,2737.52,0,0.632,0.632,0.5,0,1,
Storage,DEdr07_storage_lithium_ion,DEdr07_storage_lithium_ion,DEdr07_bus_el,,424.18,,0.85,,,,0,,,,,,,,,
Storage,DEdr07_storage_lithium_ion,DEdr07_bus_el,DEdr07_storage_lithium_ion,,424.18,,0.85,,,,0,,2120.9,0,0.975,0.975,0.5,0,1,
Storage,DEdr07_storage_pumped_hydro,DEdr07_storage_pumped_hydro,DEdr07_bus_el,,138,,0.85,,,,0,,,,,,,,,
Storage,DEdr07_storage_pumped_hydro,DEdr07_bus_el,DEdr07_storage_pumped_hydro,,138,,0.85,,,,0,,966,0,0.894,0.894,0.5,0,1,
Storage,DEdr07_storage_redox_flow,DEdr07_storage_redox_flow,DEdr07_bus_el,,25.21,,0.85,,,,0,,,,,,,,,
Storage,DEdr07_storage_redox_flow,DEdr07_bus_el,DEdr07_storage_redox_flow,,25.21,,0.85,,,,0,,84.02,0,0.866,0.866,0.5,0,1,
Sink,DEdr07_load,DEdr07_bus_el,DEdr07_load,,4165.9494939278,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr08,,,,,,,,,,,,,,,,,,,,
Sink,DEdr08_excess,DEdr08_bus_el,DEdr08_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr08_shortage,DEdr08_shortage,DEdr08_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr08_pp_biomass,DEdr08_pp_biomass,DEdr08_bus_el,0.38,150.739,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr08_pp_biomass,GL_bus_biomass,DEdr08_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr08_run_of_river,DEdr08_run_of_river,DEdr08_bus_el,,137.515,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr08_solar,DEdr08_solar,DEdr08_bus_el,,3348.636,,,,seq,,,TRUE,,,,,,,,
Source,DEdr08_wind_onshore,DEdr08_wind_onshore,DEdr08_bus_el,,3550.411,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr08_storage_a_caes,DEdr08_storage_a_caes,DEdr08_bus_el,,74.02,,0.85,,,,0,,,,,,,,,
Storage,DEdr08_storage_a_caes,DEdr08_bus_el,DEdr08_storage_a_caes,,74.02,,0.85,,,,0,,129.13,0,0.837,0.837,0.5,0,1,
Storage,DEdr08_storage_hydrogen,DEdr08_storage_hydrogen,DEdr08_bus_el,,240.39,,0.85,,,,0,,,,,,,,,
Storage,DEdr08_storage_hydrogen,DEdr08_bus_el,DEdr08_storage_hydrogen,,240.39,,0.85,,,,0,,2403.9,0,0.632,0.632,0.5,0,1,
Storage,DEdr08_storage_lithium_ion,DEdr08_storage_lithium_ion,DEdr08_bus_el,,372.49,,0.85,,,,0,,,,,,,,,
Storage,DEdr08_storage_lithium_ion,DEdr08_bus_el,DEdr08_storage_lithium_ion,,372.49,,0.85,,,,0,,1862.43,0,0.975,0.975,0.5,0,1,
Storage,DEdr08_storage_redox_flow,DEdr08_storage_redox_flow,DEdr08_bus_el,,22.13,,0.85,,,,0,,,,,,,,,
Storage,DEdr08_storage_redox_flow,DEdr08_bus_el,DEdr08_storage_redox_flow,,22.13,,0.85,,,,0,,73.78,0,0.866,0.866,0.5,0,1,
Sink,DEdr08_load,DEdr08_bus_el,DEdr08_load,,5391.2287568478,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr09,,,,,,,,,,,,,,,,,,,,
Sink,DEdr09_excess,DEdr09_bus_el,DEdr09_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr09_shortage,DEdr09_shortage,DEdr09_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr09_pp_biomass,DEdr09_pp_biomass,DEdr09_bus_el,0.38,310.282,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr09_pp_biomass,GL_bus_biomass,DEdr09_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr09_run_of_river,DEdr09_run_of_river,DEdr09_bus_el,,236.767,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr09_solar,DEdr09_solar,DEdr09_bus_el,,8042.084,,,,seq,,,TRUE,,,,,,,,
Source,DEdr09_wind_onshore,DEdr09_wind_onshore,DEdr09_bus_el,,8733.54,,,,seq,,,TRUE,,,,,,,,
Source,DEdr09_geothermal,DEdr09_geothermal,DEdr09_bus_el,,721.996,,,,0.95,,,TRUE,,,,,,,,
Storage,DEdr09_storage_a_caes,DEdr09_storage_a_caes,DEdr09_bus_el,,198.29,,0.85,,,,0,,,,,,,,,
Storage,DEdr09_storage_a_caes,DEdr09_bus_el,DEdr09_storage_a_caes,,198.29,,0.85,,,,0,,345.93,0,0.837,0.837,0.5,0,1,
Storage,DEdr09_storage_hydrogen,DEdr09_storage_hydrogen,DEdr09_bus_el,,643.98,,0.85,,,,0,,,,,,,,,
Storage,DEdr09_storage_hydrogen,DEdr09_bus_el,DEdr09_storage_hydrogen,,643.98,,0.85,,,,0,,6439.8,0,0.632,0.632,0.5,0,1,
Storage,DEdr09_storage_lithium_ion,DEdr09_storage_lithium_ion,DEdr09_bus_el,,997.85,,0.85,,,,0,,,,,,,,,
Storage,DEdr09_storage_lithium_ion,DEdr09_bus_el,DEdr09_storage_lithium_ion,,997.85,,0.85,,,,0,,4989.25,0,0.975,0.975,0.5,0,1,
Storage,DEdr09_storage_redox_flow,DEdr09_storage_redox_flow,DEdr09_bus_el,,59.3,,0.85,,,,0,,,,,,,,,
Storage,DEdr09_storage_redox_flow,DEdr09_bus_el,DEdr09_storage_redox_flow,,59.3,,0.85,,,,0,,197.66,0,0.866,0.866,0.5,0,1,
Sink,DEdr09_load,DEdr09_bus_el,DEdr09_load,,8168.5284194663,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr10,,,,,,,,,,,,,,,,,,,,
Sink,DEdr10_excess,DEdr10_bus_el,DEdr10_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr10_shortage,DEdr10_shortage,DEdr10_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr10_pp_biomass,DEdr10_pp_biomass,DEdr10_bus_el,0.38,454.274,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr10_pp_biomass,GL_bus_biomass,DEdr10_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr10_run_of_river,DEdr10_run_of_river,DEdr10_bus_el,,342.976,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr10_solar,DEdr10_solar,DEdr10_bus_el,,7820.562,,,,seq,,,TRUE,,,,,,,,
Source,DEdr10_wind_onshore,DEdr10_wind_onshore,DEdr10_bus_el,,1687.152,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr10_storage_a_caes,DEdr10_storage_a_caes,DEdr10_bus_el,,106.02,,0.85,,,,0,,,,,,,,,
Storage,DEdr10_storage_a_caes,DEdr10_bus_el,DEdr10_storage_a_caes,,106.02,,0.85,,,,0,,184.95,0,0.837,0.837,0.5,0,1,
Storage,DEdr10_storage_hydrogen,DEdr10_storage_hydrogen,DEdr10_bus_el,,344.3,,0.85,,,,0,,,,,,,,,
Storage,DEdr10_storage_hydrogen,DEdr10_bus_el,DEdr10_storage_hydrogen,,344.3,,0.85,,,,0,,3442.99,0,0.632,0.632,0.5,0,1,
Storage,DEdr10_storage_lithium_ion,DEdr10_storage_lithium_ion,DEdr10_bus_el,,533.49,,0.85,,,,0,,,,,,,,,
Storage,DEdr10_storage_lithium_ion,DEdr10_bus_el,DEdr10_storage_lithium_ion,,533.49,,0.85,,,,0,,2667.46,0,0.975,0.975,0.5,0,1,
Storage,DEdr10_storage_redox_flow,DEdr10_storage_redox_flow,DEdr10_bus_el,,31.7,,0.85,,,,0,,,,,,,,,
Storage,DEdr10_storage_redox_flow,DEdr10_bus_el,DEdr10_storage_redox_flow,,31.7,,0.85,,,,0,,105.68,0,0.866,0.866,0.5,0,1,
Sink,DEdr10_load,DEdr10_bus_el,DEdr10_load,,1797.0762522826,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr11,,,,,,,,,,,,,,,,,,,,
Sink,DEdr11_excess,DEdr11_bus_el,DEdr11_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr11_shortage,DEdr11_shortage,DEdr11_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr11_pp_biomass,DEdr11_pp_biomass,DEdr11_bus_el,0.38,343.873,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr11_pp_biomass,GL_bus_biomass,DEdr11_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr11_run_of_river,DEdr11_run_of_river,DEdr11_bus_el,,207.681,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr11_solar,DEdr11_solar,DEdr11_bus_el,,4550.636,,,,seq,,,TRUE,,,,,,,,
Source,DEdr11_wind_onshore,DEdr11_wind_onshore,DEdr11_bus_el,,1609.392,,,,seq,,,TRUE,,,,,,,,
Source,DEdr11_geothermal,DEdr11_geothermal,DEdr11_bus_el,,50.91,,,,0.95,,,TRUE,,,,,,,,
Storage,DEdr11_storage_a_caes,DEdr11_storage_a_caes,DEdr11_bus_el,,68.26,,0.85,,,,0,,,,,,,,,
Storage,DEdr11_storage_a_caes,DEdr11_bus_el,DEdr11_storage_a_caes,,68.26,,0.85,,,,0,,119.08,0,0.837,0.837,0.5,0,1,
Storage,DEdr11_storage_hydrogen,DEdr11_storage_hydrogen,DEdr11_bus_el,,221.68,,0.85,,,,0,,,,,,,,,
Storage,DEdr11_storage_hydrogen,DEdr11_bus_el,DEdr11_storage_hydrogen,,221.68,,0.85,,,,0,,2216.84,0,0.632,0.632,0.5,0,1,
Storage,DEdr11_storage_lithium_ion,DEdr11_storage_lithium_ion,DEdr11_bus_el,,343.5,,0.85,,,,0,,,,,,,,,
Storage,DEdr11_storage_lithium_ion,DEdr11_bus_el,DEdr11_storage_lithium_ion,,343.5,,0.85,,,,0,,1717.5,0,0.975,0.975,0.5,0,1,
Storage,DEdr11_storage_redox_flow,DEdr11_storage_redox_flow,DEdr11_bus_el,,20.41,,0.85,,,,0,,,,,,,,,
Storage,DEdr11_storage_redox_flow,DEdr11_bus_el,DEdr11_storage_redox_flow,,20.41,,0.85,,,,0,,68.04,0,0.866,0.866,0.5,0,1,
Sink,DEdr11_load,DEdr11_bus_el,DEdr11_load,,4002.5789255385,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr12,,,,,,,,,,,,,,,,,,,,
Sink,DEdr12_excess,DEdr12_bus_el,DEdr12_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr12_shortage,DEdr12_shortage,DEdr12_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr12_pp_biomass,DEdr12_pp_biomass,DEdr12_bus_el,0.38,888.211,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr12_pp_biomass,GL_bus_biomass,DEdr12_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr12_run_of_river,DEdr12_run_of_river,DEdr12_bus_el,,1045.433,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr12_solar,DEdr12_solar,DEdr12_bus_el,,12976.286,,,,seq,,,TRUE,,,,,,,,
Source,DEdr12_wind_onshore,DEdr12_wind_onshore,DEdr12_bus_el,,3920.884,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr12_storage_a_caes,DEdr12_storage_a_caes,DEdr12_bus_el,,188.2,,0.85,,,,0,,,,,,,,,
Storage,DEdr12_storage_a_caes,DEdr12_bus_el,DEdr12_storage_a_caes,,188.2,,0.85,,,,0,,328.33,0,0.837,0.837,0.5,0,1,
Storage,DEdr12_storage_hydrogen,DEdr12_storage_hydrogen,DEdr12_bus_el,,611.21,,0.85,,,,0,,,,,,,,,
Storage,DEdr12_storage_hydrogen,DEdr12_bus_el,DEdr12_storage_hydrogen,,611.21,,0.85,,,,0,,6112.06,0,0.632,0.632,0.5,0,1,
Storage,DEdr12_storage_lithium_ion,DEdr12_storage_lithium_ion,DEdr12_bus_el,,947.07,,0.85,,,,0,,,,,,,,,
Storage,DEdr12_storage_lithium_ion,DEdr12_bus_el,DEdr12_storage_lithium_ion,,947.07,,0.85,,,,0,,4735.34,0,0.975,0.975,0.5,0,1,
Storage,DEdr12_storage_pumped_hydro,DEdr12_storage_pumped_hydro,DEdr12_bus_el,,1363,,0.85,,,,0,,,,,,,,,
Storage,DEdr12_storage_pumped_hydro,DEdr12_bus_el,DEdr12_storage_pumped_hydro,,1363,,0.85,,,,0,,9541,0,0.894,0.894,0.5,0,1,
Storage,DEdr12_storage_redox_flow,DEdr12_storage_redox_flow,DEdr12_bus_el,,56.28,,0.85,,,,0,,,,,,,,,
Storage,DEdr12_storage_redox_flow,DEdr12_bus_el,DEdr12_storage_redox_flow,,56.28,,0.85,,,,0,,187.6,0,0.866,0.866,0.5,0,1,
Sink,DEdr12_load,DEdr12_bus_el,DEdr12_load,,7678.4167142983,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr13,,,,,,,,,,,,,,,,,,,,
Sink,DEdr13_excess,DEdr13_bus_el,DEdr13_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr13_shortage,DEdr13_shortage,DEdr13_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr13_pp_biomass,DEdr13_pp_biomass,DEdr13_bus_el,0.38,581.5,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr13_pp_biomass,GL_bus_biomass,DEdr13_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr13_run_of_river,DEdr13_run_of_river,DEdr13_bus_el,,10.441,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr13_solar,DEdr13_solar,DEdr13_bus_el,,5246.832,,,,seq,,,TRUE,,,,,,,,
Source,DEdr13_wind_onshore,DEdr13_wind_onshore,DEdr13_bus_el,,7713.603,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr13_storage_a_caes,DEdr13_storage_a_caes,DEdr13_bus_el,,224.65,,0.85,,,,0,,,,,,,,,
Storage,DEdr13_storage_a_caes,DEdr13_bus_el,DEdr13_storage_a_caes,,224.65,,0.85,,,,0,,391.91,0,0.837,0.837,0.5,0,1,
Storage,DEdr13_storage_hydrogen,DEdr13_storage_hydrogen,DEdr13_bus_el,,729.56,,0.85,,,,0,,,,,,,,,
Storage,DEdr13_storage_hydrogen,DEdr13_bus_el,DEdr13_storage_hydrogen,,729.56,,0.85,,,,0,,7295.65,0,0.632,0.632,0.5,0,1,
Storage,DEdr13_storage_lithium_ion,DEdr13_storage_lithium_ion,DEdr13_bus_el,,1130.46,,0.85,,,,0,,,,,,,,,
Storage,DEdr13_storage_lithium_ion,DEdr13_bus_el,DEdr13_storage_lithium_ion,,1130.46,,0.85,,,,0,,5652.32,0,0.975,0.975,0.5,0,1,
Storage,DEdr13_storage_redox_flow,DEdr13_storage_redox_flow,DEdr13_bus_el,,67.18,,0.85,,,,0,,,,,,,,,
Storage,DEdr13_storage_redox_flow,DEdr13_bus_el,DEdr13_storage_redox_flow,,67.18,,0.85,,,,0,,223.93,0,0.866,0.866,0.5,0,1,
Sink,DEdr13_load,DEdr13_bus_el,DEdr13_load,,2123.8173890613,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr14,,,,,,,,,,,,,,,,,,,,
Sink,DEdr14_excess,DEdr14_bus_el,DEdr14_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr14_shortage,DEdr14_shortage,DEdr14_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr14_pp_biomass,DEdr14_pp_biomass,DEdr14_bus_el,0.38,954.901,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr14_pp_biomass,GL_bus_biomass,DEdr14_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr14_run_of_river,DEdr14_run_of_river,DEdr14_bus_el,,30.444,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr14_solar,DEdr14_solar,DEdr14_bus_el,,5906.1,,,,seq,,,TRUE,,,,,,,,
Source,DEdr14_wind_onshore,DEdr14_wind_onshore,DEdr14_bus_el,,10514.069,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr14_storage_a_caes,DEdr14_storage_a_caes,DEdr14_bus_el,,586.81,,0.85,,,,0,,,,,,,,,
Storage,DEdr14_storage_a_caes,DEdr14_bus_el,DEdr14_storage_a_caes,,586.81,,0.85,,,,0,,1023.73,0,0.837,0.837,0.5,0,1,
Storage,DEdr14_storage_hydrogen,DEdr14_storage_hydrogen,DEdr14_bus_el,,863.26,,0.85,,,,0,,,,,,,,,
Storage,DEdr14_storage_hydrogen,DEdr14_bus_el,DEdr14_storage_hydrogen,,863.26,,0.85,,,,0,,8632.57,0,0.632,0.632,0.5,0,1,
Storage,DEdr14_storage_lithium_ion,DEdr14_storage_lithium_ion,DEdr14_bus_el,,1337.62,,0.85,,,,0,,,,,,,,,
Storage,DEdr14_storage_lithium_ion,DEdr14_bus_el,DEdr14_storage_lithium_ion,,1337.62,,0.85,,,,0,,6688.11,0,0.975,0.975,0.5,0,1,
Storage,DEdr14_storage_pumped_hydro,DEdr14_storage_pumped_hydro,DEdr14_bus_el,,119.1,,0.85,,,,0,,,,,,,,,
Storage,DEdr14_storage_pumped_hydro,DEdr14_bus_el,DEdr14_storage_pumped_hydro,,119.1,,0.85,,,,0,,833.7,0,0.894,0.894,0.5,0,1,
Storage,DEdr14_storage_redox_flow,DEdr14_storage_redox_flow,DEdr14_bus_el,,79.49,,0.85,,,,0,,,,,,,,,
Storage,DEdr14_storage_redox_flow,DEdr14_bus_el,DEdr14_storage_redox_flow,,79.49,,0.85,,,,0,,264.96,0,0.866,0.866,0.5,0,1,
Sink,DEdr14_load,DEdr14_bus_el,DEdr14_load,,3839.2083571492,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr15,,,,,,,,,,,,,,,,,,,,
Sink,DEdr15_excess,DEdr15_bus_el,DEdr15_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr15_shortage,DEdr15_shortage,DEdr15_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr15_pp_biomass,DEdr15_pp_biomass,DEdr15_bus_el,0.38,780.895,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr15_pp_biomass,GL_bus_biomass,DEdr15_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr15_run_of_river,DEdr15_run_of_river,DEdr15_bus_el,,77.313,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr15_solar,DEdr15_solar,DEdr15_bus_el,,4631.524,,,,seq,,,TRUE,,,,,,,,
Source,DEdr15_wind_onshore,DEdr15_wind_onshore,DEdr15_bus_el,,8853.936,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr15_storage_a_caes,DEdr15_storage_a_caes,DEdr15_bus_el,,152.85,,0.85,,,,0,,,,,,,,,
Storage,DEdr15_storage_a_caes,DEdr15_bus_el,DEdr15_storage_a_caes,,152.85,,0.85,,,,0,,266.66,0,0.837,0.837,0.5,0,1,
Storage,DEdr15_storage_hydrogen,DEdr15_storage_hydrogen,DEdr15_bus_el,,496.4,,0.85,,,,0,,,,,,,,,
Storage,DEdr15_storage_hydrogen,DEdr15_bus_el,DEdr15_storage_hydrogen,,496.4,,0.85,,,,0,,4964.04,0,0.632,0.632,0.5,0,1,
Storage,DEdr15_storage_lithium_ion,DEdr15_storage_lithium_ion,DEdr15_bus_el,,769.18,,0.85,,,,0,,,,,,,,,
Storage,DEdr15_storage_lithium_ion,DEdr15_bus_el,DEdr15_storage_lithium_ion,,769.18,,0.85,,,,0,,3845.9,0,0.975,0.975,0.5,0,1,
Storage,DEdr15_storage_pumped_hydro,DEdr15_storage_pumped_hydro,DEdr15_bus_el,,220,,0.85,,,,0,,,,,,,,,
Storage,DEdr15_storage_pumped_hydro,DEdr15_bus_el,DEdr15_storage_pumped_hydro,,220,,0.85,,,,0,,1540,0,0.894,0.894,0.5,0,1,
Storage,DEdr15_storage_redox_flow,DEdr15_storage_redox_flow,DEdr15_bus_el,,45.71,,0.85,,,,0,,,,,,,,,
Storage,DEdr15_storage_redox_flow,DEdr15_bus_el,DEdr15_storage_redox_flow,,45.71,,0.85,,,,0,,152.36,0,0.866,0.866,0.5,0,1,
Sink,DEdr15_load,DEdr15_bus_el,DEdr15_load,,5227.8581884584,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### Dedr16,,,,,,,,,,,,,,,,,,,,
Sink,DEdr16_excess,DEdr16_bus_el,DEdr16_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr16_shortage,DEdr16_shortage,DEdr16_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr16_pp_biomass,DEdr16_pp_biomass,DEdr16_bus_el,0.38,344.279,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr16_pp_biomass,GL_bus_biomass,DEdr16_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr16_run_of_river,DEdr16_run_of_river,DEdr16_bus_el,,77.298,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr16_solar,DEdr16_solar,DEdr16_bus_el,,6454.372,,,,seq,,,TRUE,,,,,,,,
Source,DEdr16_wind_onshore,DEdr16_wind_onshore,DEdr16_bus_el,,5453.468,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr16_storage_a_caes,DEdr16_storage_a_caes,DEdr16_bus_el,,144,,0.85,,,,0,,,,,,,,,
Storage,DEdr16_storage_a_caes,DEdr16_bus_el,DEdr16_storage_a_caes,,144,,0.85,,,,0,,251.21,0,0.837,0.837,0.5,0,1,
Storage,DEdr16_storage_hydrogen,DEdr16_storage_hydrogen,DEdr16_bus_el,,467.65,,0.85,,,,0,,,,,,,,,
Storage,DEdr16_storage_hydrogen,DEdr16_bus_el,DEdr16_storage_hydrogen,,467.65,,0.85,,,,0,,4676.49,0,0.632,0.632,0.5,0,1,
Storage,DEdr16_storage_lithium_ion,DEdr16_storage_lithium_ion,DEdr16_bus_el,,724.62,,0.85,,,,0,,,,,,,,,
Storage,DEdr16_storage_lithium_ion,DEdr16_bus_el,DEdr16_storage_lithium_ion,,724.62,,0.85,,,,0,,3623.12,0,0.975,0.975,0.5,0,1,
Storage,DEdr16_storage_pumped_hydro,DEdr16_storage_pumped_hydro,DEdr16_bus_el,,624.5,,0.85,,,,0,,,,,,,,,
Storage,DEdr16_storage_pumped_hydro,DEdr16_bus_el,DEdr16_storage_pumped_hydro,,624.5,,0.85,,,,0,,4371.5,0,0.894,0.894,0.5,0,1,
Storage,DEdr16_storage_redox_flow,DEdr16_storage_redox_flow,DEdr16_bus_el,,43.06,,0.85,,,,0,,,,,,,,,
Storage,DEdr16_storage_redox_flow,DEdr16_bus_el,DEdr16_storage_redox_flow,,43.06,,0.85,,,,0,,143.54,0,0.866,0.866,0.5,0,1,
Sink,DEdr16_load,DEdr16_bus_el,DEdr16_load,,4002.5789255385,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### Dedr17,,,,,,,,,,,,,,,,,,,,
Sink,DEdr17_excess,DEdr17_bus_el,DEdr17_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr17_shortage,DEdr17_shortage,DEdr17_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr17_pp_biomass,DEdr17_pp_biomass,DEdr17_bus_el,0.38,878.551,,0.85,5710,,29000,3.9,,,,,,,,,
