class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,BE_storage_hydrogen,BE_bus_el,BE_storage_hydrogen,,1807.41,,0.85,,,,0,,18074.05,0,0.632,0.632,0.5,0,1,
Storage,BE_storage_lithium_ion,BE_storage_lithium_ion,BE_bus_el,,317.47,,0.85,,,,0,,,,,,,,,
Storage,BE_storage_lithium_ion,BE_bus_el,BE_storage_lithium_ion,,317.47,,0.85,,,,0,,1587.34,0,0.975,0.975,0.5,0,1,
Storage,BE_storage_pumped_hydro,BE_storage_pumped_hydro,BE_bus_el,,317.47,,0.85,,,,0,,,,,,,,,
Storage,BE_storage_pumped_hydro,BE_bus_el,BE_storage_pumped_hydro,,317.47,,0.85,,,,0,,2222.28,0,0.894,0.894,0.5,0,1,
Storage,BE_storage_redox_flow,BE_storage_redox_flow,BE_bus_el,,10.82,,0.85,,,,0,,,,,,,,,
Storage,BE_storage_redox_flow,BE_bus_el,BE_storage_redox_flow,,10.82,,0.85,,,,0,,36.08,0,0.866,0.866,0.5,0,1,
Sink,BE_load,BE_bus_el,BE_load,,13646.1554325867,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### CH,,,,,,,,,,,,,,,,,,,,
Sink,CH_excess,CH_bus_el,CH_excess,,,,,,,,0.00000001,,,,,,,,,
Source,CH_shortage,CH_shortage,CH_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,CH_pp_uranium,CH_pp_uranium,CH_bus_el,0.33,518.924,,0.85,,,55000,0.5,,,,,,,,,
LinearTransformer,CH_pp_uranium,GL_bus_uranium,CH_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,CH_pp_gas,CH_pp_gas,CH_bus_el,0.35,43.408,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,CH_pp_gas,GL_bus_gas,CH_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,CH_pp_biomass,CH_pp_biomass,CH_bus_el,0.38,1250,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,CH_pp_biomass,GL_bus_biomass,CH_pp_biomass,,,,,,,,,,,,,,,,,
Source,CH_run_of_river,CH_run_of_river,CH_bus_el,,12253,,,,0.65,,,TRUE,,,,,,,,
Source,CH_solar,CH_solar,CH_bus_el,,15000,,,,seq,,,TRUE,,,,,,,,
Source,CH_wind_onshore,CH_wind_onshore,CH_bus_el,,1382,,,,seq,,,TRUE,,,,,,,,
Storage,CH_storage_a_caes,CH_storage_a_caes,CH_bus_el,,26.37,,0.85,,,,0,,,,,,,,,
Storage,CH_storage_a_caes,CH_bus_el,CH_storage_a_caes,,26.37,,0.85,,,,0,,46.01,0,0.837,0.837,0.5,0,1,
Storage,CH_storage_hydrogen,CH_storage_hydrogen,CH_bus_el,,10.55,,0.85,,,,0,,,,,,,,,
Storage,CH_storage_hydrogen,CH_bus_el,CH_storage_hydrogen,,10.55,,0.85,,,,0,,105.49,0,0.632,0.632,0.5,0,1,
Storage,CH_storage_lithium_ion,CH_storage_lithium_ion,CH_bus_el,,269.01,,0.85,,,,0,,,,,,,,,
Storage,CH_storage_lithium_ion,CH_bus_el,CH_storage_lithium_ion,,269.01,,0.85,,,,0,,1345.05,0,0.975,0.975,0.5,0,1,
Storage,CH_storage_pumped_hydro,CH_storage_pumped_hydro,CH_bus_el,,2108.01,,0.85,,,,0,,,,,,,,,
Storage,CH_storage_pumped_hydro,CH_bus_el,CH_storage_pumped_hydro,,2108.01,,0.85,,,,0,,14756.08,0,0.894,0.894,0.5,0,1,
Storage,CH_storage_redox_flow,CH_storage_redox_flow,CH_bus_el,,21.1,,0.85,,,,0,,,,,,,,,
Storage,CH_storage_redox_flow,CH_bus_el,CH_storage_redox_flow,,21.1,,0.85,,,,0,,70.33,0,0.866,0.866,0.5,0,1,
Sink,CH_load,CH_bus_el,CH_load,,10107.0860503439,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### CZ,,,,,,,,,,,,,,,,,,,,
Sink,CZ_excess,CZ_bus_el,CZ_excess,,,,,,,,0.00000001,,,,,,,,,
Source,CZ_shortage,CZ_shortage,CZ_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,CZ_pp_lignite,CZ_pp_lignite,CZ_bus_el,0.398,162.752,,0.85,,,39000,4.4,,,,,,,,,
LinearTransformer,CZ_pp_lignite,GL_bus_lignite,CZ_pp_lignite,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_hard_coal,CZ_pp_hard_coal,CZ_bus_el,0.407,414.551,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,CZ_pp_hard_coal,GL_bus_hard_coal,CZ_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_uranium,CZ_pp_uranium,CZ_bus_el,0.33,605.929,,0.85,,,55000,0.5,,,,,,,,,
LinearTransformer,CZ_pp_uranium,GL_bus_uranium,CZ_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_gas,CZ_pp_gas,CZ_bus_el,0.35,104.5,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,CZ_pp_gas,GL_bus_gas,CZ_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,CZ_pp_biomass,CZ_bus_el,0.38,5000,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,CZ_pp_biomass,GL_bus_biomass,CZ_pp_biomass,,,,,,,,,,,,,,,,,
Source,CZ_run_of_river,CZ_run_of_river,CZ_bus_el,,1274,,,,0.65,,,TRUE,,,,,,,,
Source,CZ_solar,CZ_solar,CZ_bus_el,,13048,,,,seq,,,TRUE,,,,,,,,
Source,CZ_wind_onshore,CZ_wind_onshore,CZ_bus_el,,10234,,,,seq,,,TRUE,,,,,,,,
Storage,CZ_storage_a_caes,CZ_storage_a_caes,CZ_bus_el,,935.97,,0.85,,,,0,,,,,,,,,
Storage,CZ_storage_a_caes,CZ_bus_el,CZ_storage_a_caes,,935.97,,0.85,,,,0,,1632.85,0,0.837,0.837,0.5,0,1,
Storage,CZ_storage_hydrogen,CZ_storage_hydrogen,CZ_bus_el,,168.9,,0.85,,,,0,,,,,,,,,
