deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
52950,49363,42837,45136,52683,46669
53434,49661,43439,46742,53447,48179
55188,49257,43413,49630,54921,51213
59936,49347,41661,56031,59949,58793
64457,52324,42857,61004,64564,64375
67088,56444,45934,63389,66650,67360
67529,59710,48163,63818,66213,67908
68222,61244,50615,64532,65889,69181
69233,62143,53626,65305,66097,70379
68788,61447,52656,65071,64466,69755
67186,59910,50336,64934,63535,69245
66033,58089,48690,64265,62647,68168
65061,57357,48222,64059,62657,67325
64060,56727,48264,62865,62228,66137
64413,57375,49900,62907,63541,66215
67260,60000,54289,65403,66984,68201
68144,60072,56421,68016,69433,68244
63836,56097,53920,64025,65762,64092
61608,53930,53013,60292,61722,61175
61238,53922,53821,57134,58532,58632
57897,50739,50098,52021,53954,53430
54799,47888,47963,48525,50881,49144
52775,45997,46738,46561,49807,46820
51365,45248,46213,45952,49511,46033
50750,45496,47359,46337,50016,46616
50445,46466,49282,47785,51092,47882
49139,46128,51832,50443,53223,50815
47102,44571,56995,56007,58090,57991
49551,46059,62620,60309,62443,64012
53516,49598,66019,62278,64342,67217
56614,52655,68180,61967,63681,67799
57782,54855,70005,62055,63441,68874
58403,57752,71993,62882,63796,69538
57005,56586,71687,62210,62989,68456
54927,54289,71277,61984,62437,67367
53316,52641,70171,60784,61667,65441
52596,51619,69430,59900,61557,64614
51889,51300,68088,58861,61514,63878
53221,52563,67905,59317,62964,64504
56498,56496,70298,62476,66116,66100
58931,59379,71035,65560,68625,66737
55332,56995,67815,61825,64706,62403
53564,56259,64685,58595,60783,59285
54475,56985,62817,55613,57309,57177
51978,53874,59354,50873,52798,53027
49543,51454,56802,46987,49161,48733
47276,50061,55327,44985,47306,46225
46199,49659,54718,44439,47109,44846
45554,49678,54824,44978,47335,44831
45215,50372,55330,46284,48345,45181
43613,52836,56491,49027,50563,44758
39856,59170,60514,54965,55356,44748
41335,64232,64471,59835,60425,47971
44937,67299,66922,61725,63587,52081
48038,68069,67419,61688,64114,53981
50370,69022,68461,62216,64183,53378
52609,70178,69611,63162,63875,53036
50945,69325,68813,62256,62506,50860
48327,68856,68096,61855,60640,48840
46434,67858,67301,61074,58788,47246
45341,66843,66107,60274,58455,50316
45196,65173,64283,59042,58542,49875
47453,64830,64216,59504,60015,51248
52242,67480,66512,62004,62185,54351
56353,69991,69844,64766,64924,56933
54280,66255,66087,61097,60988,53168
53646,63135,63198,57740,56855,50666
54899,60995,61464,55258,54500,50577
51371,55966,57484,50481,50160,47264
48589,52512,54726,47139,46164,44046
46618,50326,53494,45387,44570,41907
46055,49424,52556,44876,43785,41000
46781,50041,52484,45239,44665,40894
48392,51136,53758,46323,45271,41037
51721,53609,55884,48460,45417,40126
57194,58961,59243,53096,45117,37837
62462,63908,63209,57572,46984,38778
65319,66468,66035,59534,50143,42283
65946,66829,67122,59361,52385,45429
66936,67894,68423,59758,53329,47404
68262,69387,69346,60538,53565,49385
67774,68646,68572,59929,52422,48253
67009,68028,68044,58510,50721,46015
65818,67317,67028,56772,49232,44053
64492,66490,66103,55596,49348,43549
62914,65036,64551,54915,49385,43807
62676,64854,64673,55786,51196,46340
65492,67754,67196,58638,53687,50918
68947,70498,70054,61605,55031,54883
64808,66764,66384,57327,51868,52533
62205,63385,63408,54475,49414,51349
60431,61110,61867,53058,48511,51577
55624,56247,57939,49225,45424,47782
52362,52840,55621,46130,42547,45455
50315,50591,54058,44272,39952,44019
49099,49849,52788,43403,38207,43625
49496,50243,53022,43317,38532,44338
50769,51842,53404,43202,40011,46343
53328,54718,54812,42523,40034,50112
58192,60424,58148,40745,38845,57232
63569,65228,62575,43153,39228,62167
66326,67778,65520,46122,42020,64580
66871,68116,66762,48171,44230,64992
67775,69245,67999,49304,46347,66041
68855,70506,69611,50029,48483,66914
68024,69708,68705,49060,48346,66311
67355,69293,67466,47269,46269,65726
66360,68569,66404,46001,44407,64700
65296,67445,65750,45688,43463,63671
63747,66287,64352,45960,43539,62480
64033,66849,64795,48360,45946,62734
66391,69179,66989,51824,50084,65237
68684,70616,68205,54938,53204,68535
64905,66951,64579,51655,51025,65031
62175,64011,62093,49484,49334,61573
60544,61797,60974,49728,49153,58396
55847,57210,58121,46809,45590,53378
52384,53924,55694,44068,43193,50219
50328,51658,53927,41845,42481,48098
49571,50942,52414,40819,42913,47412
49577,51081,52084,40473,43528,48252
50847,52043,51416,41084,45990,49744
53450,54061,49444,40516,49391,52861
58469,60036,45822,38116,55444,58685
64008,65888,45411,39591,61170,63349
65991,68895,46954,42972,64141,65597
66332,69733,49527,46409,64273,65560
67236,71069,51656,48620,64765,66518
68271,72367,54471,51363,65844,67310
68007,71997,54317,50885,65031,66191
67192,71654,52770,49649,64505,65632
66272,70804,51139,48863,63363,64609
65133,70142,50476,48306,59015,64030
63410,68493,49744,48317,61640,62609
63360,68879,51023,49575,62203,62885
65659,71030,53564,53029,64967,65427
68701,71854,55895,56093,68566,69105
65458,67797,53480,53504,65146,65487
63077,64818,52402,52347,61047,61895
61450,63159,52860,52587,57550,58293
56581,58484,49930,49201,52614,52965
53287,55225,47599,46261,49835,48983
51338,53155,45844,44960,48299,47117
50787,52416,45482,44593,47584,46526
50765,52559,45628,44791,47824,47348
51879,53843,45997,45993,48971,49366
54080,55841,45262,48991,51066,52682
58187,60922,43630,56102,56136,58586
62959,66092,45191,61217,61028,64060
64972,68667,48734,64475,63044,66324
65176,69331,51347,65737,62040,66368
66025,70144,53368,67524,60901,66708
67187,70829,54581,69125,60863,67187
66325,70018,54336,69275,60271,66391
65625,68847,52930,69244,59810,65615
64693,67687,51945,67657,59274,64192
63411,66651,52248,66854,58787,63467
61703,65869,52008,65458,58327,62237
61914,66158,53404,65331,60000,62536
64130,68503,55731,66981,63361,64565
68065,70043,57023,68071,67832,68634
64803,65775,53617,63916,64974,65212
62127,62428,51820,59998,61320,61442
60477,61089,52286,57680,57929,58270
56097,57091,49161,53176,53228,53146
53291,53571,47008,50188,49985,49484
51483,51484,44632,48591,48085,47233
50333,50412,43575,47720,47827,46752
50682,50200,43805,47749,48363,47737
51643,50526,44262,48464,49591,49379
53673,50137,43099,51081,51498,52498
57749,49426,39738,56790,55922,57846
62611,52484,41158,61813,59995,62508
65135,56607,43306,64792,61988,65113
65737,60342,45563,65637,62016,65196
66687,61774,47452,67188,61637,66198
67818,62213,49549,68340,61983,67260
67011,61412,47776,67647,60990,66249
65638,59642,45071,66598,60414,65456
64355,58005,43386,64946,59394,64592
63228,57520,42421,63633,58640,64012
62194,56485,41850,62120,58240,61724
62505,57540,43442,61796,59265,61824
64801,59468,46890,63083,61818,63590
66653,61432,50543,65507,65433,67680
62406,58316,49256,61985,62182,63776
59387,55996,48758,58565,58086,60116
58419,55141,49670,56213,54349,57398
54409,51583,47485,51692,49839,52311
50193,47744,45583,48833,46634,48873
47642,45539,43792,46927,46269,46776
46228,44362,42860,46060,45577,45872
45920,44596,43037,46199,46124,46502
46429,44049,43448,47137,47581,48564
45983,41836,43044,50099,49847,51901
44581,41396,39865,55870,54830,57451
47991,43921,40837,61124,59449,62495
52433,46869,42843,64077,61834,65000
55492,49636,44722,64927,61857,65422
57123,52486,47159,66502,62279,66382
58351,52615,49551,67806,63085,66924
56806,50761,48815,67720,62094,66300
54740,48687,46776,67271,61394,64879
52818,47383,45458,66115,61113,62923
52051,46598,45213,64661,60528,61734
51115,47238,44767,62733,59927,61052
52486,49056,46092,62434,60980,61635
55591,51375,49920,63983,63249,63036
57685,55196,53714,65560,66372,65510
54034,54772,52153,61331,62805,61759
51770,55019,51289,57902,58360,58341
51808,51267,52343,55587,54508,55441
47976,47547,49787,50653,49582,50527
44014,45308,48028,47317,46963,46558
41445,44952,47158,45222,45576,44506
40535,45567,46579,44303,44837,43415
40714,47318,47245,44671,45475,43486
40985,51005,47560,45911,47018,44092
39301,58851,49597,48819,49445,44209
39120,63989,53974,54519,54138,43939
42213,66512,60353,59885,59271,47259
46554,66648,64461,62496,62088,51493
50059,66754,66340,63146,62272,54644
52906,67536,68032,64266,62651,55987
52347,67506,69685,65613,63309,56346
50033,67122,68894,65452,63345,55468
48104,66020,68141,65165,62190,53379
46659,64706,67752,64222,61014,51449
45487,62864,67201,63096,60811,51227
45662,62289,65337,61955,60058,51021
48220,62147,64868,62690,60304,52247
50847,63528,66367,64320,61503,54647
53822,66002,69056,65565,62473,57182
52618,63344,65423,61807,58688,53717
53050,60395,63106,58586,54829,50822
49117,54806,61889,56293,52014,49557
44819,50831,58472,51461,47998,45621
42126,48363,56873,48147,44781,42102
40870,47247,55728,45746,42719,39921
41370,47840,55018,45140,42420,39354
43797,49608,55202,45267,43182,39272
47913,52785,55951,46289,44317,39026
56375,59991,56620,48387,44212,37662
61656,64621,59493,52953,43930,37852
64578,66443,63513,58095,45196,41020
65297,66466,66985,60630,47782,44023
66757,66360,68590,61590,49472,46525
68157,67321,70238,61921,50168,48882
67056,66415,71619,63219,51045,48187
66452,66126,70952,62491,50277,45877
65174,65080,70053,61310,49232,43796
63947,63859,69049,59652,48033,42939
61625,62127,67504,58613,47398,43018
61342,61665,65922,57258,47461,45253
62240,61990,65668,57571,49406,47706
62875,63508,67164,59121,52144,49337
63412,65953,69789,60991,54783,52199
61177,63121,66298,57456,51681,51186
58317,60082,63264,54699,48754,50547
53651,54455,61823,53467,47341,46645
49708,50803,58055,48875,43811,43423
47236,48185,55236,45260,40690,41889
46459,47280,53500,43221,38647,41447
46872,47935,52605,42415,38725,42143
48365,50038,53024,42148,39609,43851
51684,53552,53881,42520,39654,47904
58591,60242,54886,41740,38867,56957
63900,64432,57908,40628,38492,62271
66474,66712,62228,43365,40145,65051
66779,66323,65454,46601,42430,65557
68011,66390,66576,49067,44375,66532
69359,67299,67701,50988,46739,67617
68407,66450,69200,52420,47128,66768
67409,65911,68433,52228,45279,65775
66336,64863,67996,51138,43634,64559
64684,63768,67122,49505,42949,63662
62806,62311,66591,49550,42864,62063
62090,61924,65119,49593,43931,61694
61963,62170,65321,50828,46538,61662
62794,63488,66803,53463,48521,62735
63862,65487,69607,56070,50612,64126
61028,62582,65901,52779,49298,61153
58013,59534,63013,50503,48667,57696
53380,54520,61475,49918,45710,52182
49107,50648,57335,46403,42311,48941
46779,48664,54280,43472,41091,46981
46181,47592,52679,41284,41286,46240
46792,47719,51810,39923,41866,46800
48393,49208,52053,39707,43484,48445
51480,52769,53174,39262,45759,51772
58614,60206,54554,37189,52172,59434
63493,64862,57405,37070,58258,63625
66102,66775,62108,39533,62080,65564
66676,66812,64998,42649,63528,65686
67526,67261,66043,45524,64638,66071
69381,68370,67252,48370,65230,66961
68638,67486,68246,48455,64209,66444
67871,66797,66965,46253,63158,65279
66592,66002,65190,44607,61394,63965
65469,65199,63580,43271,59926,62776
63595,63645,62833,42785,58312,60922
62559,63386,62257,43918,58320,60463
62170,63363,62472,45877,59328,61141
62678,64497,63941,47770,60821,62406
63676,65875,67057,50221,63091,64322
61113,62809,63750,49141,60427,61361
58394,59600,61466,49105,56972,57478
53580,54565,60611,45389,52028,52237
49868,50662,56844,42165,48521,48597
47564,48289,53084,40479,46665,46593
46492,47307,51526,40080,45824,45758
47159,48176,50392,40792,46202,46467
48754,49828,50084,44035,47682,48049
51605,52890,50639,47005,49703,51459
58633,59468,50017,54596,54348,59295
63805,64223,48851,59477,59144,63724
66569,66210,50951,62016,61342,65625
67303,66274,54831,61905,61419,65749
68918,66505,58109,61276,61384,66401
70270,66846,59394,62041,61437,67521
69606,65757,59900,62364,60195,66796
69181,64252,58753,62118,59387,66280
67770,62493,56670,60758,58601,65156
66579,61322,53966,59589,58131,63535
64967,60470,52728,58068,57184,61967
64097,60678,51564,57779,57423,61273
63670,60795,52007,58287,58357,61231
64440,61616,54312,58916,59042,62530
64795,62640,58188,60455,59881,63053
62091,59716,55587,58992,56923,59707
59633,57713,53295,56464,53924,55987
54144,53769,52978,51847,49783,50645
49822,49401,49626,48033,46675,47912
47151,46639,46921,45672,45170,45778
45802,45084,44818,45603,44698,44499
46582,45068,44777,45748,45228,44775
48094,45952,44990,46985,46614,46237
51576,46332,45591,49573,48339,49861
58261,47010,44459,55743,53287,58155
63838,49300,44070,60355,58324,63666
66755,53188,45667,62582,61199,65895
67212,55766,46724,62563,61457,65954
68153,56791,49018,62502,61301,67111
69322,57294,51582,62989,61993,68571
68420,56321,51233,62448,61300,68353
66973,54423,49688,61812,60688,67795
65124,52552,48287,60230,60105,67084
63818,52050,47567,59039,58763,66622
62300,51774,47436,57450,58187,65219
61848,52923,48633,57423,58353,64750
61708,54299,50442,57752,59958,64693
61753,55186,52766,58760,61046,65114
62562,56089,55810,60332,61947,64828
60353,54076,55035,58748,58556,60566
58253,53072,54914,55321,55184,57036
53988,49116,51252,50172,50758,51901
49582,45716,47288,45173,50374,47611
46789,43013,45546,43522,49041,45283
45099,41700,44570,42879,48264,44251
45110,41592,45097,43403,48737,44558
45928,42117,47007,45099,50209,46224
45948,41881,50362,48640,52103,49742
45907,40750,57949,56113,57096,57779
47786,41348,63095,60901,61526,63426
51969,44424,65758,62418,63746,65798
55194,47100,66072,61735,65303,65874
56538,48579,67104,61762,66967,67253
57230,50600,68208,62396,67615,67981
55844,50239,67569,61372,66428,66916
54201,48369,67205,60606,65242,65628
52443,46238,65855,59116,64645,64152
51494,44797,64682,57735,63376,62886
51029,44642,62936,56538,61857,61644
51637,45846,62165,56781,60279,61455
52194,48019,62449,57705,60382,61393
52704,49955,63335,58880,60250,61777
53599,53396,64966,60354,60561,61944
51920,52996,62666,57664,57445,59310
51261,53148,59919,54856,54932,56177
47854,49354,55541,49548,50772,50094
43854,45980,51842,45120,47281,46324
41026,43615,49421,42701,45830,43896
39824,42830,48757,41775,45527,42715
39564,43371,49597,42033,45422,42811
40390,45822,51519,43675,45114,43414
40245,49757,54807,47344,43984,43898
38707,56475,60637,54810,41200,44758
39552,61248,64688,59970,40523,47358
42963,64519,67107,61623,42139,51200
46011,65292,67168,61560,43616,53732
48807,65902,67548,61271,44600,54765
51906,66849,68239,61585,46340,54978
51407,65727,67335,60392,45982,53280
49555,64969,66897,59587,44108,51094
47452,63916,65733,58292,41695,49265
46518,62720,65085,56996,41175,48217
46045,60985,63921,55399,41117,47874
47295,60846,64319,55872,43015,48440
48952,61225,64474,57095,45564,49376
50706,62055,65065,57511,47377,49745
53320,63833,65818,59638,49963,51066
52772,61385,63290,57068,48782,49301
52385,57715,60190,53407,48016,47541
48421,52437,55481,48106,44625,43961
44722,48526,51252,44350,42124,40251
42507,46327,49111,41336,40757,37636
41919,45537,47972,40589,40431,36430
42639,46229,48496,41070,40242,36059
44271,48302,50441,42805,41175,36773
48567,51552,53780,46212,41833,37127
56745,57858,60393,52878,41663,37325
62150,62374,64971,57230,42931,38539
64879,64698,67506,59327,45888,42088
65817,65763,68327,58837,47781,45189
67331,66800,69377,58522,48307,47132
68886,67983,70756,58795,48880,49264
68519,67015,69895,57760,48326,48353
67898,66540,69398,56115,47174,46563
66847,65822,68425,54661,46723,44975
65891,65696,67298,53644,46672,44524
64094,64729,65747,52426,46915,44516
63566,64401,65493,52913,47849,46290
63412,64797,65214,53349,49286,48425
63391,65179,65767,53815,50084,50255
64272,65892,65837,55650,50849,52303
61860,62943,63320,53122,49500,50727
58766,60305,60774,49881,48492,49774
53851,55656,56218,45246,44808,45475
49724,51932,52516,41212,41160,41886
47494,49287,50080,38844,38752,40379
46710,48267,49388,38006,38079,39649
47504,48550,49948,37991,38285,39945
48888,49845,51479,38403,38651,41904
52140,52637,54276,38953,38575,46740
58530,58118,60314,39869,38021,57351
63394,63002,65105,41974,38093,63642
65991,65393,68021,46121,40906,66626
66224,65872,68676,48322,42908,67804
67317,66763,69628,49231,44426,69026
68523,67922,70939,49660,46126,70033
67580,66619,70035,48380,44634,68924
67035,65445,69195,46804,42304,68646
66030,64825,68153,45464,41227,67147
64663,63767,67414,45098,40486,65823
62726,62339,65688,44518,40253,64073
62305,61487,64833,45500,41696,63603
61902,61684,64699,46671,43938,63427
62419,62098,64928,47782,45106,63746
63832,63894,65731,49287,46466,64062
61776,61880,63357,47220,46228,61109
59236,59228,60829,45627,45890,57217
54133,54427,56221,41872,42619,51702
49943,51077,52867,38436,39942,48086
47898,49316,50269,35865,38930,46278
46797,48597,49211,34640,38497,45445
47411,49173,49727,34276,38191,46251
48980,50622,51334,34705,38950,47981
52225,53338,54370,35109,38926,51419
58546,58744,60526,34902,38278,59524
63643,63377,65287,36255,38846,63968
66050,65775,68297,39681,41043,65928
66641,66667,68622,42180,43623,66212
67957,67643,69321,44232,45162,67199
69266,68594,70006,46246,46292,68436
68309,67619,68901,45093,45657,67766
67741,66723,67055,42619,44042,67665
66475,65144,65456,40774,42317,66082
65116,64013,64668,39868,41262,65091
63332,62817,63738,39229,40799,63686
62816,62290,63351,41022,42401,63561
62476,62253,63267,43048,44576,63750
62657,62115,63462,44387,46044,64634
63751,63302,63393,46916,48549,64992
61742,61157,60859,46258,48422,61346
59700,58353,58899,45030,47994,57091
54943,53676,55168,41102,44580,51575
51640,49439,51506,37767,41787,47175
49584,46616,49473,36204,41101,44919
48657,45039,48170,36012,41585,43847
49126,44738,48211,36751,42118,44546
50503,44844,48477,38925,43840,46138
53041,43695,48349,43116,46694,50009
58992,41275,48235,50685,53074,58580
63321,42062,49766,56506,58329,63726
65264,44954,53507,59250,61066,66638
65549,47559,56765,59620,61027,67037
66095,49288,58851,59819,60962,68188
67199,51392,60123,60473,61249,69360
66690,50751,59256,59367,59886,67872
65728,48307,57084,58243,58749,66904
64346,46349,55242,56921,57422,65328
63201,45259,54357,55721,56460,64739
61950,44823,53604,54294,55320,63417
61727,45788,54257,54316,56051,63234
61733,47573,55110,54906,57652,63302
61615,48470,55197,55331,58944,63354
63375,50532,55411,57156,60771,64205
61716,50033,54040,54977,59145,61884
59312,49163,53921,51091,56144,57681
54570,45482,50967,45757,51733,52191
50753,41850,47325,41417,48581,48712
48390,39704,44972,39455,47254,46751
47428,38876,43643,38495,46153,45704
47814,38943,43469,38839,46252,46126
49322,40042,44074,40706,47393,47568
52419,40919,43530,44679,49220,51519
58580,41338,41620,51515,55448,59635
63108,43509,42107,57162,59975,64687
65451,47053,45287,59565,61893,67075
65606,49815,47959,59413,61559,67621
66094,51216,50658,59555,61104,68943
66648,52254,53486,60420,61327,70617
65290,51650,52649,59518,60364,70101
63761,50307,50286,58396,59113,69343
61866,48987,48422,57245,57844,68683
60250,48473,47148,56355,57583,67871
59247,48018,46618,54872,57281,66324
59293,49112,47535,54981,57614,65568
59138,50110,49531,55725,58702,65167
59242,49958,50877,56188,60157,64885
60233,50711,53613,57518,62315,65053
58625,49850,53551,54675,60031,62161
56730,49281,54054,50647,55917,58120
52938,46039,50796,45045,51061,52068
49070,42623,48647,41131,47009,47678
46827,40214,46621,39165,46344,45927
45238,38898,46040,38260,45898,44824
45214,38937,46800,38735,46174,45256
46259,39349,48279,40189,47478,46871
46380,38975,51711,44210,49996,50756
46008,37249,59445,51373,55686,59333
48129,38200,64386,57156,60084,64673
51609,41667,67300,59787,62344,67577
54303,44197,67717,60200,62508,68020
55643,45267,68663,60350,63403,69326
56404,47138,69713,61246,63772,70686
55394,45198,69038,60235,62734,70060
53660,42010,68427,59248,61844,68384
51990,40316,67319,58076,60654,66425
51145,39356,66365,56984,60181,64931
50577,38999,64702,55808,59350,63401
50977,40273,63997,55959,59375,62991
51460,42133,63882,55999,60540,62845
51450,43616,64272,56330,61558,62336
52124,46239,64969,57047,62436,62232
51076,46737,63433,54153,60270,59834
50125,46693,61200,50518,56923,56262
46965,43852,57429,45317,52143,51374
43315,40821,54226,41111,48805,46989
40514,38942,52178,39055,47004,44643
39124,38089,51568,38196,47168,43268
39159,38372,52004,38124,47480,43003
39700,39243,53185,39831,48755,43541
39761,39655,56068,43100,50650,44168
38158,38633,61779,49110,55712,45435
39138,39432,65201,54286,60940,48356
42748,42049,67067,56984,63342,52553
46664,44753,66576,57317,63699,55224
49724,47020,66910,57836,64238,56894
52790,49335,68054,58459,64615,57769
52057,48376,67442,57023,63203,56551
49929,46417,66918,55654,61453,54664
47931,44598,65804,53934,60080,52556
46852,43457,65004,52692,59192,51335
46290,42656,63498,51256,58531,50498
47018,43865,63029,51176,58804,51009
48494,45650,62863,51323,59345,51821
49042,46730,63342,51090,59684,51307
51020,48898,64798,52318,59660,51956
51183,49000,62906,50240,58043,50693
51634,48583,60338,46935,55156,48788
48271,45108,55742,42105,50862,45141
44830,41709,52229,38372,47032,41440
42589,39781,49740,36265,45363,39122
42016,39260,48909,34876,44284,38160
42770,39483,49479,34372,44980,37926
44651,41685,51247,34382,45727,38323
48306,46269,54421,34499,45524,38821
54839,54469,61162,33711,44581,38264
60605,60740,65195,35379,46055,39555
64440,64227,67345,38400,49562,43716
65576,65544,67221,40300,52002,47334
67104,66812,67756,41221,52625,49783
68513,68089,68687,43072,53417,51988
67915,67261,67995,42095,52016,51154
66947,67263,67958,39216,50381,48476
65685,66281,67284,37300,49354,46428
64223,65165,66374,36358,49101,45202
62632,63575,65111,36651,48724,44624
61966,63126,64708,38506,50101,45904
61982,62505,64898,40790,51324,48048
61875,62256,64729,42035,51810,48942
62594,62991,64768,44554,51605,50980
61220,60983,62601,44688,50346,50780
58801,57563,60152,42661,49216,49334
54274,52429,56006,38815,45617,45316
50648,48586,52396,35375,42750,42347
48587,46293,49996,33169,41120,40929
48053,45230,49221,31963,40738,40254
48459,45819,49749,31539,41402,40876
49931,47730,51470,32231,42194,43084
52371,51402,54943,33728,42018,47845
57227,57341,61139,34797,40856,57602
62043,62304,64957,37648,40764,63304
65113,64778,67196,40867,42690,66096
65791,65457,67919,42988,44880,66903
66965,66142,68418,43741,47281,68051
67957,67479,69414,44179,49669,69511
66790,66449,68910,43648,48811,69058
65804,65692,68421,41828,46695,68432
64575,64304,67173,40602,45036,67011
63170,63229,66302,40145,44210,65861
61448,61840,64634,40176,43890,64302
60906,61430,64404,41578,45559,63535
60962,61477,64438,43080,47733,63039
61232,61369,64306,43349,49070,63003
62085,62332,64164,44506,50879,63434
60377,61155,62484,43507,51158,61257
58254,57600,60762,41464,50979,56480
53176,52156,56314,37535,47566,50875
49375,48003,52302,34153,45253,46392
47237,45758,49642,32091,44325,44793
46473,44662,48611,30913,43929,44024
46734,45071,49141,30112,44859,43679
48135,46783,50861,30378,46613,45414
50751,50542,53836,31205,49443,49866
56285,56282,60022,30911,56843,59215
61588,61374,64913,32540,62507,65221
65239,64192,67602,35522,65036,68133
66469,64752,67660,37536,65552,68974
67998,65425,68020,38477,66529,70528
68990,66501,68769,40018,67202,72363
67848,65534,68025,38265,65970,71194
66804,64467,66856,35508,64903,70774
65629,63301,65429,33964,63799,69519
64054,62188,64554,33327,63396,68463
62499,60777,63528,33349,62159,66487
62062,60657,63486,35070,61886,66046
61696,60854,63556,37101,61790,66012
61514,61073,63024,38404,61940,65355
62105,62324,62549,40667,62690,64656
61002,61115,60445,41014,61235,62334
58875,57277,58451,39333,57972,58474
54225,51777,55045,35636,53014,53202
50645,47741,51440,32578,49493,49165
48092,45450,48859,30567,47042,47309
47280,44144,47623,29580,46449,46817
47768,44432,47871,29413,47193,47403
49225,45882,48503,29943,48732,48601
51536,49703,48572,30874,51502,52615
56300,55982,48449,30631,57899,60082
61036,61600,49680,32052,63030,65129
64396,64474,53061,35172,64844,68144
65710,64916,55850,37723,64814,68885
67153,65746,56795,39176,65016,70003
68674,66874,57115,40760,65593,71355
67961,65590,56023,39383,65294,70240
66888,64031,54091,37181,64687,69829
65855,62139,52566,35669,63352,68517
64992,60954,51713,34666,62794,67245
63318,59913,51372,34732,61347,65430
62452,60012,52034,36711,61363,64947
62296,60215,52862,39079,61814,64946
61648,59742,52685,40372,62259,64842
60853,60536,52685,42666,62963,64784
58439,59465,52433,42731,61147,62606
55987,55826,51578,40560,57652,59166
51715,50800,48179,36558,52109,53962
48337,47233,45271,33433,48447,49948
45723,44774,42577,31443,47075,47891
44498,43018,41395,30619,46387,47020
43893,42491,42075,31022,47126,47692
44107,43033,42693,32960,48264,49038
42927,44154,42418,37438,50744,52766
40400,45408,40666,45050,57943,60016
41305,49012,41509,51447,62849,64987
44311,52886,44336,55359,64672,67302
47863,54843,46462,56472,64675,68016
50624,55779,48889,57370,65144,69248
53539,56094,51676,58313,66125,70748
53208,54355,50485,57319,65798,70075
50758,51807,48094,56126,65287,69275
48758,50009,46608,54702,64161,68369
47072,49137,46231,53852,63283,66901
46065,48779,45741,52125,61751,65296
46681,49740,46959,52042,61854,64951
47523,51048,48945,52587,62268,64451
47777,50758,49671,52470,62866,64301
48803,52005,52003,53281,63112,64212
49474,51898,52485,51866,61117,62353
49559,49668,52390,47447,57615,58286
46208,45427,48942,42198,52789,53079
42352,41860,45473,38731,48498,49130
40691,38971,43826,36730,46700,47276
39965,37630,43338,36009,46425,46475
40126,36852,44264,36110,47015,47170
40863,36837,46292,37755,47908,48887
40830,37571,50348,41790,50427,52439
39520,37198,57948,48108,57695,59457
41659,39137,63749,53967,62475,64304
45566,42175,67023,56822,64128,66725
48517,45032,67844,57336,64058,67499
49585,46828,68675,57883,64657,68724
50432,49005,69631,58807,65606,69458
49772,47711,68949,57658,65092,68682
48254,45142,68292,56394,64383,66859
47176,43470,67492,55107,63170,64931
46797,42404,66962,54045,62120,63847
46518,42223,65440,52979,60816,62595
47605,43905,65230,53278,60966,62569
48315,46250,65337,53859,61779,62261
48590,47556,65386,53921,61980,61890
48809,50334,64796,54992,62373,61681
48138,51607,62964,53948,60711,60121
47394,49736,60082,49467,56936,56900
44006,45632,55405,44193,51316,52129
40198,42071,51822,40543,47514,48210
37383,40396,49644,38890,46171,45765
35816,39546,48754,37868,46222,44598
35118,39627,49397,37713,46806,44776
35675,41132,51089,38843,48499,45065
35969,46025,54329,42992,51303,45801
34345,55348,60733,49328,57340,46240
35614,61218,64829,55078,62099,49204
39587,63897,67712,57795,64432,53467
43009,64086,68096,58199,64813,56335
45519,64900,69331,59436,65184,57833
48183,66240,70431,60822,64927,58655
46634,65550,69618,60049,63334,57388
43640,64833,68732,59591,61536,54862
42102,63802,67776,59029,60393,53006
40940,62649,66701,58237,58969,51859
39965,61289,65116,57610,58034,51272
40523,61337,64713,57411,58702,52246
42780,61456,64479,57200,59294,53371
43704,61063,64079,56497,59294,53428
45490,61727,64044,56462,59289,53137
46479,60691,63034,54534,58339,51691
46326,55953,60619,50443,56299,49014
43254,50071,56172,44992,51702,45019
39439,46245,52549,41553,47554,41518
36764,44436,50315,39709,45400,39285
35392,43276,49468,38830,44992,38093
35331,43439,50102,38825,46004,38131
36267,45050,51690,40002,46440,38694
36697,49621,54855,43291,46077,38990
35202,57085,59948,49313,44530,38266
35936,62139,64620,54974,46156,39839
39110,64540,66698,58484,49257,43532
42344,64271,66867,60274,50607,46719
44754,65114,67911,61769,50651,49015
47371,66294,68847,63193,50317,51596
46592,65462,68187,62232,49045,50702
44535,64579,67591,60295,47310,48154
42581,63593,66162,58154,46256,46711
42199,62773,65555,57259,45664,45286
42075,61680,64122,56304,45371,44766
43123,61622,63452,56857,46799,45799
44651,61947,63272,56714,49057,47471
45216,61645,63136,56138,49778,48271
46713,62044,63371,55374,50105,49657
47927,60542,62557,53299,49928,50322
48360,55866,60219,49697,48880,49755
45232,50483,56149,45179,45356,45828
41757,47185,52768,41467,42164,42892
39729,45065,50411,39176,39821,41403
39649,43910,49731,38102,38547,41007
40223,44500,49953,37816,39327,41640
42284,45786,51764,38142,40459,43628
45983,49898,54623,38282,40765,48120
52165,57195,59838,38840,39460,55607
57800,62467,64320,41942,39812,61716
61444,65028,66660,46156,41274,65282
63216,65500,66805,49049,42666,67038
64667,66770,67595,50435,44020,68443
