deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
40877,66772,69661,62467,64071,47555
43548,69692,71348,64338,66313,51830
47348,70120,70486,64645,66785,54364
50425,71021,70533,64916,67401,55798
53722,72347,71287,65222,68027,56686
53304,71955,70890,64985,68069,56939
51111,71358,70449,64246,66788,55551
49698,69969,69585,63474,65745,54209
49188,69014,69106,63304,65066,54291
51425,69454,70241,64105,65664,56249
57200,72367,73891,68046,69108,60900
59011,72161,73839,68079,69571,60886
58199,70230,71683,66368,67826,58719
55698,65785,67462,63597,64220,54416
55811,63335,64807,62141,61985,52164
57368,61286,63249,61559,61411,51978
54557,55853,58646,58427,58556,48440
51983,51609,55293,56134,56357,44557
50296,49621,53232,53901,54357,41837
49342,48926,52392,52059,52955,40702
49050,49402,52454,50952,51845,40473
49604,51010,53243,50589,51403,40719
52273,53453,55481,52439,50970,40468
57473,60684,62195,57181,50405,38692
66508,68001,68907,63266,52576,40082
69029,71121,71208,65166,55607,43152
68969,70889,70400,65438,58712,46584
69553,71949,70939,65887,60814,49725
70171,73062,71639,65537,62197,53412
69877,72482,71113,65110,62602,53362
69598,71970,70859,63734,61571,51887
68650,71321,70243,62682,59878,50440
68137,70789,70133,62442,59388,49723
68817,71596,70952,63679,60229,51675
72790,74538,73681,67688,63236,56303
72365,74431,72845,67275,64299,57551
70682,72388,70846,64967,62678,56413
67282,68146,67146,61502,59335,54029
65125,65171,64797,59884,57697,52754
64316,63034,63381,59841,57941,53881
60893,57649,58646,57137,56065,50378
58523,53256,55036,54721,53311,47449
57376,50940,52920,52712,51000,46013
56567,50013,52181,51051,49590,45319
55771,50586,52616,49368,48107,45631
55879,52154,53516,48119,47138,46970
56020,55012,55649,46758,45745,49990
61632,61887,62193,45054,43458,58413
68683,69015,69601,47228,44170,65879
70489,70865,71531,50471,46722,69030
69878,69931,70663,53519,49746,69407
70404,70402,70672,54876,51746,69526
71033,71401,71087,55503,54398,70023
70751,70527,70593,55094,54543,69737
70261,70201,70141,53708,52611,69267
69471,69603,69390,52676,51258,68385
68884,69281,69323,52874,50884,68197
69466,70832,70714,55091,51949,68885
73225,74758,74745,60510,56620,72006
72929,74475,74768,61168,59123,71481
70986,72296,72830,59462,58793,69737
67225,68443,69140,56309,56553,65895
65453,66162,66340,55204,55160,63649
64891,63896,64614,56708,56106,61753
61245,58318,60106,54432,53812,56886
58392,55124,56626,52360,51530,53570
56713,53247,54394,50179,49510,51711
55458,52557,53165,48809,48602,50672
54832,53017,53180,47489,48104,50452
55110,53810,54280,46420,48616,51369
56961,56113,56707,45139,50866,53945
62184,62312,62962,42713,57089,61421
69025,69350,70081,43587,63443,68273
70903,71425,71792,46137,66093,70568
70365,71376,71102,49008,66924,69834
70814,72203,71450,50641,67796,70115
71364,73581,71613,52593,68898,70213
70875,73417,70692,52175,69031,70382
70344,73319,69083,49878,68524,70142
69729,73031,67716,48871,67511,69654
69409,73148,67124,49054,66892,69883
70701,73659,68881,51263,66849,70247
74262,76582,73400,57489,69473,72851
73501,75558,72602,59130,70517,72321
71085,73315,69943,58179,69733,70162
67118,69395,65783,56577,66858,66189
65233,66803,63016,56162,64265,62673
64196,64273,61514,57718,62967,60361
59993,59469,57173,55729,59053,55518
57001,55679,54103,53427,55873,51666
54934,53663,51916,51796,53774,49477
53541,52957,50257,50751,52538,48482
53067,53366,49415,50148,51955,49104
