datetime,BE_LU_powerline,DE_LU_powerline,FR_LU_powerline,LU_shortage,LU_BE_powerline,LU_DE_powerline,LU_excess,duals
2025-01-03 07:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 08:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 09:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 10:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 11:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-03 12:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-03 13:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-03 14:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-03 15:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 16:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.013535
2025-01-03 17:00:00,0.0,208.840426251,510.0,0.0,718.840426251,0.0,0.0,34.013535
2025-01-03 18:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-03 19:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.55096335
2025-01-03 20:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.55096335
2025-01-03 21:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.55096335
2025-01-03 22:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,17.2749140893
2025-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8230769231
2025-01-04 00:00:00,0.0,721.649484536,0.0,0.0,721.649484536,0.0,0.0,15.8230769231
2025-01-04 01:00:00,0.0,721.649484536,0.0,0.0,721.649484536,0.0,0.0,15.8230769231
2025-01-04 02:00:00,0.0,721.649484536,0.0,0.0,721.649484536,0.0,0.0,15.8230769231
2025-01-04 03:00:00,0.0,721.649484536,0.0,0.0,721.649484536,0.0,0.0,15.8230769231
2025-01-04 04:00:00,0.0,0.0,288.845801393,0.0,288.845801393,0.0,0.0,16.3124504362
2025-01-04 05:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,17.3370713531
2025-01-04 06:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.55096335
2025-01-04 07:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-04 08:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 09:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 10:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 11:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 12:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 13:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 14:00:00,0.0,0.0,510.0,0.0,510.0,0.0,0.0,34.013535
2025-01-04 15:00:00,0.0,114.715776903,510.0,0.0,624.715776903,0.0,0.0,34.1114383898
2025-01-04 16:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-04 17:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-04 18:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-04 19:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-04 20:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-04 21:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.013535
2025-01-04 22:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-04 23:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
