datetime,AT_CZ_powerline,CZ_pp_biomass,CZ_pp_gas,CZ_pp_hard_coal,CZ_pp_lignite,CZ_pp_mixed_fuels,CZ_pp_oil,CZ_pp_uranium,CZ_run_of_river,CZ_shortage,CZ_solar,CZ_storage_phs_out,CZ_wind,DE_CZ_powerline,PL_CZ_powerline,CZ_AT_powerline,CZ_DE_powerline,CZ_PL_powerline,CZ_excess,CZ_load,CZ_storage_phs_in,CZ_storage_phs,duals
2035-01-01 00:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,181.57438,449.628642226,0.0,0.0,0.0,0.0,0.0,6786.203022226,0.0,9750.0,56.9492105263
2035-01-01 01:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,182.32688,0.0,301.746494145,0.0,0.0,0.0,0.0,6639.073374144999,0.0,9750.0,53.5
2035-01-01 02:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,182.91855999999999,0.0,134.570006159,0.0,0.0,0.0,0.0,6472.488566159,0.0,9750.0,49.1956521739
2035-01-01 03:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,186.0094,0.0,280.437547004,0.0,0.0,0.0,0.0,6408.04334798,213.403599024,9942.06323912,46.1288605263
2035-01-01 04:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,191.60456,0.0,574.933302795,0.0,0.0,0.0,0.0,6304.687811214,616.850051581,10497.2282855,46.1288605263
2035-01-01 05:00:00,953.270894008,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,197.29862,0.0,631.083398837,0.0,0.0,0.0,0.0,6279.152912845,1657.5,11988.9782855,46.1288605263
2035-01-01 06:00:00,661.46834456,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,0.0,0.0,200.89772,0.0,910.775215903,0.0,0.0,0.0,0.0,6270.641280463001,1657.5,13480.7282855,46.1288605263
2035-01-01 07:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,69.88772,0.0,198.85522,0.0,1157.69690353,0.0,0.0,0.0,0.0,6246.322330276001,1335.11751325,14682.3340475,46.1288605263
2035-01-01 08:00:00,0.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,322.51304,0.0,188.54038,0.0,478.568771524,0.0,0.0,0.0,0.0,6744.860807275,399.761384249,15042.1192933,46.1288605263
2035-01-01 09:00:00,1000.0,0.0,0.0,0.0,4428.5,0.0,0.0,1564.0,162.5,0.0,643.45138,0.0,175.34368,0.0,0.0,0.0,0.0,0.0,0.0,7270.150129602,703.644930398,15675.3997307,46.1288605263
