datetime,BE_LU_powerline,DE_LU_powerline,LU_shortage,LU_BE_powerline,LU_excess,duals
2035-01-03 18:00:00,0.0,33.3123457933,0.0,33.3123457933,0.0,63.1926470588
2035-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,56.9492105263
2035-01-03 20:00:00,0.0,643.430629885,0.0,643.430629885,0.0,55.2407342105
2035-01-03 21:00:00,0.0,721.649484536,0.0,721.649484536,0.0,55.2407342105
2035-01-03 22:00:00,0.0,721.649484536,0.0,721.649484536,0.0,51.1860441176
2035-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,47.7197826087
2035-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,46.716120443
2035-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,46.716120443
2035-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,46.716120443
2035-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,47.7197826087
2035-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-04 05:00:00,0.0,721.649484536,0.0,721.649484536,0.0,51.1860441176
2035-01-04 06:00:00,0.0,721.649484536,0.0,721.649484536,0.0,55.1546391753
2035-01-04 07:00:00,0.0,388.811579183,0.0,388.811579183,0.0,62.3982637005
2035-01-04 08:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-04 09:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 10:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0,59.4579616176
2035-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0,59.4579616176
2035-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0,59.373
2035-01-04 14:00:00,0.0,38.8396375781,0.0,38.8396375781,0.0,63.102348815
2035-01-04 15:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 16:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 17:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 18:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 19:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 20:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-04 21:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-04 22:00:00,0.0,721.649484536,0.0,721.649484536,0.0,62.3982637005
2035-01-04 23:00:00,0.0,721.649484536,0.0,721.649484536,0.0,61.2092783505
2035-01-05 00:00:00,0.0,721.649484536,0.0,721.649484536,0.0,60.5263157895
2035-01-05 01:00:00,0.0,721.649484536,0.0,721.649484536,0.0,55.1546391753
2035-01-05 02:00:00,0.0,721.649484536,0.0,721.649484536,0.0,52.7691176471
2035-01-05 03:00:00,0.0,721.649484536,0.0,721.649484536,0.0,52.7691176471
2035-01-05 04:00:00,0.0,721.649484536,0.0,721.649484536,0.0,55.1546391753
2035-01-05 05:00:00,0.0,0.0,0.0,0.0,0.0,57.159675
2035-01-05 06:00:00,0.0,214.567687424,0.0,214.567687424,0.0,61.2092783505
2035-01-05 07:00:00,0.0,721.649484536,0.0,721.649484536,0.0,61.2092783505
2035-01-05 08:00:00,0.0,721.649484536,0.0,721.649484536,0.0,62.3982637005
2035-01-05 09:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 10:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 11:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-05 12:00:00,0.0,721.649484536,0.0,721.649484536,0.0,62.3982637005
2035-01-05 13:00:00,0.0,721.649484536,0.0,721.649484536,0.0,61.2092783505
2035-01-05 14:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-05 15:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 16:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 17:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 18:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-05 19:00:00,0.0,463.750555558,0.0,463.750555558,0.0,63.1926470588
2035-01-05 20:00:00,0.0,0.0,0.0,0.0,0.0,58.7105263158
2035-01-05 21:00:00,0.0,0.0,0.0,0.0,0.0,57.59181
2035-01-05 22:00:00,0.0,0.0,0.0,0.0,0.0,55.2407342105
2035-01-05 23:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-06 00:00:00,0.0,0.0,0.0,0.0,0.0,46.716120443
2035-01-06 01:00:00,0.0,0.0,0.0,0.0,0.0,15.8230769231
2035-01-06 02:00:00,0.0,0.0,0.0,0.0,0.0,15.8230769231
2035-01-06 03:00:00,0.0,0.0,0.0,0.0,0.0,15.8230769231
2035-01-06 04:00:00,0.0,0.0,0.0,0.0,0.0,45.3146368297
2035-01-06 05:00:00,0.0,0.0,0.0,0.0,0.0,51.895
2035-01-06 06:00:00,0.0,0.0,0.0,0.0,0.0,57.59181
2035-01-06 07:00:00,0.0,721.649484536,0.0,721.649484536,0.0,61.2968676471
2035-01-06 08:00:00,0.0,721.649484536,0.0,721.649484536,0.0,60.5263157895
2035-01-06 09:00:00,0.0,721.649484536,0.0,721.649484536,0.0,60.5263157895
2035-01-06 10:00:00,0.0,721.649484536,0.0,721.649484536,0.0,58.7105263158
2035-01-06 11:00:00,0.0,721.649484536,0.0,721.649484536,0.0,56.9492105263
2035-01-06 12:00:00,0.0,721.649484536,0.0,721.649484536,0.0,60.5263157895
2035-01-06 13:00:00,0.0,721.649484536,0.0,721.649484536,0.0,60.5263157895
2035-01-06 14:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-06 15:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-06 16:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-06 17:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-06 18:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.1926470588
2035-01-06 19:00:00,0.0,721.649484536,0.0,721.649484536,0.0,63.102348815
2035-01-06 20:00:00,0.0,0.0,0.0,0.0,0.0,57.159675
2035-01-06 21:00:00,0.0,0.0,0.0,0.0,0.0,57.159675
2035-01-06 22:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-06 23:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-07 00:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-07 01:00:00,0.0,0.0,0.0,0.0,0.0,47.7197826087
2035-01-07 02:00:00,0.0,0.0,0.0,0.0,0.0,47.7197826087
2035-01-07 03:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-07 04:00:00,0.0,0.0,0.0,0.0,0.0,48.1609489103
2035-01-07 05:00:00,0.0,0.0,0.0,0.0,0.0,57.59181
2035-01-07 06:00:00,0.0,0.0,0.0,0.0,0.0,70.5675
2035-01-07 07:00:00,0.0,0.0,0.0,0.0,0.0,75.0
2035-01-07 08:00:00,0.0,0.0,0.0,0.0,0.0,70.5675
2035-01-07 09:00:00,0.0,721.649484536,0.0,721.649484536,0.0,64.3281069077
