datetime,AT_shortage,CH_AT_powerline,CZ_AT_powerline,DE_AT_powerline,AT_CH_powerline,AT_CZ_powerline,AT_DE_powerline,AT_excess,duals
2035-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2407342105
2035-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9760068187
2035-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7197826087
2035-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7449947105
2035-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7449947105
2035-01-01 05:00:00,0.0,982.753498977,0.0,0.0,0.0,982.753498977,0.0,0.0,44.7449947105
2035-01-01 06:00:00,0.0,681.926128412,0.0,0.0,0.0,681.926128412,0.0,0.0,44.7449947105
2035-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7449947105
2035-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7449947105
2035-01-01 09:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,44.7449947105
2035-01-01 10:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,44.7449947105
2035-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7449947105
2035-01-01 12:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,44.7449947105
2035-01-01 13:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,49.1956521739
2035-01-01 14:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,53.5
2035-01-01 15:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,55.2407342105
2035-01-01 16:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,55.2407342105
2035-01-01 17:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,55.2407342105
2035-01-01 18:00:00,0.0,1030.92783505,0.0,0.0,0.0,1030.92783505,0.0,0.0,55.2407342105
