datetime,DE_NO_powerline,DK_NO_powerline,NL_NO_powerline,NO_pp_biomass,NO_pp_gas,NO_pp_hard_coal,NO_pp_lignite,NO_pp_mixed_fuels,NO_pp_oil,NO_pp_uranium,NO_run_of_river,NO_shortage,NO_solar,NO_storage_phs_out,NO_wind,SE_NO_powerline,NO_DE_powerline,NO_DK_powerline,NO_NL_powerline,NO_SE_powerline,NO_excess,NO_load,NO_storage_phs_in,NO_storage_phs,duals
2025-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,863.0244,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13889.2738112,16.9464651312,680.0,5627.55555556,-1e-08
2025-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,900.7055999999999,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14607.1097352,16.7917410816,680.0,5484.0,-1e-08
2025-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,938.1816,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14644.9798634,16.397612928,680.0,5340.44444444,-1e-08
2025-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,977.6754,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14684.9043817,15.966894628800002,680.0,5196.88888889,-1e-08
2025-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1011.4001999999999,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14719.028537,15.567539313600001,680.0,5053.33333333,-1e-08
2025-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1019.4714,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14727.7092243,14.9580520104,680.0,4909.77777778,-1e-08
2025-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1019.3202000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14047.9134714,14.6026048704,680.0,5521.77777778,-1e-08
2025-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1017.0684000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14725.6459899,14.6182863624,680.0,5378.22222222,-1e-08
2025-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1025.5338000000002,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14734.1605253,14.5691510208,680.0,5234.66666667,-1e-08
2025-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1050.0696,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14758.5614644,14.7040118472,680.0,5091.11111111,-1e-08
2025-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1082.0664,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14790.0146394,15.2476368864,680.0,4947.55555556,-1e-08
2025-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1107.1098,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14133.9655622,16.3401141264,680.0,5559.55555556,-1e-08
2025-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1136.6946,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14842.0303029,17.8601733672,680.0,5416.0,-1e-08
2025-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1169.9352,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14874.7356413,18.395434944,680.0,5272.44444444,-1e-08
2025-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1202.3046,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14906.9294086,18.5710676472,680.0,5128.88888889,-1e-08
2025-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.967e-11,680.0,1213.6842,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14918.1009675,18.7791087696,680.0,4985.33333333,-1e-08
2025-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,9.124e-11,0.0,1222.1532,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14246.3326543,19.0164220056,680.0,5597.33333333,-1e-08
2025-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.2586e-10,680.0,1222.7328,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14926.8976182,19.0310580648,680.0,5453.77777778,-1e-08
2025-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,8.572e-11,680.0,1215.7146,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14919.8532824,19.0571938848,680.0,5310.22222222,-1e-08
2025-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.41e-11,680.0,1197.333,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14901.3200947,19.208781635999998,680.0,5166.66666667,-1e-08
2025-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1169.082,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14872.9885963,19.289279959199998,680.0,5023.11111111,-1e-08
2025-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1128.3912,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14832.3312502,19.2558261096,680.0,4879.55555556,-1e-08
2025-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1073.9502,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14778.1108365,19.035239796,680.0,4736.0,-1e-08
2025-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1012.1544,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14036.6328481,18.7174282344,680.0,5348.0,-1e-08
2025-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,962.6382000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14667.4898675,18.3442087392,680.0,5204.44444444,-1e-08
2025-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,932.6178000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14637.8332782,17.980398136799998,680.0,5060.88888889,-1e-08
2025-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,920.4444,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14626.1355501,17.5047262272,680.0,4917.33333333,-1e-08
2025-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,898.5186,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13924.878827,16.8356492568,680.0,5529.33333333,-1e-08
2025-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,871.7274,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14578.7577494,16.1655268536,680.0,5385.77777778,-1e-08
2025-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,835.1838,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14542.8727721,15.5069042112,680.0,5242.22222222,-1e-08
2025-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,798.7896,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14506.8612005,15.1242758208,680.0,5098.66666667,-1e-08
2025-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,768.4218,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13796.6868055,14.930870757600001,680.0,5710.66666667,-1e-08
2025-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,765.3654,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14473.708813,14.8524633,680.0,5567.11111111,-1e-08
2025-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,767.9916,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14476.3214224,14.8660539264,680.0,5423.55555556,-1e-08
2025-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,782.0748,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14490.0136305,15.257045781599999,680.0,5280.0,-1e-08
2025-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,793.9548,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14500.6673379,16.4833384152,680.0,5136.44444444,-1e-08
2025-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,817.5474,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13842.905057,17.8382192784,680.0,5748.44444444,-1e-08
