datetime,DK_NO_powerline,NL_NO_powerline,NO_pp_biomass,NO_pp_gas,NO_pp_hard_coal,NO_pp_lignite,NO_pp_mixed_fuels,NO_pp_oil,NO_pp_uranium,NO_run_of_river,NO_shortage,NO_solar,NO_storage_phs_out,NO_wind,SE_NO_powerline,NO_DK_powerline,NO_NL_powerline,NO_SE_powerline,NO_excess,NO_load,NO_storage_phs_in,NO_storage_phs,duals
2035-01-01 00:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2527.63,3995.0,1752.57731959,721.649484536,3809.27835052,9284.47484701,14454.64999836,680.0,4612.0,-1e-08
2035-01-01 01:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2365.65,885.145678284,1752.57731959,721.649484536,3809.27835052,6262.36827837,14204.92224528,680.0,5224.0,-1e-08
2035-01-01 02:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2258.81,3995.0,1752.57731959,721.649484536,3809.27835052,9552.82433909,13917.48050628,680.0,5836.0,-1e-08
2035-01-01 03:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2184.29,1082.10319995,1752.57731959,721.649484536,3809.27835052,6607.19871288,13875.689332439999,680.0,6448.0,-1e-08
2035-01-01 04:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2162.06,279.05392549,1752.57731959,721.649484536,3809.27835052,5683.0476337,13974.561137159999,680.0,7060.0,-1e-08
2035-01-01 05:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,0.0,2193.63,3995.0,1752.57731959,721.649484536,3809.27835052,9152.29564203,14252.82920334,680.0,7672.0,-1e-08
2035-01-01 06:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2238.21,313.598545692,1752.57731959,721.649484536,3809.27835052,5847.89392924,14600.40946182,680.0,7528.44444444,-1e-08
2035-01-01 07:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2271.995,3143.04706574,1752.57731959,721.649484536,3809.27835052,8392.08750625,14919.449404859999,680.0,7384.88888889,-1e-08
2035-01-01 08:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2281.485,0.0,1752.57731959,721.649484536,3809.27835052,4999.62901461,15178.35083076,680.0,7241.33333333,-1e-08
2035-01-01 09:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,1.645e-11,680.0,2238.745,3751.3638205,1752.57731959,721.649484536,3809.27835052,8164.96756349,15721.636102380002,680.0,7097.77777778,-1e-08
2035-01-01 10:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,8.144e-11,680.0,2214.805,0.0,1752.57731959,721.649484536,3809.27835052,3977.86777711,16133.43206826,680.0,6954.22222222,-1e-08
2035-01-01 11:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,9.774e-11,680.0,2173.225,2623.46089537,1752.57731959,721.649484536,3809.27835052,6207.0719291,16486.10881164,680.0,6810.66666667,-1e-08
2035-01-01 12:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,6.024e-11,680.0,2138.355,0.0,1752.57731959,721.649484536,3809.27835052,3471.27446559,16563.575379780003,680.0,6667.11111111,-1e-08
2035-01-01 13:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,1.728e-11,680.0,2138.225,0.0,1752.57731959,721.649484536,3809.27835052,3321.30781421,16713.41203116,680.0,6523.55555556,-1e-08
2035-01-01 14:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,3.7e-13,680.0,2195.57,0.0,1752.57731959,721.649484536,3809.27835052,3232.89335075,16859.17149462,680.0,6380.0,-1e-08
2035-01-01 15:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2230.425,737.321524217,1752.57731959,721.649484536,3809.27835052,3787.95962525,17076.281744339998,680.0,6236.44444444,-1e-08
2035-01-01 16:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2258.115,679.359875566,1752.57731959,721.649484536,3809.27835052,3452.91818894,17381.051532,680.0,6092.88888889,-1e-08
2035-01-01 17:00:00,0.0,0.0,8.5e-09,0.0,0.0,0.0,0.0,0.0,0.0,24180.0,0.0,0.0,680.0,2302.0099999999998,1166.15963678,1752.57731959,721.649484536,3809.27835052,4459.62462577,16905.03985638,680.0,5949.33333333,-1e-08
