datetime,AT_CZ_powerline,CZ_pp_biomass,CZ_pp_gas,CZ_pp_hard_coal,CZ_pp_lignite,CZ_pp_mixed_fuels,CZ_pp_oil,CZ_pp_uranium,CZ_run_of_river,CZ_shortage,CZ_solar,CZ_storage_phs_out,CZ_wind,DE_CZ_powerline,PL_CZ_powerline,CZ_AT_powerline,CZ_DE_powerline,CZ_PL_powerline,CZ_excess,CZ_load,CZ_storage_phs_in,CZ_storage_phs,duals
2025-01-01 00:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,2741.57058425,162.5,0.0,0.0,0.0,152.01576,0.0,0.0,0.0,304.435446499,824.742268041,0.0,6525.408629712,0.0,9750.0,15.8230769231
2025-01-01 01:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,0.0,0.0,152.64576,0.0,0.0,0.0,866.970304719,824.742268041,0.0,6383.93318724,0.0,9750.0,15.8230769231
2025-01-01 02:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,0.0,0.0,153.14112,0.0,0.0,0.0,0.0,824.742268041,0.0,6223.7502484080005,1027.64860355,10674.8837432,15.8230769231
2025-01-01 03:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,0.0,0.0,155.7288,0.0,0.0,0.0,0.0,824.742268041,0.0,6161.781665760001,1092.2048662,11657.8681228,15.8230769231
2025-01-01 04:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,0.0,0.0,160.41312,0.0,0.0,0.0,0.0,824.742268041,0.0,6062.398091568,1196.27276039,12734.5136071,15.8230769231
2025-01-01 05:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,1936.40652968,162.5,0.0,0.0,0.0,165.18024,0.0,0.0,0.0,0.0,824.742268041,0.0,6037.84450164,0.0,12734.5136071,15.8230769231
2025-01-01 06:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,0.0,0.0,168.19344,0.0,0.0,0.0,0.0,824.742268041,0.0,6029.659972056001,1236.7911999,13847.625687,15.8230769231
2025-01-01 07:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,3162.0,162.5,0.0,59.07636,0.0,166.48344,0.0,0.0,0.0,426.420137852,824.742268041,0.0,6006.275601312001,891.121792794,14649.6353006,15.8230769231
2025-01-01 08:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,2118.92818784,162.5,0.0,272.62152000000003,0.0,157.84776,0.0,0.0,0.0,0.0,824.742268041,0.0,6485.6551998,0.0,14649.6353006,15.8230769231
2025-01-01 09:00:00,0.0,0.0,0.0,0.0,4598.5,0.0,0.0,2363.78857427,162.5,0.0,543.91194,0.0,146.79936,0.0,0.0,0.0,0.0,824.742268041,0.0,6990.7576062240005,0.0,14649.6353006,15.8230769231
