datetime,DE_SE_powerline,DK_SE_powerline,NO_SE_powerline,PL_SE_powerline,SE_pp_biomass,SE_pp_gas,SE_pp_hard_coal,SE_pp_lignite,SE_pp_mixed_fuels,SE_pp_oil,SE_pp_uranium,SE_run_of_river,SE_shortage,SE_solar,SE_storage_phs_out,SE_wind,SE_DE_powerline,SE_DK_powerline,SE_NO_powerline,SE_PL_powerline,SE_excess,SE_load,SE_storage_phs_in,SE_storage_phs,duals
2025-01-01 18:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,678.787401429,10530.0,0.0,0.0,0.0,1210.154,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16405.17851484,0.0,0.0,15.8230769231
2025-01-01 19:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1245.4969999999998,1237.11340206,2038.58855682,0.0,618.556701031,0.0,15826.2383401,0.0,0.0,15.7663476667
2025-01-01 20:00:00,0.0,0.0,3695.0,0.0,2370.08592174,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1284.536,1237.11340206,782.274431121,0.0,618.556701031,0.0,15241.677387529999,0.0,0.0,15.3483846154
2025-01-01 21:00:00,0.0,0.0,3695.0,0.0,908.861313074,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1333.959,1237.11340206,0.0,0.0,618.556701031,0.0,14612.15020999,0.0,0.0,15.3483846154
2025-01-01 22:00:00,0.0,0.0,3695.0,0.0,2331.1851267,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1434.851,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14032.273240110002,0.0,0.0,15.3483846154
2025-01-01 23:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1535.556,1237.11340206,425.322532676,0.0,618.556701031,0.0,13479.56336424,0.0,0.0,15.3483846154
2025-01-02 00:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1672.132,1237.11340206,812.959968046,0.0,618.556701031,0.0,13228.501928869999,0.0,0.0,14.4412950846
2025-01-02 01:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1813.6415000000002,1237.11340206,1026.60278936,0.0,618.556701031,0.0,13156.36860756,0.0,0.0,14.4412950846
2025-01-02 02:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1971.6235,1237.11340206,1215.49907092,0.0,618.556701031,0.0,13125.454326000001,0.0,0.0,14.4412950846
2025-01-02 03:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,-9e-09,2130.9145,1237.11340206,1238.0177964,0.0,618.556701031,0.0,13262.22660051,0.0,1e-08,14.4412950846
2025-01-02 04:00:00,0.0,0.0,3695.0,0.0,0.0,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2261.655,1237.11340206,787.007733916,0.0,618.556701031,0.0,13843.977163,0.0,1e-08,14.4412950846
2025-01-02 05:00:00,0.0,0.0,3695.0,0.0,238.931957495,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,9e-09,2329.8935,1237.11340206,0.0,0.0,618.556701031,0.0,14938.15535442,0.0,0.0,15.3483846154
2025-01-02 06:00:00,0.0,0.0,3695.0,0.0,3403.85308317,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2409.715,1237.11340206,2059.69518218,0.0,618.556701031,0.0,16123.20279791,0.0,0.0,15.3483846154
2025-01-02 07:00:00,0.0,0.0,3695.0,0.0,4056.47423855,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,-9e-09,2462.8065,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16785.51785195,0.0,1e-08,15.3483846154
2025-01-02 08:00:00,0.0,0.0,3695.0,0.0,4157.29123802,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,2.1840000000000002e-11,0.0,2543.728,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16967.256351429998,0.0,1e-08,15.3483846154
2025-01-02 09:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,267.57249702,10530.0,0.0,1.0758e-10,9e-09,2506.6415,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17290.45111044,0.0,0.0,15.8230769231
2025-01-02 10:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,577.184935199,10530.0,0.0,1.8249e-10,0.0,2498.6775000000002,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17592.09954861,0.0,0.0,15.8230769231
2025-01-02 11:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,624.472274749,10530.0,0.0,1.7683999999999998e-10,0.0,2493.546,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17634.25538816,0.0,0.0,15.8230769231
2025-01-02 12:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,638.461393529,10530.0,0.0,1.0046e-10,0.0,2552.627,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17707.32550694,0.0,0.0,15.8230769231
2025-01-02 13:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,651.635381349,10530.0,0.0,1.551e-11,0.0,2594.724,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17762.59649476,0.0,0.0,15.8230769231
2025-01-02 14:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,973.433517329,10530.0,0.0,0.0,0.0,2679.4955,1237.11340206,2103.09278351,0.0,618.556701031,0.0,18169.16613074,0.0,0.0,15.8230769231
2025-01-02 15:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1155.12309584,10530.0,0.0,0.0,0.0,2711.3955,1237.11340206,2103.09278351,0.0,618.556701031,0.0,18382.75570925,0.0,0.0,15.8230769231
2025-01-02 16:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1034.53330915,10530.0,0.0,0.0,0.0,2750.484,1237.11340206,2103.09278351,0.0,618.556701031,0.0,18301.25442256,0.0,0.0,15.8230769231
2025-01-02 17:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,739.240384559,10530.0,0.0,0.0,0.0,2714.151,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17969.62849797,0.0,0.0,15.8230769231
2025-01-02 18:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,409.143215359,10530.0,0.0,0.0,0.0,2672.3399999999997,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17597.72032877,0.0,0.0,15.8230769231
2025-01-02 19:00:00,0.0,0.0,3695.0,0.0,4213.61935913,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2560.4700000000003,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17040.32647254,0.0,0.0,15.3483846154
2025-01-02 20:00:00,0.0,0.0,3695.0,0.0,3562.52121953,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2441.5215,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16270.27983294,0.0,0.0,15.3483846154
2025-01-02 21:00:00,0.0,0.0,3695.0,0.0,2728.9246941,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2345.816,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15340.97780751,0.0,0.0,15.3483846154
2025-01-02 22:00:00,0.0,0.0,3695.0,0.0,1925.12787773,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2295.2545,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14486.61949114,0.0,0.0,15.3483846154
2025-01-02 23:00:00,0.0,0.0,3695.0,0.0,1352.78688168,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2216.522,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13835.545995089999,0.0,0.0,15.3483846154
2025-01-03 00:00:00,0.0,0.0,3695.0,0.0,1093.26753239,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2150.973,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13510.4776458,0.0,0.0,15.3483846154
2025-01-03 01:00:00,0.0,0.0,3695.0,0.0,1067.80483458,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2071.5145,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13405.55644799,0.0,0.0,15.3483846154
2025-01-03 02:00:00,0.0,0.0,3695.0,0.0,1029.33554789,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2028.4825,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13324.055161299999,0.0,0.0,15.3483846154
2025-01-03 03:00:00,0.0,0.0,3695.0,0.0,1223.33902726,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1970.3145,1237.11340206,2103.09278351,0.0,618.556701031,0.0,13459.89064067,0.0,0.0,15.3483846154
2025-01-03 04:00:00,0.0,0.0,3695.0,0.0,1799.00006871,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,1955.7945,1237.11340206,2103.09278351,0.0,618.556701031,0.0,14021.03168212,0.0,0.0,15.3483846154
2025-01-03 05:00:00,0.0,0.0,3695.0,0.0,3010.11471847,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,-9e-09,1954.084,1237.11340206,2103.09278351,0.0,618.556701031,0.0,15230.435831870001,0.0,1e-08,15.3483846154
2025-01-03 06:00:00,0.0,0.0,3695.0,0.0,4212.65848326,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2008.721,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16487.61659667,0.0,1e-08,15.3483846154
2025-01-03 07:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,627.06176459,10530.0,0.0,0.0,9e-09,2051.599,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17194.89787801,0.0,0.0,15.8230769231
2025-01-03 08:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,802.416029729,10530.0,0.0,6.5200000000000005e-12,0.0,2118.875,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17437.52814314,0.0,0.0,15.8230769231
2025-01-03 09:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1046.8405404,10530.0,0.0,5.475e-11,0.0,2132.0695,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17695.14715381,0.0,0.0,15.8230769231
