datetime,R1_R2_powerline,R2_R1_powerline,R2_excess,R2_load,R2_pp_biomass,R2_pp_gas,R2_pp_hard_coal,R2_pp_lignite,R2_pp_mixed_fuels,R2_pp_oil,R2_pp_uranium,R2_run_of_river,R2_shortage,R2_solar,R2_storage_phs_in,R2_storage_phs_level,R2_storage_phs_out,R2_wind,duals
2030-01-02 00:00:00,0.0,6781.451106,0.0,11996.948894,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,9275.0,0.0,8878.4,20.5438536105263
2030-01-02 01:00:00,0.0,7257.974546,0.0,11394.355454,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,10040.0,0.0,8752.33,20.5438536105263
2030-01-02 02:00:00,0.0,7413.510634,0.0,11046.529365999999,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,10805.0,0.0,8560.039999999999,20.5438536105263
2030-01-02 03:00:00,0.0,7130.762982,0.0,11122.807018000001,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,11570.0,0.0,8353.57,20.5438536105263
2030-01-02 04:00:00,0.0,6257.592884,0.0,11729.977116000002,0.0,0.0,0.0,0.0,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,12335.0,0.0,8087.57,20.5438536105263
2030-01-02 05:00:00,0.0,8434.25921082474,0.0,12929.061784,0.0,0.0,0.0,3746.77099482474,0.0,0.0,4250.0,6500.0,0.0,0.0,850.0,13100.0,0.0,7716.55,21.1792305263158
2030-01-02 06:00:00,0.0,8427.355232,0.0,13806.254767999999,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,13100.0,0.0,7233.610000000001,31.8418729024053
2030-01-02 07:00:00,0.0,7465.67118453608,0.0,14778.032035999999,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,12477.140866071,560.573220536076,6683.13,32.8266730952632
2030-01-02 08:00:00,0.0,7791.82179845361,0.0,15473.684210000001,0.0,0.0,1154.17600845361,4250.0,0.0,0.0,4250.0,6500.0,0.0,109.35000000000001,0.0,11532.6964216266,850.0,6151.9800000000005,32.8266730952632
2030-01-02 09:00:00,0.0,7855.6217427835,0.0,15751.334857999998,0.0,0.0,1462.7766007835,4250.0,0.0,0.0,4250.0,6500.0,0.0,415.15999999999997,0.0,10588.2519771821,850.0,5879.02,32.8266730952632
2030-01-02 10:00:00,0.0,7511.3050984536,0.0,16024.408848000001,0.0,0.0,1233.03394645361,4250.0,0.0,0.0,4250.0,6500.0,0.0,718.4699999999999,0.0,9643.80753273769,850.0,5734.21,32.8266730952632
