datetime,R1_R2_powerline,R1_excess,R1_load,R1_pp_biomass,R1_pp_gas,R1_pp_hard_coal,R1_pp_lignite,R1_pp_mixed_fuels,R1_pp_oil,R1_pp_uranium,R1_run_of_river,R1_shortage,R1_solar,R1_wind,R2_R1_powerline,duals
2030-01-02 04:00:00,0.0,0.0,20360.474239,0.0,0.0,0.0,3955.77914152,0.0,0.0,4250.0,3250.0,0.0,0.0,2834.83,6069.86509748,21.1792305263158
2030-01-02 05:00:00,0.0,0.0,22981.431434500002,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,3050.2000000000003,8181.2314345,21.8342582745524
2030-01-02 06:00:00,0.0,0.0,25611.5421485,0.0,0.0,2474.58757346,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,3212.42,8174.53457504,32.8266730952632
2030-01-02 07:00:00,0.0,0.0,26688.606048999998,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,120.38,3326.525,7241.701049,33.8419310260445
2030-01-02 08:00:00,0.0,0.0,27433.0921445,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,513.8249999999999,3361.2,7558.0671445,33.8419310260445
2030-01-02 09:00:00,0.0,0.0,27838.8980905,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,974.575,3244.37,7619.9530905,33.8419310260445
2030-01-02 10:00:00,0.0,0.0,27677.185945499998,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1339.135,3052.085,7285.9659455,33.8419310260445
2030-01-02 11:00:00,0.0,0.0,26905.239298,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1341.8749999999998,2847.435,6715.929298,33.8419310260445
2030-01-02 12:00:00,0.0,0.0,26633.684945,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1011.5200000000001,2537.895,7084.269945,33.8419310260445
2030-01-02 13:00:00,0.0,0.0,26349.9258995,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,549.505,2185.695,7614.7258995,33.8419310260445
2030-01-02 14:00:00,0.0,0.0,26822.857642000003,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,159.47,1934.39,8728.997642,33.8419310260445
2030-01-02 15:00:00,0.0,0.0,28879.3479205,0.0,0.0,4250.0,4250.0,2287.40626512,0.0,4250.0,3250.0,0.0,1.535,1778.8200000000002,8811.58665538,56.2577276923077
2030-01-02 16:00:00,0.0,0.0,29361.433178,0.0,0.0,4250.0,4250.0,4088.22677192,0.0,4250.0,3250.0,0.0,0.0,1646.295,7626.91140608,56.2577276923077
2030-01-02 17:00:00,0.0,0.0,28531.5142525,0.0,0.0,4250.0,4250.0,3303.17666886,0.0,4250.0,3250.0,0.0,0.0,1532.1950000000002,7696.14258364,56.2577276923077
2030-01-02 18:00:00,0.0,0.0,26603.173219,0.0,0.0,4250.0,4250.0,662.913291699999,0.0,4250.0,3250.0,0.0,0.0,1436.2,8504.0599273,56.2577276923077
2030-01-02 19:00:00,0.0,0.0,24690.0880485,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1314.49,7375.5980485,33.8419310260445
