,hour_of_day,weekday,building_class,shlp_type,temp_intervall_01,temp_intervall_02,temp_intervall_03,temp_intervall_04,temp_intervall_05,temp_intervall_06,temp_intervall_07,temp_intervall_08,temp_intervall_09,temp_intervall_10
0,1,0,1,EFH,0.0292,0.0287,0.0277,0.0257,0.0227,0.0194,0.0146,0.0099,0.0040,0.0040
1,2,0,1,EFH,0.0292,0.0287,0.0277,0.0262,0.0232,0.0204,0.0153,0.0102,0.0043,0.0043
2,3,0,1,EFH,0.0300,0.0295,0.0286,0.0271,0.0240,0.0214,0.0163,0.0110,0.0039,0.0039
3,4,0,1,EFH,0.0305,0.0301,0.0292,0.0287,0.0259,0.0246,0.0195,0.0158,0.0076,0.0076
4,5,0,1,EFH,0.0321,0.0317,0.0309,0.0338,0.0317,0.0333,0.0305,0.0300,0.0192,0.0192
5,6,0,1,EFH,0.0383,0.0381,0.0378,0.0439,0.0457,0.0492,0.0551,0.0678,0.0610,0.0610
6,7,0,1,EFH,0.0560,0.0570,0.0602,0.0545,0.0575,0.0623,0.0698,0.0856,0.0992,0.0992
7,8,0,1,EFH,0.0525,0.0529,0.0536,0.0509,0.0540,0.0577,0.0664,0.0739,0.0780,0.0780
8,9,0,1,EFH,0.0503,0.0506,0.0512,0.0502,0.0515,0.0526,0.0574,0.0603,0.0611,0.0611
9,10,0,1,EFH,0.0480,0.0482,0.0486,0.0486,0.0490,0.0485,0.0522,0.0599,0.0577,0.0577
10,11,0,1,EFH,0.0468,0.0470,0.0473,0.0468,0.0464,0.0449,0.0468,0.0494,0.0502,0.0502
11,12,0,1,EFH,0.0438,0.0439,0.0439,0.0448,0.0448,0.0432,0.0432,0.0479,0.0562,0.0562
12,13,0,1,EFH,0.0426,0.0425,0.0425,0.0441,0.0439,0.0425,0.0416,0.0442,0.0530,0.0530
13,14,0,1,EFH,0.0424,0.0424,0.0424,0.0439,0.0441,0.0425,0.0400,0.0390,0.0413,0.0413
14,15,0,1,EFH,0.0423,0.0422,0.0422,0.0452,0.0449,0.0438,0.0398,0.0370,0.0396,0.0396
15,16,0,1,EFH,0.0445,0.0445,0.0446,0.0462,0.0464,0.0460,0.0417,0.0355,0.0355,0.0355
16,17,0,1,EFH,0.0471,0.0473,0.0477,0.0484,0.0483,0.0482,0.0444,0.0394,0.0413,0.0413
17,18,0,1,EFH,0.0482,0.0484,0.0488,0.0490,0.0502,0.0512,0.0485,0.0422,0.0508,0.0508
18,19,0,1,EFH,0.0473,0.0474,0.0478,0.0492,0.0507,0.0525,0.0526,0.0466,0.0493,0.0493
19,20,0,1,EFH,0.0470,0.0472,0.0475,0.0484,0.0505,0.0526,0.0557,0.0520,0.0517,0.0517
20,21,0,1,EFH,0.0461,0.0463,0.0465,0.0462,0.0481,0.0500,0.0537,0.0525,0.0529,0.0529
21,22,0,1,EFH,0.0423,0.0422,0.0423,0.0409,0.0425,0.0430,0.0469,0.0443,0.0460,0.0460
22,23,0,1,EFH,0.0343,0.0340,0.0333,0.0310,0.0300,0.0288,0.0299,0.0301,0.0253,0.0253
23,24,0,1,EFH,0.0293,0.0289,0.0278,0.0265,0.0240,0.0216,0.0179,0.0154,0.0108,0.0108
24,1,0,2,EFH,0.0293,0.0289,0.0278,0.0259,0.0228,0.0195,0.0144,0.0098,0.0042,0.0042
25,2,0,2,EFH,0.0293,0.0288,0.0278,0.0264,0.0234,0.0205,0.0154,0.0103,0.0047,0.0047
26,3,0,2,EFH,0.0300,0.0296,0.0286,0.0272,0.0241,0.0215,0.0165,0.0111,0.0041,0.0041
27,4,0,2,EFH,0.0306,0.0302,0.0293,0.0288,0.0260,0.0247,0.0197,0.0160,0.0078,0.0078
28,5,0,2,EFH,0.0321,0.0318,0.0310,0.0336,0.0315,0.0330,0.0302,0.0295,0.0192,0.0192
29,6,0,2,EFH,0.0382,0.0381,0.0378,0.0435,0.0453,0.0488,0.0547,0.0671,0.0606,0.0606
30,7,0,2,EFH,0.0567,0.0571,0.0602,0.0548,0.0576,0.0621,0.0692,0.0842,0.0971,0.0971
31,8,0,2,EFH,0.0525,0.0529,0.0537,0.0510,0.0539,0.0577,0.0670,0.0746,0.0791,0.0791
32,9,0,2,EFH,0.0501,0.0504,0.0510,0.0500,0.0513,0.0526,0.0576,0.0605,0.0612,0.0612
33,10,0,2,EFH,0.0478,0.0481,0.0485,0.0484,0.0489,0.0486,0.0524,0.0600,0.0581,0.0581
34,11,0,2,EFH,0.0467,0.0469,0.0472,0.0467,0.0464,0.0450,0.0472,0.0502,0.0515,0.0515
35,12,0,2,EFH,0.0438,0.0438,0.0439,0.0447,0.0448,0.0431,0.0433,0.0480,0.0554,0.0554
36,13,0,2,EFH,0.0425,0.0425,0.0425,0.0440,0.0439,0.0424,0.0416,0.0442,0.0526,0.0526
37,14,0,2,EFH,0.0423,0.0423,0.0423,0.0438,0.0439,0.0424,0.0401,0.0393,0.0416,0.0416
38,15,0,2,EFH,0.0421,0.0421,0.0420,0.0450,0.0448,0.0436,0.0398,0.0374,0.0399,0.0399
39,16,0,2,EFH,0.0442,0.0443,0.0443,0.0460,0.0462,0.0456,0.0416,0.0356,0.0357,0.0357
40,17,0,2,EFH,0.0472,0.0474,0.0477,0.0483,0.0482,0.0481,0.0443,0.0396,0.0417,0.0417
41,18,0,2,EFH,0.0482,0.0484,0.0488,0.0490,0.0502,0.0511,0.0482,0.0424,0.0504,0.0504
42,19,0,2,EFH,0.0472,0.0475,0.0478,0.0492,0.0507,0.0524,0.0522,0.0462,0.0489,0.0489
43,20,0,2,EFH,0.0469,0.0471,0.0475,0.0484,0.0505,0.0527,0.0555,0.0517,0.0513,0.0513
44,21,0,2,EFH,0.0461,0.0463,0.0465,0.0464,0.0483,0.0501,0.0536,0.0523,0.0528,0.0528
45,22,0,2,EFH,0.0423,0.0423,0.0423,0.0411,0.0427,0.0434,0.0471,0.0443,0.0456,0.0456
46,23,0,2,EFH,0.0344,0.0341,0.0335,0.0313,0.0304,0.0294,0.0306,0.0304,0.0257,0.0257
47,24,0,2,EFH,0.0295,0.0291,0.0281,0.0268,0.0243,0.0217,0.0178,0.0151,0.0108,0.0108
48,1,0,3,EFH,0.0295,0.0291,0.0280,0.0261,0.0230,0.0195,0.0143,0.0097,0.0044,0.0044
49,2,0,3,EFH,0.0293,0.0289,0.0279,0.0265,0.0236,0.0207,0.0155,0.0104,0.0051,0.0051
50,3,0,3,EFH,0.0300,0.0296,0.0286,0.0273,0.0242,0.0216,0.0166,0.0111,0.0043,0.0043
51,4,0,3,EFH,0.0306,0.0302,0.0293,0.0288,0.0261,0.0248,0.0199,0.0161,0.0080,0.0080
52,5,0,3,EFH,0.0321,0.0318,0.0310,0.0334,0.0313,0.0328,0.0299,0.0291,0.0191,0.0191
53,6,0,3,EFH,0.0382,0.0380,0.0377,0.0432,0.0450,0.0485,0.0543,0.0665,0.0603,0.0603
54,7,0,3,EFH,0.0574,0.0572,0.0602,0.0550,0.0576,0.0620,0.0687,0.0828,0.0950,0.0950
55,8,0,3,EFH,0.0525,0.0530,0.0537,0.0510,0.0538,0.0578,0.0676,0.0753,0.0803,0.0803
56,9,0,3,EFH,0.0499,0.0502,0.0508,0.0498,0.0511,0.0527,0.0577,0.0607,0.0613,0.0613
57,10,0,3,EFH,0.0477,0.0480,0.0484,0.0483,0.0488,0.0486,0.0526,0.0600,0.0585,0.0585
58,11,0,3,EFH,0.0466,0.0469,0.0472,0.0467,0.0465,0.0451,0.0476,0.0509,0.0527,0.0527
59,12,0,3,EFH,0.0437,0.0438,0.0438,0.0446,0.0448,0.0430,0.0435,0.0482,0.0545,0.0545
60,13,0,3,EFH,0.0424,0.0424,0.0424,0.0439,0.0439,0.0424,0.0415,0.0442,0.0523,0.0523
61,14,0,3,EFH,0.0422,0.0422,0.0422,0.0436,0.0438,0.0422,0.0402,0.0396,0.0418,0.0418
62,15,0,3,EFH,0.0419,0.0419,0.0419,0.0449,0.0446,0.0434,0.0399,0.0377,0.0402,0.0402
63,16,0,3,EFH,0.0439,0.0440,0.0441,0.0457,0.0459,0.0453,0.0415,0.0358,0.0359,0.0359
64,17,0,3,EFH,0.0472,0.0474,0.0478,0.0482,0.0482,0.0479,0.0442,0.0399,0.0421,0.0421
65,18,0,3,EFH,0.0482,0.0484,0.0489,0.0489,0.0501,0.0510,0.0479,0.0427,0.0500,0.0500
66,19,0,3,EFH,0.0472,0.0475,0.0478,0.0492,0.0506,0.0523,0.0517,0.0458,0.0485,0.0485
67,20,0,3,EFH,0.0469,0.0471,0.0475,0.0484,0.0505,0.0527,0.0553,0.0515,0.0510,0.0510
68,21,0,3,EFH,0.0461,0.0463,0.0465,0.0465,0.0484,0.0503,0.0535,0.0520,0.0527,0.0527
69,22,0,3,EFH,0.0423,0.0423,0.0424,0.0413,0.0429,0.0438,0.0473,0.0442,0.0452,0.0452
70,23,0,3,EFH,0.0345,0.0343,0.0336,0.0317,0.0307,0.0299,0.0312,0.0307,0.0261,0.0261
71,24,0,3,EFH,0.0297,0.0293,0.0283,0.0271,0.0245,0.0218,0.0177,0.0148,0.0108,0.0108
72,1,0,4,EFH,0.0296,0.0292,0.0282,0.0263,0.0231,0.0196,0.0141,0.0096,0.0046,0.0046
73,2,0,4,EFH,0.0294,0.0290,0.0280,0.0267,0.0238,0.0209,0.0156,0.0105,0.0056,0.0056
74,3,0,4,EFH,0.0300,0.0296,0.0287,0.0274,0.0243,0.0217,0.0168,0.0112,0.0045,0.0045
75,4,0,4,EFH,0.0307,0.0303,0.0294,0.0289,0.0262,0.0249,0.0200,0.0163,0.0082,0.0082
76,5,0,4,EFH,0.0321,0.0318,0.0310,0.0332,0.0311,0.0325,0.0296,0.0287,0.0190,0.0190
77,6,0,4,EFH,0.0381,0.0380,0.0377,0.0429,0.0447,0.0481,0.0539,0.0658,0.0599,0.0599
78,7,0,4,EFH,0.0581,0.0573,0.0602,0.0553,0.0577,0.0618,0.0682,0.0814,0.0929,0.0929
79,8,0,4,EFH,0.0525,0.0530,0.0538,0.0510,0.0537,0.0579,0.0681,0.0760,0.0815,0.0815
80,9,0,4,EFH,0.0497,0.0500,0.0506,0.0496,0.0509,0.0527,0.0579,0.0610,0.0614,0.0614
81,10,0,4,EFH,0.0475,0.0478,0.0482,0.0481,0.0488,0.0486,0.0528,0.0601,0.0589,0.0589
82,11,0,4,EFH,0.0466,0.0468,0.0472,0.0467,0.0465,0.0452,0.0480,0.0516,0.0540,0.0540
83,12,0,4,EFH,0.0436,0.0438,0.0438,0.0445,0.0447,0.0429,0.0436,0.0484,0.0537,0.0537
84,13,0,4,EFH,0.0423,0.0423,0.0423,0.0438,0.0438,0.0424,0.0414,0.0442,0.0520,0.0520
85,14,0,4,EFH,0.0421,0.0422,0.0422,0.0435,0.0437,0.0421,0.0403,0.0398,0.0421,0.0421
86,15,0,4,EFH,0.0417,0.0417,0.0417,0.0447,0.0445,0.0432,0.0399,0.0380,0.0404,0.0404
87,16,0,4,EFH,0.0437,0.0438,0.0438,0.0455,0.0457,0.0450,0.0414,0.0360,0.0361,0.0361
88,17,0,4,EFH,0.0472,0.0475,0.0479,0.0481,0.0481,0.0477,0.0440,0.0401,0.0425,0.0425
89,18,0,4,EFH,0.0481,0.0485,0.0489,0.0489,0.0501,0.0509,0.0476,0.0429,0.0496,0.0496
90,19,0,4,EFH,0.0472,0.0475,0.0478,0.0491,0.0506,0.0522,0.0513,0.0454,0.0480,0.0480
91,20,0,4,EFH,0.0469,0.0471,0.0475,0.0485,0.0505,0.0527,0.0550,0.0512,0.0506,0.0506
92,21,0,4,EFH,0.0460,0.0463,0.0466,0.0466,0.0485,0.0505,0.0534,0.0518,0.0526,0.0526
93,22,0,4,EFH,0.0423,0.0424,0.0425,0.0415,0.0431,0.0442,0.0475,0.0442,0.0448,0.0448
94,23,0,4,EFH,0.0346,0.0344,0.0338,0.0320,0.0311,0.0304,0.0319,0.0311,0.0264,0.0264
95,24,0,4,EFH,0.0299,0.0295,0.0285,0.0274,0.0248,0.0219,0.0176,0.0145,0.0108,0.0108
96,1,0,5,EFH,0.0298,0.0294,0.0284,0.0265,0.0233,0.0197,0.0140,0.0095,0.0048,0.0048
97,2,0,5,EFH,0.0295,0.0291,0.0281,0.0269,0.0240,0.0210,0.0156,0.0106,0.0060,0.0060
98,3,0,5,EFH,0.0300,0.0296,0.0287,0.0275,0.0245,0.0218,0.0170,0.0113,0.0046,0.0046
99,4,0,5,EFH,0.0308,0.0304,0.0295,0.0290,0.0263,0.0250,0.0202,0.0165,0.0084,0.0084
100,5,0,5,EFH,0.0321,0.0318,0.0310,0.0330,0.0310,0.0322,0.0293,0.0282,0.0190,0.0190
101,6,0,5,EFH,0.0380,0.0380,0.0377,0.0425,0.0443,0.0478,0.0535,0.0652,0.0596,0.0596
102,7,0,5,EFH,0.0587,0.0575,0.0603,0.0555,0.0578,0.0616,0.0677,0.0800,0.0908,0.0908
103,8,0,5,EFH,0.0525,0.0530,0.0538,0.0510,0.0536,0.0579,0.0687,0.0767,0.0826,0.0826
104,9,0,5,EFH,0.0494,0.0498,0.0504,0.0493,0.0507,0.0528,0.0581,0.0612,0.0615,0.0615
105,10,0,5,EFH,0.0474,0.0477,0.0481,0.0479,0.0487,0.0487,0.0530,0.0601,0.0593,0.0593
106,11,0,5,EFH,0.0465,0.0468,0.0471,0.0467,0.0465,0.0453,0.0483,0.0523,0.0552,0.0552
107,12,0,5,EFH,0.0436,0.0437,0.0438,0.0444,0.0447,0.0429,0.0438,0.0485,0.0529,0.0529
108,13,0,5,EFH,0.0422,0.0423,0.0423,0.0438,0.0438,0.0424,0.0414,0.0443,0.0516,0.0516
109,14,0,5,EFH,0.0421,0.0421,0.0421,0.0433,0.0435,0.0420,0.0404,0.0401,0.0424,0.0424
110,15,0,5,EFH,0.0415,0.0416,0.0415,0.0445,0.0443,0.0430,0.0399,0.0383,0.0407,0.0407
111,16,0,5,EFH,0.0434,0.0435,0.0435,0.0452,0.0454,0.0447,0.0412,0.0362,0.0363,0.0363
112,17,0,5,EFH,0.0472,0.0476,0.0479,0.0480,0.0480,0.0476,0.0439,0.0403,0.0429,0.0429
113,18,0,5,EFH,0.0481,0.0485,0.0490,0.0489,0.0501,0.0508,0.0472,0.0431,0.0492,0.0492
114,19,0,5,EFH,0.0472,0.0475,0.0479,0.0491,0.0506,0.0521,0.0509,0.0450,0.0476,0.0476
115,20,0,5,EFH,0.0468,0.0471,0.0475,0.0485,0.0505,0.0527,0.0548,0.0509,0.0502,0.0502
116,21,0,5,EFH,0.0460,0.0463,0.0466,0.0468,0.0487,0.0507,0.0533,0.0516,0.0525,0.0525
117,22,0,5,EFH,0.0424,0.0425,0.0425,0.0416,0.0433,0.0446,0.0476,0.0441,0.0445,0.0445
118,23,0,5,EFH,0.0347,0.0345,0.0339,0.0324,0.0314,0.0309,0.0325,0.0314,0.0268,0.0268
119,24,0,5,EFH,0.0301,0.0297,0.0287,0.0277,0.0250,0.0220,0.0175,0.0143,0.0107,0.0107
120,1,0,6,EFH,0.0299,0.0296,0.0286,0.0267,0.0234,0.0197,0.0138,0.0094,0.0049,0.0049
121,2,0,6,EFH,0.0296,0.0292,0.0282,0.0271,0.0242,0.0212,0.0157,0.0108,0.0064,0.0064
122,3,0,6,EFH,0.0300,0.0296,0.0287,0.0276,0.0246,0.0220,0.0172,0.0113,0.0048,0.0048
123,4,0,6,EFH,0.0308,0.0305,0.0296,0.0291,0.0265,0.0251,0.0204,0.0167,0.0085,0.0085
124,5,0,6,EFH,0.0321,0.0318,0.0310,0.0328,0.0308,0.0319,0.0291,0.0278,0.0189,0.0189
125,6,0,6,EFH,0.0380,0.0379,0.0376,0.0422,0.0440,0.0474,0.0531,0.0646,0.0592,0.0592
126,7,0,6,EFH,0.0594,0.0576,0.0603,0.0558,0.0578,0.0615,0.0672,0.0786,0.0886,0.0886
127,8,0,6,EFH,0.0525,0.0531,0.0539,0.0510,0.0534,0.0580,0.0692,0.0775,0.0838,0.0838
128,9,0,6,EFH,0.0492,0.0496,0.0502,0.0491,0.0505,0.0528,0.0582,0.0614,0.0616,0.0616
129,10,0,6,EFH,0.0472,0.0476,0.0480,0.0478,0.0487,0.0487,0.0533,0.0602,0.0596,0.0596
130,11,0,6,EFH,0.0464,0.0467,0.0471,0.0467,0.0466,0.0454,0.0487,0.0531,0.0565,0.0565
131,12,0,6,EFH,0.0435,0.0437,0.0437,0.0443,0.0447,0.0428,0.0439,0.0487,0.0520,0.0520
132,13,0,6,EFH,0.0421,0.0422,0.0422,0.0437,0.0438,0.0424,0.0413,0.0443,0.0513,0.0513
133,14,0,6,EFH,0.0420,0.0421,0.0421,0.0432,0.0434,0.0418,0.0405,0.0404,0.0426,0.0426
134,15,0,6,EFH,0.0414,0.0414,0.0413,0.0443,0.0442,0.0427,0.0400,0.0386,0.0410,0.0410
135,16,0,6,EFH,0.0431,0.0433,0.0433,0.0450,0.0452,0.0444,0.0411,0.0364,0.0365,0.0365
136,17,0,6,EFH,0.0472,0.0476,0.0480,0.0479,0.0480,0.0474,0.0438,0.0406,0.0433,0.0433
137,18,0,6,EFH,0.0481,0.0485,0.0490,0.0488,0.0500,0.0507,0.0469,0.0434,0.0489,0.0489
138,19,0,6,EFH,0.0472,0.0475,0.0479,0.0491,0.0505,0.0520,0.0505,0.0446,0.0471,0.0471
139,20,0,6,EFH,0.0468,0.0471,0.0475,0.0485,0.0505,0.0527,0.0546,0.0506,0.0499,0.0499
140,21,0,6,EFH,0.0460,0.0463,0.0466,0.0469,0.0488,0.0509,0.0532,0.0514,0.0524,0.0524
141,22,0,6,EFH,0.0424,0.0425,0.0426,0.0418,0.0436,0.0449,0.0478,0.0441,0.0441,0.0441
142,23,0,6,EFH,0.0348,0.0347,0.0340,0.0327,0.0318,0.0314,0.0331,0.0317,0.0272,0.0272
143,24,0,6,EFH,0.0303,0.0299,0.0290,0.0280,0.0253,0.0221,0.0174,0.0140,0.0107,0.0107
144,1,0,7,EFH,0.0301,0.0298,0.0288,0.0269,0.0236,0.0198,0.0137,0.0093,0.0051,0.0051
145,2,0,7,EFH,0.0296,0.0293,0.0283,0.0272,0.0244,0.0213,0.0158,0.0109,0.0068,0.0068
146,3,0,7,EFH,0.0300,0.0297,0.0287,0.0277,0.0247,0.0221,0.0173,0.0114,0.0050,0.0050
147,4,0,7,EFH,0.0309,0.0305,0.0296,0.0291,0.0266,0.0252,0.0206,0.0168,0.0087,0.0087
148,5,0,7,EFH,0.0321,0.0318,0.0310,0.0326,0.0306,0.0316,0.0288,0.0273,0.0188,0.0188
149,6,0,7,EFH,0.0379,0.0379,0.0376,0.0418,0.0436,0.0471,0.0527,0.0639,0.0589,0.0589
150,7,0,7,EFH,0.0601,0.0577,0.0603,0.0560,0.0579,0.0613,0.0666,0.0772,0.0865,0.0865
151,8,0,7,EFH,0.0525,0.0531,0.0539,0.0510,0.0533,0.0580,0.0698,0.0782,0.0849,0.0849
152,9,0,7,EFH,0.0490,0.0494,0.0500,0.0489,0.0503,0.0528,0.0584,0.0616,0.0617,0.0617
153,10,0,7,EFH,0.0471,0.0475,0.0479,0.0476,0.0486,0.0488,0.0535,0.0602,0.0600,0.0600
154,11,0,7,EFH,0.0463,0.0467,0.0470,0.0466,0.0466,0.0455,0.0491,0.0538,0.0577,0.0577
155,12,0,7,EFH,0.0434,0.0436,0.0437,0.0442,0.0446,0.0427,0.0441,0.0488,0.0512,0.0512
156,13,0,7,EFH,0.0420,0.0421,0.0421,0.0436,0.0438,0.0424,0.0412,0.0443,0.0509,0.0509
157,14,0,7,EFH,0.0419,0.0420,0.0420,0.0430,0.0433,0.0417,0.0406,0.0406,0.0429,0.0429
158,15,0,7,EFH,0.0412,0.0413,0.0412,0.0442,0.0440,0.0425,0.0400,0.0389,0.0413,0.0413
159,16,0,7,EFH,0.0429,0.0430,0.0430,0.0447,0.0449,0.0441,0.0410,0.0366,0.0367,0.0367
160,17,0,7,EFH,0.0472,0.0477,0.0480,0.0478,0.0479,0.0473,0.0437,0.0408,0.0437,0.0437
161,18,0,7,EFH,0.0481,0.0486,0.0490,0.0488,0.0500,0.0506,0.0466,0.0436,0.0485,0.0485
162,19,0,7,EFH,0.0471,0.0475,0.0479,0.0491,0.0505,0.0519,0.0500,0.0442,0.0467,0.0467
163,20,0,7,EFH,0.0467,0.0471,0.0475,0.0486,0.0505,0.0527,0.0543,0.0503,0.0495,0.0495
164,21,0,7,EFH,0.0459,0.0463,0.0466,0.0470,0.0489,0.0511,0.0531,0.0512,0.0523,0.0523
165,22,0,7,EFH,0.0424,0.0426,0.0426,0.0420,0.0438,0.0453,0.0480,0.0441,0.0437,0.0437
166,23,0,7,EFH,0.0349,0.0348,0.0342,0.0331,0.0321,0.0320,0.0338,0.0320,0.0276,0.0276
167,24,0,7,EFH,0.0305,0.0301,0.0292,0.0283,0.0255,0.0222,0.0173,0.0137,0.0107,0.0107
168,1,0,8,EFH,0.0303,0.0299,0.0290,0.0271,0.0237,0.0198,0.0135,0.0092,0.0053,0.0053
169,2,0,8,EFH,0.0297,0.0293,0.0283,0.0274,0.0245,0.0215,0.0159,0.0110,0.0072,0.0072
170,3,0,8,EFH,0.0300,0.0297,0.0287,0.0278,0.0248,0.0222,0.0175,0.0114,0.0052,0.0052
171,4,0,8,EFH,0.0309,0.0306,0.0297,0.0292,0.0267,0.0253,0.0207,0.0170,0.0089,0.0089
172,5,0,8,EFH,0.0321,0.0318,0.0310,0.0324,0.0304,0.0314,0.0285,0.0269,0.0187,0.0187
173,6,0,8,EFH,0.0379,0.0379,0.0376,0.0415,0.0433,0.0467,0.0522,0.0633,0.0586,0.0586
174,7,0,8,EFH,0.0608,0.0578,0.0603,0.0563,0.0579,0.0611,0.0661,0.0758,0.0844,0.0844
175,8,0,8,EFH,0.0525,0.0531,0.0540,0.0510,0.0532,0.0581,0.0704,0.0789,0.0861,0.0861
176,9,0,8,EFH,0.0487,0.0492,0.0498,0.0486,0.0501,0.0529,0.0586,0.0618,0.0618,0.0618
177,10,0,8,EFH,0.0469,0.0473,0.0477,0.0474,0.0485,0.0488,0.0537,0.0603,0.0604,0.0604
178,11,0,8,EFH,0.0462,0.0466,0.0470,0.0466,0.0466,0.0456,0.0495,0.0545,0.0590,0.0590
179,12,0,8,EFH,0.0433,0.0436,0.0437,0.0442,0.0446,0.0426,0.0442,0.0490,0.0504,0.0504
180,13,0,8,EFH,0.0419,0.0420,0.0420,0.0435,0.0438,0.0424,0.0411,0.0443,0.0506,0.0506
181,14,0,8,EFH,0.0418,0.0419,0.0419,0.0428,0.0431,0.0416,0.0407,0.0409,0.0431,0.0431
182,15,0,8,EFH,0.0410,0.0411,0.0410,0.0440,0.0439,0.0423,0.0400,0.0392,0.0416,0.0416
183,16,0,8,EFH,0.0426,0.0428,0.0428,0.0445,0.0447,0.0438,0.0409,0.0368,0.0369,0.0369
184,17,0,8,EFH,0.0472,0.0477,0.0481,0.0477,0.0479,0.0471,0.0435,0.0411,0.0441,0.0441
185,18,0,8,EFH,0.0481,0.0486,0.0491,0.0488,0.0500,0.0505,0.0463,0.0439,0.0481,0.0481
186,19,0,8,EFH,0.0471,0.0475,0.0479,0.0491,0.0505,0.0518,0.0496,0.0438,0.0463,0.0463
187,20,0,8,EFH,0.0467,0.0471,0.0475,0.0486,0.0505,0.0527,0.0541,0.0501,0.0491,0.0491
188,21,0,8,EFH,0.0459,0.0463,0.0466,0.0472,0.0491,0.0513,0.0530,0.0509,0.0522,0.0522
189,22,0,8,EFH,0.0424,0.0426,0.0427,0.0422,0.0440,0.0457,0.0482,0.0440,0.0433,0.0433
190,23,0,8,EFH,0.0350,0.0349,0.0343,0.0334,0.0324,0.0325,0.0344,0.0324,0.0279,0.0279
191,24,0,8,EFH,0.0306,0.0303,0.0294,0.0287,0.0258,0.0223,0.0172,0.0135,0.0107,0.0107
192,1,0,9,EFH,0.0304,0.0301,0.0292,0.0273,0.0239,0.0199,0.0134,0.0091,0.0055,0.0055
193,2,0,9,EFH,0.0298,0.0294,0.0284,0.0276,0.0247,0.0217,0.0160,0.0111,0.0077,0.0077
194,3,0,9,EFH,0.0301,0.0297,0.0287,0.0279,0.0249,0.0223,0.0177,0.0115,0.0054,0.0054
195,4,0,9,EFH,0.0310,0.0307,0.0298,0.0293,0.0268,0.0254,0.0209,0.0172,0.0091,0.0091
196,5,0,9,EFH,0.0321,0.0319,0.0311,0.0322,0.0302,0.0311,0.0282,0.0265,0.0187,0.0187
197,6,0,9,EFH,0.0378,0.0378,0.0375,0.0412,0.0430,0.0464,0.0518,0.0626,0.0582,0.0582
198,7,0,9,EFH,0.0615,0.0579,0.0604,0.0565,0.0580,0.0610,0.0656,0.0744,0.0823,0.0823
199,8,0,9,EFH,0.0524,0.0532,0.0540,0.0511,0.0531,0.0582,0.0709,0.0796,0.0873,0.0873
200,9,0,9,EFH,0.0485,0.0490,0.0496,0.0484,0.0499,0.0529,0.0587,0.0620,0.0619,0.0619
201,10,0,9,EFH,0.0468,0.0472,0.0476,0.0473,0.0485,0.0489,0.0539,0.0603,0.0608,0.0608
202,11,0,9,EFH,0.0462,0.0466,0.0469,0.0466,0.0467,0.0457,0.0499,0.0552,0.0603,0.0603
203,12,0,9,EFH,0.0433,0.0435,0.0436,0.0441,0.0446,0.0425,0.0444,0.0492,0.0495,0.0495
204,13,0,9,EFH,0.0418,0.0420,0.0420,0.0434,0.0438,0.0423,0.0411,0.0444,0.0503,0.0503
205,14,0,9,EFH,0.0417,0.0419,0.0419,0.0427,0.0430,0.0414,0.0408,0.0412,0.0434,0.0434
206,15,0,9,EFH,0.0408,0.0409,0.0408,0.0438,0.0437,0.0421,0.0401,0.0395,0.0419,0.0419
207,16,0,9,EFH,0.0423,0.0425,0.0425,0.0443,0.0445,0.0435,0.0408,0.0370,0.0371,0.0371
208,17,0,9,EFH,0.0473,0.0478,0.0482,0.0476,0.0478,0.0469,0.0434,0.0413,0.0445,0.0445
209,18,0,9,EFH,0.0481,0.0486,0.0491,0.0487,0.0499,0.0504,0.0460,0.0441,0.0477,0.0477
210,19,0,9,EFH,0.0471,0.0476,0.0480,0.0491,0.0504,0.0517,0.0492,0.0434,0.0458,0.0458
211,20,0,9,EFH,0.0466,0.0470,0.0474,0.0486,0.0504,0.0528,0.0539,0.0498,0.0488,0.0488
212,21,0,9,EFH,0.0459,0.0463,0.0466,0.0473,0.0492,0.0515,0.0529,0.0507,0.0521,0.0521
213,22,0,9,EFH,0.0425,0.0427,0.0428,0.0424,0.0442,0.0461,0.0484,0.0440,0.0429,0.0429
214,23,0,9,EFH,0.0351,0.0351,0.0345,0.0338,0.0328,0.0330,0.0351,0.0327,0.0283,0.0283
215,24,0,9,EFH,0.0308,0.0305,0.0296,0.0290,0.0260,0.0224,0.0171,0.0132,0.0106,0.0106
216,1,0,10,EFH,0.0306,0.0303,0.0294,0.0275,0.0240,0.0199,0.0132,0.0090,0.0057,0.0057
217,2,0,10,EFH,0.0299,0.0295,0.0285,0.0277,0.0249,0.0218,0.0161,0.0112,0.0081,0.0081
218,3,0,10,EFH,0.0301,0.0297,0.0287,0.0280,0.0251,0.0224,0.0178,0.0115,0.0056,0.0056
219,4,0,10,EFH,0.0310,0.0308,0.0299,0.0294,0.0269,0.0255,0.0211,0.0173,0.0093,0.0093
220,5,0,10,EFH,0.0321,0.0319,0.0311,0.0320,0.0300,0.0308,0.0279,0.0260,0.0186,0.0186
221,6,0,10,EFH,0.0378,0.0378,0.0375,0.0408,0.0426,0.0460,0.0514,0.0620,0.0579,0.0579
222,7,0,10,EFH,0.0622,0.0581,0.0604,0.0568,0.0580,0.0608,0.0651,0.0731,0.0802,0.0802
223,8,0,10,EFH,0.0524,0.0532,0.0541,0.0511,0.0530,0.0582,0.0715,0.0803,0.0884,0.0884
