class,demand_el,pv,wind,demand_th,price_el
,0.6189521402,0,0.177208,0.1693646938,-29.81
,0.5937581728,0,0.144706,0.1625716563,-23.24
,0.5732717287,0,0.115715,0.1154860344,-21.34
,0.5636823294,0,0.090186,0.1179217554,-19.46
,0.5601080987,0,0.067839,0.1233299357,-17.63
,0.5940197019,0,0.052954,0.1367882996,-18.37
,0.6894778136,0,0.043536,0.1709466284,-18.57
,0.8239037573,0,0.040793,0.2352365983,-21.03
,0.885973324,0.000181,0.046858,0.2783402294,-27.31
,0.9001830704,0.133707,0.04908,0.2606149545,-33.49
,0.9062854154,0.283138,0.040174,0.2406699522,-37.13
,0.9044547119,0.38973,0.039655,0.2240842557,-39.91
,0.8932961381,0.451912,0.050276,0.2066969757,-38.17
,0.8687124052,0.454958,0.058269,0.1967113342,-39.09
,0.86548688,0.400618,0.064285,0.1914405016,-34.23
,0.858425595,0.280132,0.068195,0.1915528283,-32.32
,0.8676662889,0.121471,0.081395,0.1939460024,-31.68
,0.9163978729,0.002621,0.102664,0.1998316246,-30.89
,0.9351407898,0,0.119268,0.2102585046,-29.38
,0.908377648,0,0.12638,0.2245092746,-30.45
,0.8540667771,0,0.134802,0.2336330134,-31.75
,0.7921715631,0,0.153363,0.2230021434,-32.97
,0.7352454014,0,0.180171,0.2064410265,-32.58
,0.724174004,0,0.20231,0.1716966041,-29.98
,0.6709964258,0,0.217177,0.1184548408,-29.31
,0.6384796443,0,0.229949,0.1133077078,-26.14
,0.610147328,0,0.248285,0.1237197599,-24.82
,0.5975067562,0,0.268965,0.1263291388,-22.76
,0.588440415,0,0.285289,0.1321229022,-21.88
,0.6151163804,0,0.283177,0.1465407975,-21.64
,0.7017696801,0,0.281505,0.1831344883,-22.04
,0.8168424723,0,0.289954,0.2520080944,-23
,0.8958242525,0,0.305255,0.2981848543,-27.4
,0.9116031732,0.01223,0.318006,0.2791958332,-35.29
,0.9208438671,0.040922,0.328745,0.2578288263,-38.39
,0.9282538576,0.065173,0.356483,0.2400606312,-38.44
,0.9267718595,0.083875,0.376421,0.2214337026,-37.25
,0.9111672914,0.097074,0.373547,0.210736122,-35.83
,0.9098596461,0.078982,0.368249,0.2050894987,-32
,0.9089007061,0.045503,0.379018,0.2052098338,-29.37
,0.9099468224,0.013303,0.406652,0.2077736323,-27.55
,0.9324383227,0.000042,0.433562,0.2140788775,-27.38
,0.9358382007,0,0.451022,0.2252491553,-28.64
,0.9100339988,0,0.457097,0.2405159524,-32.51
,0.8480516084,0,0.449532,0.2502901799,-35.08
,0.7861563944,0,0.423521,0.2389013683,-37.5
,0.7307122308,0,0.3818,0.2211595052,-36
,0.7177229535,0,0.307331,0.1839379346,-32.01
,0.6700374858,0,0.235753,0.1269002312,-30.1
,0.6425769331,0,0.182599,0.1213861267,-26.59
,0.6274954232,0,0.155854,0.1395121852,-26.19
,0.6114549734,0,0.16407,0.1424546429,-25.34
,0.619649551,0,0.202735,0.1489879614,-24.32
,0.6545200942,0,0.259606,0.1652462541,-23.73
,0.737076105,0,0.311071,0.2065110107,-23.52
,0.8518873681,0,0.347296,0.2841761088,-25.31
,0.8884142621,0.000014,0.373641,0.3362471821,-28.37
,0.8919013164,0.053023,0.378504,0.3148342741,-35.91
,0.8961729579,0.156395,0.357629,0.2907398382,-38.79
,0.8946037835,0.282117,0.332356,0.2707035908,-36.2
,0.8854502659,0.388252,0.346323,0.2496989953,-35.91
,0.8718507541,0.429552,0.340466,0.2376359032,-35.51
,0.8662714672,0.384005,0.295895,0.2312685068,-30.21
,0.8631331183,0.278894,0.221545,0.2314042023,-28.29
,0.8617382966,0.132209,0.155187,0.2342952614,-27.99
,0.9097724697,0.01086,0.131463,0.2414053506,-27.73
,0.9299102084,0,0.108318,0.2540014781,-29.12
,0.8953011943,0,0.088749,0.2712170322,-31
,0.8503181937,0,0.07864,0.282238908,-34.53
,0.7954842647,0,0.074779,0.2693963518,-36.91
,0.775346526,0,0.06999,0.2493897975,-35.49
,0.7273123529,0,0.059307,0.2074170142,-33.25
,0.6667247842,0,0.047168,0.1430986333,-33.02
,0.6456281057,0,0.038553,0.1368806714,-27.33
,0.6250544852,0,0.044531,0.1395121852,-26.46
,0.6115421498,0,0.075679,0.1424546429,-25.64
,0.6026501613,0,0.120857,0.1489879614,-24.6
,0.6248801325,0,0.158145,0.1652462541,-23.61
,0.7117949612,0,0.19539,0.2065110107,-23.99
,0.8367186819,0,0.235833,0.2841761088,-24.95
,0.8969575451,0.000014,0.263292,0.3362471821,-29.84
,0.910818586,0.039964,0.259034,0.3148342741,-37.82
,0.9167465783,0.117425,0.239276,0.2907398382,-39.74
,0.9214541016,0.184112,0.264416,0.2707035908,-35.43
,0.9106442333,0.254595,0.325428,0.2496989953,-34.88
,0.8831836806,0.303042,0.366722,0.2376359032,-33.76
,0.8789992154,0.28451,0.384988,0.2312685068,-29.71
,0.8755121611,0.205519,0.391305,0.2314042023,-26.98
,0.8813529771,0.083304,0.424311,0.2342952614,-27.44
,0.9177055183,0.00171,0.477783,0.2414053506,-28.47
,0.9349664371,0,0.517712,0.2540014781,-31.75
,0.9138697585,0,0.54702,0.2712170322,-33.03
,0.854764188,0,0.565138,0.282238908,-34.71
,0.7909510941,0,0.568989,0.2693963518,-35.2
,0.7335890506,0,0.564358,0.2493897975,-35.28
,0.7239996513,0,0.560232,0.2074170142,-33.02
,0.665940197,0,0.557617,0.1430986333,-31.05
,0.6347310609,0,0.554114,0.1368806714,-26.62
,0.6112806207,0,0.54538,0.131751677,-25.9
,0.5958504054,0,0.524717,0.1345304574,-23.73
,0.5853020661,0,0.486565,0.1407003534,-22.16
,0.6143317932,0,0.447434,0.1560542619,-21.37
,0.6906982826,0,0.398874,0.1950236241,-21.72
,0.8098683637,0,0.338124,0.2683685216,-22.45
,0.8803068608,0,0.284569,0.3175430881,-27.85
,0.9014907157,0.016069,0.233272,0.2973212951,-35.3
,0.902536832,0.062342,0.182004,0.2745671369,-39.7
,0.9072443553,0.111878,0.15647,0.2556454262,-37.5
,0.8845785023,0.140636,0.15392,0.2358092329,-34.94
,0.8576410078,0.143177,0.152674,0.2244171627,-33.25
,0.8486618429,0.115331,0.157628,0.2184039591,-28.81
,0.8378519745,0.063361,0.170851,0.2185321065,-24.97
,0.8424723215,0.021364,0.189069,0.2212623474,-23.92
,0.8799581553,0.00163,0.185089,0.2279769307,-23.01
,0.8982651905,0,0.171445,0.2398723857,-23.06
,0.866968878,0,0.158526,0.2561303069,-26.55
,0.8076017784,0,0.143558,0.2665390796,-30.72
,0.7505012641,0,0.124329,0.2544109037,-32.15
,0.7050823817,0,0.107653,0.2355172345,-30.59
,0.7067387325,0,0.106846,0.1958792303,-28.16
,0.6480690437,0,0.110576,0.1351386253,-29.08
,0.612326737,0,0.107705,0.1292665438,-26.07
,0.5851277134,0,0.097671,0.1237197599,-23.06
,0.5621131549,0,0.086891,0.1263291388,-22.45
,0.5526109319,0,0.080804,0.1321229022,-21.02
,0.5591491587,0,0.078267,0.1465407975,-20.09
,0.5867840642,0,0.081574,0.1831344883,-20.06
,0.6322029466,0,0.089824,0.2520080944,-18.75
,0.6946212187,0.000009,0.101252,0.2981848543,-20.73
,0.7429169209,0.036848,0.107635,0.2791958332,-22.75
,0.7673263011,0.098889,0.101215,0.2578288263,-24.47
,0.7872025107,0.145789,0.124327,0.2400606312,-23
,0.7888588615,0.157996,0.172984,0.2214337026,-21.64
,0.7578240781,0.166579,0.219501,0.210736122,-21.08
,0.7434399791,0.151835,0.254632,0.2050894987,-16.04
,0.7317583471,0.097496,0.274278,0.2052098338,-12.85
,0.7379478685,0.033604,0.305168,0.2077736323,-15.93
,0.7770028768,0.000795,0.324248,0.2140788775,-18.67
,0.7890332142,0,0.343049,0.2252491553,-21.49
,0.7620957196,0,0.37582,0.2405159524,-23.38
,0.7227791823,0,0.422281,0.2502901799,-26.53
,0.6750065382,0,0.467647,0.2389013683,-27.28
,0.6288030686,0,0.504784,0.2211595052,-26.83
,0.6335977683,0,0.521022,0.1839379346,-26.97
,0.5895737076,0,0.514289,0.1269002312,-28
,0.5593235115,0,0.491482,0.1213861267,-24.48
,0.5291604917,0,0.464125,0.0805337788,-20.64
,0.5113765147,0,0.438961,0.0831244629,-15.16
,0.5049254642,0,0.408685,0.0879323558,-13.04
,0.5044024061,0,0.408188,0.1022871201,-10.88
,0.520704385,0,0.41741,0.139037883,-15.04
,0.5431958853,0,0.428976,0.1858856502,-13.1
,0.5893993549,0.000033,0.451471,0.2054020934,-10.16
,0.6320285938,0.042487,0.469281,0.192821022,-10.13
,0.671781013,0.121082,0.472783,0.1729566842,-14.29
,0.6957545114,0.187162,0.462353,0.1573130772,-16.98
,0.6971493331,0.222034,0.458498,0.1439871948,-17.55
,0.6608839683,0.213868,0.461748,0.134547108,-19.08
,0.6470229274,0.16418,0.466127,0.129526672,-17.12
,0.6319414175,0.099266,0.483136,0.1281142426,-11.63
,0.6344695319,0.034037,0.520702,0.1298577221,-9.04
,0.6798012379,0.001168,0.53869,0.135315582,-8.9
,0.7215587133,0,0.531386,0.1469737268,-11.79
,0.719292128,0,0.5153,0.1596110157,-19.04
,0.693226397,0,0.498389,0.1674130372,-22.97
,0.6542585651,0,0.484634,0.1603220202,-26.95
,0.6275825996,0,0.473175,0.1453005856,-27.8
,0.6305465958,0,0.45892,0.1166160704,-29.88
,0.5861738297,0,0.430187,0.0836611198,-29.26
,0.5578415134,0,0.391531,0.0788687163,-27.14
,0.5356987185,0,0.34884,0.0728340042,-24.92
,0.5261093192,0,0.302959,0.075176995,-21.6
,0.5251503792,0,0.253844,0.0795252088,-20.4
,0.5555749281,0,0.211609,0.0925075248,-17.45
,0.6514689216,0,0.18691,0.1257445746,-17.05
,0.7733414698,0,0.177364,0.1681132618,-19.99
,0.8603434748,0.000004,0.177328,0.1857637523,-28.97
,0.8796094499,0.035424,0.177698,0.1743855478,-34.42
,0.8912910819,0.111549,0.172446,0.1564204245,-34.94
,0.9033214192,0.178523,0.173558,0.1422724912,-29.44
,0.8948653125,0.203019,0.175709,0.1302206864,-26.84
,0.8789992154,0.191485,0.168072,0.1216831593,-26.95
,0.8769069828,0.150336,0.153327,0.1171427234,-25.51
,0.8673175835,0.096832,0.136074,0.1158653354,-25.24
,0.8681021707,0.038741,0.13072,0.1174421221,-25.44
,0.8903321419,0.001489,0.116217,0.1223781601,-25.49
,0.9082032953,0,0.092295,0.1329216783,-25.19
,0.8856246186,0,0.072423,0.1443507254,-27.74
,0.8243396391,0,0.055331,0.1514068015,-32.97
,0.7653212449,0,0.045788,0.1449937513,-34.96
,0.7070002615,0,0.040189,0.1314085049,-33.57
,0.6877342865,0,0.040028,0.1054664948,-31.76
,0.637171999,0,0.040944,0.0756623425,-30.74
,0.6133728533,0,0.043881,0.0713281371,-25.38
,0.5870455932,0,0.049066,0.0728340042,-24.23
,0.5723127888,0,0.057067,0.075176995,-23.37
,0.5666463255,0,0.067589,0.0795252088,-22.34
,0.5920146456,0,0.085747,0.0925075248,-21.23
,0.6866881702,0,0.106317,0.1257445746,-21.89
,0.8034173132,0,0.123442,0.1681132618,-23.93
,0.8797838026,0.000029,0.143069,0.1857637523,-29.54
,0.8985267196,0.020659,0.16361,0.1743855478,-38.73
,0.9096852933,0.068898,0.184593,0.1564204245,-40.78
,0.9118647023,0.122227,0.21411,0.1422724912,-42.59
,0.9020137739,0.154344,0.265725,0.1302206864,-41.79
,0.8789120391,0.157637,0.334701,0.1216831593,-43.73
,0.8741173394,0.138478,0.392534,0.1171427234,-39.59
,0.8718507541,0.097012,0.422152,0.1158653354,-37.64
,0.8722866359,0.038449,0.424683,0.1174421221,-35.84
