timestep,demand_el,pv,wind
175,265604.5400143,0,0.99941
176,295710.5109345,0,0.99966
177,306058.1403692,0,0.9998
178,308236.5886713,0.01781,0.99986
179,311079.6483197,0.050901,0.99987
180,313968.8615339,0.060377,0.99984
181,314162.7065099,0.050395,0.99976
182,308250.434741,0.040749,0.99963
183,303436.6178362,0.024728,0.99951
184,300302.7907238,0.0073169,0.99937
185,303062.7739539,0,0.99911
186,318958.0619884,0,0.99851
187,321094.9720813,0,0.99745
188,313041.1748629,0,0.99587
189,296398.1990637,0,0.99444
190,286082.877125,0,0.99361
191,283433.6624525,0,0.99172
192,270256.819439,0,0.98884
193,260107.6503369,0,0.98624
194,250876.9371926,0,0.98548
195,244406.2072784,0,0.98655
196,239283.1614833,0,0.98977
197,237243.1738784,0,0.99201
198,235244.7244827,0,0.99339
199,232637.0480194,0,0.99312
200,242656.9871376,0,0.9922
201,256646.1329078,0,0.98897
202,270976.8150643,0.069159,0.98065
203,280678.294579,0.1797,0.97199
204,287061.3327182,0.21466,0.96335
205,288930.55213,0.18781,0.95627
206,284172.1195041,0.1522,0.9492
207,276358.3208274,0.094903,0.94247
208,274096.7961071,0.033534,0.92632
209,277978.3109842,0,0.91662
210,291856.6881967,0,0.92451
211,296762.8122329,0,0.94718
212,289281.3192295,0,0.96859
213,273852.1822087,0,0.98113
214,266292.2281436,0,0.98932
215,267418.3751472,0,0.99379
216,258759.9662178,0,0.99579
217,246049.2742181,0,0.99628
218,235383.1851798,0,0.99629
219,228875.5324131,0,0.99633
220,222030.9586166,0,0.99583
221,217558.6780982,0,0.99524
222,211129.4863932,0,0.99513
223,200574.1659127,0,0.99542
224,203860.299792,0,0.99524
225,215638.6897642,0,0.99536
226,229595.5280384,0.072382,0.99505
227,238826.2411827,0.18447,0.99442
228,251066.166812,0.22796,0.99288
229,251735.393515,0.2106,0.99092
230,242818.5246176,0.1762,0.98967
231,236573.9471755,0.11512,0.9885
232,234847.8038175,0.044413,0.98409
233,239763.1585668,0,0.97846
234,261321.4891153,0,0.9732
235,272873.7266154,0,0.96894
236,271350.6589466,0,0.95932
237,261012.260225,0,0.95192
238,254583.06852,0,0.93421
239,258949.1958373,0,0.90943
240,248361.5678607,0,0.86199
241,237829.3241631,0,0.79485
242,228506.3038873,0,0.68538
243,224315.5601198,0,0.59208
244,222017.1125469,0,0.50701
245,224380.1751118,0,0.43518
246,234764.7273992,0,0.36519
247,263486.0913477,0,0.34052
248,292812.0670072,0,0.38449
249,305042.7619234,0,0.50811
250,308878.1232348,0.074326,0.64962
251,312902.7141657,0.17006,0.76382
252,317988.8371083,0.18191,0.87351
253,318602.6795323,0.13116,0.89541
254,316262.6937503,0.12365,0.91036
255,311587.3375427,0.092392,0.92456
256,308730.4318245,0.042049,0.93285
257,308531.9714919,0,0.94852
258,320642.6671372,0,0.96455
259,325461.0993986,0,0.98073
260,321842.659846,0,0.98954
261,308573.5097011,0,0.99261
262,296605.8901095,0,0.99400
263,290615.1572788,0,0.99409
264,272550.6516554,0,0.99296
265,257873.8177559,0,0.98899
266,248186.184311,0,0.97863
267,242481.6035878,0,0.9611
268,239790.8507062,0,0.93708
269,241392.3794368,0,0.9057
270,250480.0165274,0,0.8716
271,280784.4477801,0,0.84736
272,312016.5657039,0,0.85063
273,321759.5834277,0,0.87132
274,321787.2755671,0.076031,0.89753
275,323236.4975308,0.19581,0.92378
276,324118.0306361,0.25131,0.94872
277,325207.2547871,0.24616,0.95400
278,322848.8075787,0.20346,0.95478
279,318833.447361,0.13178,0.95506
280,316918.0743835,0.051561,0.95434
281,318118.0670923,0,0.95222
282,332462.5953185,0,0.94683
283,337521.0261216,0,0.93765
284,333039.51489,0,0.9268
285,318118.0670923,0,0.92163
286,306118.1400047,0,0.9228
287,297215.117177,0,0.93281
288,279658.3007765,0,0.94648
289,266347.6124224,0,0.9555
290,257592.281005,0,0.96096
291,250849.2450531,0,0.96759
292,246833.8848354,0,0.97131
293,249510.7916472,0,0.97032
294,258616.8901641,0,0.96457
295,286955.1795171,0,0.95566
296,318348.8349209,0,0.94793
297,328581.0804413,0,0.94044
298,328179.5444196,0.078986,0.92875
299,330750.2980303,0.17921,0.92272
300,332693.3631471,0.1955,0.91626
301,331045.6808509,0.14795,0.89946
302,330224.147381,0.13245,0.8804
303,326628.7846113,0.094354,0.84715
304,324856.4876876,0.04193,0.84519
305,324708.7962773,0,0.83288
306,337534.8721913,0,0.81552
307,341499.4634868,0,0.78685
308,335721.0370585,0,0.74896
309,318127.2978054,0,0.71534
310,304170.4595312,0,0.67863
311,296481.275482,0,0.6399
312,279436.7636611,0,0.58711
313,259318.424363,0,0.5171
314,249496.9455775,0,0.44995
315,242283.1432552,0,0.39156
316,239707.774288,0,0.34776
317,240473.9234789,0,0.30079
318,250064.6344359,0,0.23124
319,276575.2425863,0,0.18207
320,306358.1385464,0,0.14744
321,315971.9262862,0,0.11773
322,316581.1533537,0.081722,0.086684
323,319114.9841119,0.19784,0.056593
324,322318.0415729,0.24148,0.066865
325,322142.6580232,0.22345,0.079421
326,319701.1343965,0.18917,0.059228
327,314905.7789181,0.12726,0.042115
328,311633.4911084,0.053661,0.032621
329,310336.5759116,0,0.024503
330,323504.188212,0,0.022502
331,327750.3162584,0,0.026714
332,322054.9662483,0,0.036999
333,306108.9092915,0,0.055015
334,291819.7653441,0,0.065307
335,284329.0416275,0,0.065417
336,266652.2259562,0,0.055026
337,252330.7745128,0,0.036812
338,242786.2171216,0,0.031955
339,237446.2495676,0,0.031005
340,235083.1870027,0,0.029617
341,237400.0960019,0,0.03406
342,246903.1151839,0,0.040213
343,272186.0384862,0,0.050632
344,302919.6979002,0,0.063647
345,313770.4012013,0,0.073919
346,315145.7774598,0.084359,0.072285
347,319096.5226856,0.20794,0.079528
348,322156.5040929,0.26362,0.10883
349,320033.4400697,0.25794,0.17342
350,315441.1602804,0.21806,0.22862
351,308356.5879422,0.14692,0.24602
352,304848.9169473,0.063073,0.27271
353,303962.7684855,0.00027026,0.29775
354,315459.6217067,0,0.31014
355,318639.6023849,0,0.30274
356,311421.1847061,0,0.28642
357,294741.2860543,0,0.28736
358,281707.5190945,0,0.28863
359,277558.3135362,0,0.28624
