class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### TODOS,,,,,,,,,,,,,,,,,
Replace load (nominal value) with maximum of ENTSO-E load for all countries,,,,,,,,,,,,,,,,,
If time: replace solar and wind feedin for 2014 with real values from OPSD dataset,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,
LinearTransformer,BE_FR_powerline,BE_FR_powerline,FR_bus_el,0.97,2300,,,,,,,,,,,,
LinearTransformer,BE_FR_powerline,BE_bus_el,BE_FR_powerline,,,,,,,,,,,,,,
LinearTransformer,NL_BE_powerline,NL_BE_powerline,BE_bus_el,0.97,2400,,,,,,,,,,,,
LinearTransformer,NL_BE_powerline,NL_bus_el,NL_BE_powerline,,,,,,,,,,,,,,
LinearTransformer,NL_DE_powerline,NL_DE_powerline,DE_bus_el,0.97,3000,,,,,,,,,,,,
LinearTransformer,NL_DE_powerline,NL_bus_el,NL_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,NO_NL_powerline,NO_NL_powerline,NL_bus_el,0.97,700,,,,,,,,,,,,
LinearTransformer,NO_NL_powerline,NO_bus_el,NO_NL_powerline,,,,,,,,,,,,,,
LinearTransformer,DK_DE_powerline,DK_DE_powerline,DE_bus_el,0.97,2050,,,,,,,,,,,,
LinearTransformer,DK_DE_powerline,DK_bus_el,DK_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,NO_DK_powerline,NO_DK_powerline,DK_bus_el,0.97,950,,,,,,,,,,,,
LinearTransformer,NO_DK_powerline,NO_bus_el,NO_DK_powerline,,,,,,,,,,,,,,
LinearTransformer,SE_DK_powerline,SE_DK_powerline,DK_bus_el,0.97,1980,,,,,,,,,,,,
LinearTransformer,SE_DK_powerline,SE_bus_el,SE_DK_powerline,,,,,,,,,,,,,,
LinearTransformer,SE_DE_powerline,SE_DE_powerline,DE_bus_el,0.97,600,,,,,,,,,,,,
LinearTransformer,SE_DE_powerline,SE_bus_el,SE_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,SE_NO_powerline,SE_NO_powerline,NO_bus_el,0.97,3050,,,,,,,,,,,,
LinearTransformer,SE_NO_powerline,SE_bus_el,SE_NO_powerline,,,,,,,,,,,,,,
LinearTransformer,PL_SE_powerline,PL_SE_powerline,SE_bus_el,0.97,600,,,,,,,,,,,,
LinearTransformer,PL_SE_powerline,PL_bus_el,PL_SE_powerline,,,,,,,,,,,,,,
LinearTransformer,PL_DE_powerline,PL_DE_powerline,DE_bus_el,0.97,1100,,,,,,,,,,,,
LinearTransformer,PL_DE_powerline,PL_bus_el,PL_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,CZ_DE_powerline,CZ_DE_powerline,DE_bus_el,0.97,2300,,,,,,,,,,,,
LinearTransformer,CZ_DE_powerline,CZ_bus_el,CZ_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,PL_CZ_powerline,PL_CZ_powerline,CZ_bus_el,0.97,2000,,,,,,,,,,,,
LinearTransformer,PL_CZ_powerline,PL_bus_el,PL_CZ_powerline,,,,,,,,,,,,,,
LinearTransformer,AT_DE_powerline,AT_DE_powerline,DE_bus_el,0.97,2000,,,,,,,,,,,,
LinearTransformer,AT_DE_powerline,AT_bus_el,AT_DE_powerline,,,,,,,,,,,,,,
LinearTransformer,AT_CZ_powerline,AT_CZ_powerline,CZ_bus_el,0.97,1200,,,,,,,,,,,,
LinearTransformer,AT_CZ_powerline,AT_bus_el,AT_CZ_powerline,,,,,,,,,,,,,,
LinearTransformer,AT_CH_powerline,AT_CH_powerline,CH_bus_el,0.97,1200,,,,,,,,,,,,
LinearTransformer,AT_CH_powerline,AT_bus_el,AT_CH_powerline,,,,,,,,,,,,,,
LinearTransformer,DE_CH_powerline,DE_CH_powerline,CH_bus_el,0.97,1500,,,,,,,,,,,,
LinearTransformer,DE_CH_powerline,DE_bus_el,DE_CH_powerline,,,,,,,,,,,,,,
LinearTransformer,LU_BE_powerline,LU_BE_powerline,BE_bus_el,0.97,300,,,,,,,,,,,,
LinearTransformer,LU_BE_powerline,LU_bus_el,LU_BE_powerline,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### AUSTRIA,,,,,,,,,,,,,,,,,
Sink,AT_excess,AT_bus_el,AT_excess,,,,,1000,,,,,,,,,
Source,AT_shortage,AT_shortage,AT_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,AT_pp_uranium,GL_bus_uranium,AT_pp_uranium,,,,,,,,,,,,,,
LinearTransformer,AT_pp_uranium,AT_pp_uranium,AT_bus_el,0.36,0.00000001,,,0.5,,,,,,,,,
LinearTransformer,AT_pp_lignite,GL_bus_lignite,AT_pp_lignite,,,,,,,,,,,,,,
LinearTransformer,AT_pp_lignite,AT_pp_lignite,AT_bus_el,0.36,0.00000001,,,4.4,,,,,,,,,
LinearTransformer,AT_pp_hard_coal,GL_bus_hard_coal,AT_pp_hard_coal,,,,,,,,,,,,,,
LinearTransformer,AT_pp_hard_coal,AT_pp_hard_coal,AT_bus_el,0.385,0.00000001,,,4,,,,,,,,,
LinearTransformer,AT_pp_gas,GL_bus_gas,AT_pp_gas,,,,,,,,,,,,,,
LinearTransformer,AT_pp_gas,AT_pp_gas,AT_bus_el,0.471,0.00000001,,,1.5,,,,,,,,,
LinearTransformer,AT_pp_oil,GL_bus_oil,AT_pp_oil,,,,,,,,,,,,,,
LinearTransformer,AT_pp_oil,AT_pp_oil,AT_bus_oil,0.368,0.00000001,,,,,,,,,,,,
LinearTransformer,AT_pp_mixed_fuels,GL_bus_mixed_fuels,AT_pp_mixed_fuels,,,,,,,,,,,,,,
LinearTransformer,AT_pp_mixed_fuels,AT_pp_mixed_fuels,AT_bus_mixed_fuels,0.26,0.00000001,,,23,,,,,,,,,
LinearTransformer,AT_pp_biomass,GL_bus_biomass,AT_pp_biomass,,,,,,,,,,,,,,
