class,Sink,Source,Source,LinearTransformer,LinearTransformer
label,demand1,solar1,wind1,chp1,chp1
source,bus_el1,solar1,wind1,chp1,chp1
target,demand1,bus_el1,bus_el1,bus_el1,bus_th1
attribute,actual_value,actual_value,actual_value,max,max
,0.4763909224,0.1138065605,0.0800268998,0.97,0.99
,0.4954245974,0.0514713638,0.0859832837,0.97,0.99
,0.5510614934,0.0066448687,0.0984724757,0.97,0.99
,0.6571498292,0,0.0985685465,0.97,0.99
,0.6878965349,0,0.1041406475,0.97,0.99
,0.6625183016,0,0.1064463445,0.97,0.99
,0.612249878,0,0.1021231626,0.97,0.99
,0.5880307467,0,0.0940532232,0.97,0.99
,0.6141410444,0,0.0952060717,0.97,0.99
,0.5714982918,0,0.090498607,0.97,0.99
,0.5443509029,0,0.0790661927,0.97,0.99
,0.5073816496,0,0.0805072533,0.97,0.99
,0.480295266,0,0.0880007686,0.97,0.99
,0.4790141532,0,0.0837736574,0.97,0.99
,0.5037823328,0,0.0737823038,0.97,0.99
,0.5697291362,0,0.0705158997,0.97,0.99
,0.7134577843,0,0.0693630512,0.97,0.99
,0.8518789653,0,0.0718608896,0.97,0.99
,0.90397755,0.0006328446,0.0751272937,0.97,0.99
,0.906295754,0.007910558,0.0708041118,0.97,0.99
,0.9100170815,0.0265794747,0.0684023441,0.97,0.99
,0.9141654466,0.0522096825,0.0642713037,0.97,0.99
,0.8988530991,0.0718278663,0.0551445864,0.97,0.99
,0.8918984871,0.0681362725,0.0450571621,0.97,0.99
,0.8850658858,0.0442991246,0.0381400711,0.97,0.99
,0.8862249878,0.017930598,0.0283408589,0.97,0.99
,0.8872620791,0.0024259044,0.0242098184,0.97,0.99
,0.925329429,0,0.0214237679,0.97,0.99
,0.9181307955,0,0.0219041214,0.97,0.99
,0.8932406052,0,0.0231530406,0.97,0.99
,0.8349804783,0,0.0317033337,0.97,0.99
,0.7828208882,0,0.0326640407,0.97,0.99
,0.7632991703,0,0.0335286771,0.97,0.99
,0.693875061,0,0.033240465,0.97,0.99
,0.6484870669,0,0.0416946873,0.97,0.99
,0.6042581747,0,0.0447689499,0.97,0.99
,0.573511469,0,0.0488039197,0.97,0.99
,0.556795998,0,0.0635988087,0.97,0.99
,0.5578940947,0,0.0794504756,0.97,0.99
,0.5882747682,0,0.0991449707,0.97,0.99
,0.7183382138,0,0.1016428091,0.97,0.99
,0.8488286969,0,0.1009703142,0.97,0.99
,0.8886652025,0.0033751714,0.1002017485,0.97,0.99
,0.8747559785,0.0352283514,0.092804304,0.97,0.99
,0.8719497316,0.0912351018,0.0737823038,0.97,0.99
,0.8635919961,0.1486130155,0.0513978288,0.97,0.99
,0.8461444607,0.1609534859,0.0445768085,0.97,0.99
,0.8467545144,0.1440776289,0.0376597176,0.97,0.99
,0.8463884822,0.1031536758,0.0404457681,0.97,0.99
,0.8600536847,0.0491509334,0.042463253,0.97,0.99
,0.8755490483,0.0088598249,0.0543760208,0.97,0.99
,0.92715959,0,0.0730137381,0.97,0.99
,0.9205710102,0,0.0780094149,0.97,0.99
,0.8931185944,0,0.0838697281,0.97,0.99
,0.8328452904,0,0.0763762129,0.97,0.99
,0.7820278184,0,0.061869536,0.97,0.99
,0.7660444119,0,0.0502449803,0.97,0.99
,0.7018667643,0,0.0482274954,0.97,0.99
,0.6439726696,0,0.0450571621,0.97,0.99
,0.6077964861,0,0.0399654145,0.97,0.99
,0.5744875549,0,0.0396772024,0.97,0.99
,0.5663738409,0,0.0304544144,0.97,0.99
,0.5805270864,0,0.0290133538,0.97,0.99
,0.635431918,0,0.0272840811,0.97,0.99
,0.7694607125,0,0.0257469498,0.97,0.99
,0.9169716935,0,0.0186377174,0.97,0.99
,0.9658369937,0.0018985339,0.0173887982,0.97,0.99
,0.9640068326,0.0116021517,0.0190220002,0.97,0.99
,0.9713884822,0.0235207257,0.0187337881,0.97,0.99
,0.9815763787,0.0353338255,0.0184455759,0.97,0.99
,0.9584553441,0.0455648138,0.0197905659,0.97,0.99
,0.9493045388,0.044721021,0.0191180709,0.97,0.99
,0.9289897511,0.0313258095,0.0205591315,0.97,0.99
,0.9059297218,0.0136061597,0.0201748487,0.97,0.99
,0.9015983407,0.0017930598,0.0216159093,0.97,0.99
,0.9544289898,0,0.0259390912,0.97,0.99
,0.9528428502,0,0.0272840811,0.97,0.99
,0.9260614934,0,0.0347775963,0.97,0.99
,0.854136164,0,0.0376597176,0.97,0.99
,0.7848340654,0,0.0432318186,0.97,0.99
,0.7623840898,0,0.0478432126,0.97,0.99
,0.6901537335,0,0.0504371217,0.97,0.99
,0.6323816496,0,0.0615813239,0.97,0.99
,0.600658858,0,0.0626381016,0.97,0.99
,0.5660078087,0,0.0737823038,0.97,0.99
,0.5496583699,0,0.0883850514,0.97,0.99
,0.5466691069,0,0.092131809,0.97,0.99
,0.5969375305,0,0.0885771928,0.97,0.99
,0.7194973158,0,0.0847343645,0.97,0.99
,0.8583455344,0,0.092804304,0.97,0.99
,0.8977550024,0.0007383187,0.0997213949,0.97,0.99
,0.8923255246,0.0025313785,0.1012585263,0.97,0.99
,0.9142264519,0.0074886615,0.0884811221,0.97,0.99
,0.9382625671,0.0160320641,0.0774329907,0.97,0.99
,0.9161176184,0.0247864149,0.0709001825,0.97,0.99
,0.9071498292,0.0246809408,0.0666730714,0.97,0.99
,0.8956198145,0.0172977534,0.0602363339,0.97,0.99
,0.8823816496,0.0072777133,0.0571620713,0.97,0.99
,0.8704856027,0.0012656893,0.0582188491,0.97,0.99
,0.9113591996,0,0.0648477279,0.97,0.99
,0.9096510493,0,0.0731098088,0.97,0.99
,0.9023914104,0,0.0795465463,0.97,0.99
,0.8387018058,0,0.0826208089,0.97,0.99
,0.7703757931,0,0.0853107887,0.97,0.99
,0.7473767692,0,0.0815640311,0.97,0.99
,0.6816739873,0,0.0828129503,0.97,0.99
,0.6205466081,0,0.0825247382,0.97,0.99
,0.5777208394,0,0.0908828898,0.97,0.99
,0.5535627135,0,0.0930925161,0.97,0.99
,0.5401415325,0,0.110577385,0.97,0.99
,0.5438018546,0,0.1089441829,0.97,0.99
,0.5961444607,0,0.1096166779,0.97,0.99
,0.7058321132,0,0.1179748295,0.97,0.99
,0.8329673011,0,0.1285426074,0.97,0.99
,0.8762811127,0.0007383187,0.1306561629,0.97,0.99
,0.8875671059,0.002953275,0.1343068498,0.97,0.99
,0.908613958,0.0078050839,0.1278701124,0.97,0.99
,0.9103831137,0.0120240481,0.1305600922,0.97,0.99
,0.8809785261,0.0143444784,0.1460274762,0.97,0.99
,0.837908736,0.0158211159,0.1722547795,0.97,0.99
,0.8001464129,0.009914566,0.1853203958,0.97,0.99
,0.7779404588,0.0047463348,0.1971370929,0.97,0.99
,0.7787945339,0.0012656893,0.2251897396,0.97,0.99
,0.8340653978,0,0.2624651744,0.97,0.99
,0.8089921913,0,0.2952252858,0.97,0.99
,0.7464616886,0,0.3437409934,0.97,0.99
,0.6644704734,0,0.3733307714,0.97,0.99
,0.587420693,0,0.3968680949,0.97,0.99
,0.5915080527,0,0.3936977616,0.97,0.99
,0.5645436798,0,0.3792871553,0.97,0.99
,0.5293435822,0,0.3854356807,0.97,0.99
,0.4863347975,0,0.3937938323,0.97,0.99
,0.4489385066,0,0.4359688731,0.97,0.99
,0.4263055149,0,0.4586415602,0.97,0.99
,0.4125183016,0,0.4496109136,0.97,0.99
,0.4156905808,0,0.4173311557,0.97,0.99
,0.4176427526,0,0.3916802767,0.97,0.99
,0.4625427038,0,0.3840906907,0.97,0.99
,0.5148243045,0.0006328446,0.3493130944,0.97,0.99
,0.5657637872,0.0047463348,0.3300989528,0.97,0.99
,0.5993167399,0.0141335302,0.3174176194,0.97,0.99
,0.6124328941,0.0249973631,0.3258718417,0.97,0.99
,0.6046852123,0.0322750765,0.3342299933,0.97,0.99
,0.575158614,0.03185318,0.3357671246,0.97,0.99
,0.5428257687,0.024891889,0.3349024882,0.97,0.99
,0.5309297218,0.0122349963,0.375444327,0.97,0.99
,0.5491093216,0.0025313785,0.3858199635,0.97,0.99
,0.6373230844,0,0.3373042559,0.97,0.99
,0.664897511,0,0.321164377,0.97,0.99
,0.6214616886,0,0.3022384475,0.97,0.99
,0.5797340166,0,0.2671726391,0.97,0.99
,0.5445949244,0,0.2766836392,0.97,0.99
,0.5532576867,0,0.2535305985,0.97,0.99
,0.5256222548,0,0.2611201845,0.97,0.99
,0.4874938995,0,0.2594869824,0.97,0.99
,0.4540629575,0,0.2429628206,0.97,0.99
,0.4238042948,0,0.2351810933,0.97,0.99
,0.3954978038,0,0.2294168508,0.97,0.99
,0.3792703758,0,0.2340282448,0.97,0.99
,0.3806124939,0,0.2451724469,0.97,0.99
,0.3595656418,0,0.2670765684,0.97,0.99
,0.3950707662,0,0.2626573158,0.97,0.99
,0.4373474866,0.000949267,0.301085599,0.97,0.99
,0.4804782821,0.0092817213,0.3078105486,0.97,0.99
,0.5071376281,0.0240480962,0.3162647709,0.97,0.99
,0.532942899,0.0425060648,0.3361514074,0.97,0.99
,0.5129331381,0.0540027423,0.3739071957,0.97,0.99
,0.4807833089,0.0438772281,0.4088769334,0.97,0.99
,0.4828574915,0.0262630524,0.4207897012,0.97,0.99
,0.4743777452,0.0112857294,0.4634450956,0.97,0.99
,0.4853587116,0.0022149562,0.4952445,0.97,0.99
,0.5460590532,0,0.5311749448,0.97,0.99
,0.5678379697,0,0.5427995004,0.97,0.99
,0.5350170815,0,0.5753674705,0.97,0.99
,0.4926793558,0,0.5984244404,0.97,0.99
,0.4755978526,0,0.643961956,0.97,0.99
,0.5123230844,0,0.6332981074,0.97,0.99
,0.4933504148,0,0.6417523297,0.97,0.99
,0.4737066862,0,0.6315688347,0.97,0.99
,0.4465592972,0,0.6068786627,0.97,0.99
,0.4235602733,0,0.6280142185,0.97,0.99
,0.410932162,0,0.6152368143,0.97,0.99
,0.4261835041,0,0.5795945816,0.97,0.99
,0.4732796486,0,0.5396291671,0.97,0.99
,0.5876037091,0,0.5190700355,0.97,0.99
,0.7219375305,0,0.5117686617,0.97,0.99
,0.7679355783,0.0008437928,0.4946680757,0.97,0.99
,0.7798926306,0.0048518089,0.4870784898,0.97,0.99
,0.7953879941,0.0145554266,0.5060044193,0.97,0.99
,0.8184480234,0.0282670604,0.5229128639,0.97,0.99
,0.8214982918,0.0319586542,0.4918820252,0.97,0.99
,0.8210102489,0.0275287417,0.454414449,0.97,0.99
,0.8122864812,0.0187743909,0.4219425497,0.97,0.99
,0.7879453392,0.0088598249,0.4233836103,0.97,0.99
,0.7803196681,0.0015821116,0.4232875396,0.97,0.99
,0.8372986823,0,0.4261696609,0.97,0.99
,0.8412030259,0,0.4424056105,0.97,0.99
,0.804477794,0,0.4425977519,0.97,0.99
,0.7335285505,0,0.4483619944,0.97,0.99
,0.6823450464,0,0.4328946104,0.97,0.99
,0.6816129819,0,0.3904313575,0.97,0.99
,0.6141410444,0,0.3616101451,0.97,0.99
,0.5933992191,0,0.3381688923,0.97,0.99
,0.5621034651,0,0.3075223364,0.97,0.99
