class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
LinearTransformer,CH_pp_uranium,GL_bus_uranium,CH_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,CH_pp_lignite,CH_pp_lignite,CH_bus_el,lignite,,0,,,,,,,,,,,
LinearTransformer,CH_pp_lignite,GL_bus_lignite,CH_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,CH_pp_hard_coal,CH_pp_hard_coal,CH_bus_el,hard_coal,,0,,,,,,,,,,,
LinearTransformer,CH_pp_hard_coal,GL_bus_hard_coal,CH_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,CH_pp_gas,CH_pp_gas,CH_bus_el,gas,,1.17,,,,,,,,,,,
LinearTransformer,CH_pp_gas,GL_bus_gas,CH_pp_gas,gas,,,,,,,,,,,,,
LinearTransformer,CH_pp_oil,CH_pp_oil,CH_bus_el,oil,,0,,,,,,,,,,,
LinearTransformer,CH_pp_oil,GL_bus_oil,CH_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,CH_pp_mixed_fuels,CH_pp_mixed_fuels,CH_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,CH_pp_mixed_fuels,GL_bus_mixed_fuels,CH_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,CH_wind,CH_wind,CH_bus_el,wind,,0.9,,,,,,,,,,,
Source,CH_solar,CH_solar,CH_bus_el,solar,,3,,,,,,,,,,,
LinearTransformer,CH_pp_biomass,CH_pp_biomass,CH_bus_el,biomass,,1.3,,,,,,,,,,,
LinearTransformer,CH_pp_biomass,GL_bus_biomass,CH_pp_biomass,biomass,,,,,,,,,,,,,
Storage,CH_storage_phs,CH_storage_phs,CH_bus_el,storage_phs,,18.64,,,,,,,,,,,
Sink,CH_load,CH_load,CH_bus_el,load,,12.41,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### CZ,,,,,,,,,,,,,,,,,
Sink,CZ_excess,CZ_bus_el,CZ_excess,,,,,1000,,,,,,,,,
Source,CZ_shortage,CZ_shortage,CZ_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,CZ_pp_uranium,CZ_pp_uranium,CZ_bus_el,uranium,,1.84,,,,,,,,,,,
LinearTransformer,CZ_pp_uranium,GL_bus_uranium,CZ_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,CZ_pp_lignite,CZ_pp_lignite,CZ_bus_el,lignite,,5.21,,,,,,,,,,,
LinearTransformer,CZ_pp_lignite,GL_bus_lignite,CZ_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,CZ_pp_hard_coal,CZ_pp_hard_coal,CZ_bus_el,hard_coal,,0.3,,,,,,,,,,,
LinearTransformer,CZ_pp_hard_coal,GL_bus_hard_coal,CZ_pp_hard_coal,hard_coal,,,,,,,,,,,,,
LinearTransformer,CZ_pp_gas,CZ_pp_gas,CZ_bus_el,gas,,1.98,,,,,,,,,,,
LinearTransformer,CZ_pp_gas,GL_bus_gas,CZ_pp_gas,gas,,,,,,,,,,,,,
