0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
126000.0,2.0,-3.3,68,99800,9999,9999,291,58,0,58,999900,999900,999900,99990,250,6.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
129600.0,2.2,-3.1,68,99810,9999,9999,277,17,0,17,999900,999900,999900,99990,250,6.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
133200.0,2.1,-2.8,70,99830,9999,9999,277,28,0,28,999900,999900,999900,99990,250,7.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
136800.0,2.2,-2.1,73,99870,9999,9999,292,14,0,14,999900,999900,999900,99990,260,5.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
140400.0,2.2,-1.2,78,99910,9999,9999,292,11,0,11,999900,999900,999900,99990,270,3.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
144000.0,2.3,-0.4,82,99960,9999,9999,293,8,0,8,999900,999900,999900,99990,300,5.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
147600.0,1.7,-0.1,88,100050,9999,9999,308,0,0,0,999900,999900,999900,99990,290,5.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
151200.0,1.9,-0.3,85,100160,9999,9999,309,0,0,0,999900,999900,999900,99990,320,3.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
154800.0,2.1,-0.6,82,100300,9999,9999,292,0,0,0,999900,999900,999900,99990,320,5.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
158400.0,2.0,-1.2,79,100450,9999,9999,291,0,0,0,999900,999900,999900,99990,320,4.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
162000.0,1.4,-1.0,84,100570,9999,9999,252,0,0,0,999900,999900,999900,99990,330,4.0,5,5,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
165600.0,1.2,-2.2,78,100670,9999,9999,240,0,0,0,999900,999900,999900,99990,320,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
169200.0,0.8,-2.1,81,100790,9999,9999,270,0,0,0,999900,999900,999900,99990,310,3.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
172800.0,0.6,-2.4,80,100920,9999,9999,284,0,0,0,999900,999900,999900,99990,350,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
176400.0,0.6,-2.4,80,100990,9999,9999,284,0,0,0,999900,999900,999900,99990,340,3.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
180000.0,0.6,-3.7,73,101050,9999,9999,237,0,0,0,999900,999900,999900,99990,350,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
183600.0,0.2,-3.3,77,101160,9999,9999,255,0,0,0,999900,999900,999900,99990,20,3.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
187200.0,0.3,-3.6,75,101250,9999,9999,267,0,0,0,999900,999900,999900,99990,350,3.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
190800.0,-0.1,-3.8,76,101330,9999,9999,253,0,0,0,999900,999900,999900,99990,310,2.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
194400.0,-0.1,-3.6,77,101380,9999,9999,281,0,0,0,999900,999900,999900,99990,320,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
198000.0,0.0,-3.4,78,101460,9999,9999,281,0,0,0,999900,999900,999900,99990,340,1.0,10,10,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
201600.0,-0.2,-3.2,80,101550,9999,9999,280,0,0,0,999900,999900,999900,99990,320,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
205200.0,-0.3,-3.7,78,101630,9999,9999,280,25,0,22,999900,999900,999900,99990,360,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
208800.0,0.1,-3.1,79,101700,9999,9999,282,81,24,78,999900,999900,999900,99990,350,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
212400.0,0.6,-3.1,76,101780,9999,9999,284,122,0,122,999900,999900,999900,99990,30,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
216000.0,1.4,-3.1,72,101790,9999,9999,288,162,21,156,999900,999900,999900,99990,360,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
219600.0,2.0,-3.1,69,101780,9999,9999,291,156,10,153,999900,999900,999900,99990,360,3.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
223200.0,2.1,-3.0,69,101780,9999,9999,292,67,0,67,999900,999900,999900,99990,10,2.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
226800.0,1.8,-2.5,73,101790,9999,9999,290,91,36,83,999900,999900,999900,99990,360,3.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
230400.0,0.4,-2.1,83,101830,9999,9999,241,25,24,22,999900,999900,999900,99990,40,1.0,6,6,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
234000.0,-0.3,-2.8,83,101860,9999,9999,234,0,0,0,999900,999900,999900,99990,20,1.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
237600.0,-1.2,-3.2,86,101900,9999,9999,229,0,0,0,999900,999900,999900,99990,360,2.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
241200.0,-1.6,-3.2,89,101910,9999,9999,273,0,0,0,999900,999900,999900,99990,340,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
244800.0,-1.2,-3.1,87,101960,9999,9999,275,0,0,0,999900,999900,999900,99990,20,1.0,9,9,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
248400.0,-0.8,-3.0,85,101980,9999,9999,262,0,0,0,999900,999900,999900,99990,340,1.0,8,8,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
252000.0,-1.3,-3.2,87,101960,9999,9999,227,0,0,0,999900,999900,999900,99990,20,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
255600.0,-1.5,-3.4,87,101970,9999,9999,226,0,0,0,999900,999900,999900,99990,10,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
259200.0,-2.8,-4.4,89,102000,9999,9999,219,0,0,0,999900,999900,999900,99990,350,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
262800.0,-3.1,-4.6,89,102040,9999,9999,218,0,0,0,999900,999900,999900,99990,30,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
266400.0,-3.6,-5.9,84,102060,9999,9999,215,0,0,0,999900,999900,999900,99990,10,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
270000.0,-3.7,-6.3,82,102080,9999,9999,215,0,0,0,999900,999900,999900,99990,20,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
273600.0,-4.2,-6.6,83,102050,9999,9999,212,0,0,0,999900,999900,999900,99990,30,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
277200.0,-4.8,-6.9,85,102040,9999,9999,210,0,0,0,999900,999900,999900,99990,40,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
280800.0,-5.2,-7.5,84,102040,9999,9999,208,0,0,0,999900,999900,999900,99990,30,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
284400.0,-5.6,-7.9,84,102060,9999,9999,206,0,0,0,999900,999900,999900,99990,40,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
288000.0,-6.1,-7.8,88,102070,9999,9999,204,0,0,0,999900,999900,999900,99990,340,1.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
291600.0,-6.1,-7.9,87,102100,9999,9999,204,42,0,25,999900,999900,999900,99990,50,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
295200.0,-4.5,-6.9,83,102140,9999,9999,211,141,481,47,999900,999900,999900,99990,40,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
298800.0,-3.2,-6.8,76,102140,9999,9999,218,230,760,61,999900,999900,999900,99990,30,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
302400.0,-2.0,-6.9,69,102100,9999,9999,223,275,747,64,999900,999900,999900,99990,30,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
